4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-c-Kopplung-Schwebung- Kupfer
Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
3,000	45,72	0,22	-0,09	3,000	36,45	-0,19	0,53	3,000	40,52	-0,15	0,10
3,020	46,15	0,21	-0,31	3,020	36,07	-0,18	0,65	3,020	40,21	-0,16	0,21
3,040	46,57	0,20	-0,43	3,040	35,72	-0,17	0,65	3,040	39,90	-0,15	0,33
3,060	46,96	0,19	-0,43	3,060	35,40	-0,16	0,65	3,060	39,63	-0,14	0,21
3,080	47,34	0,19	-0,43	3,080	35,10	-0,14	0,53	3,080	39,33	-0,14	0,32
3,100	47,71	0,18	-0,43	3,100	34,83	-0,13	0,64	3,100	39,08	-0,13	0,44
3,120	48,05	0,17	-0,43	3,120	34,57	-0,12	0,76	3,120	38,82	-0,12	0,33
3,140	48,38	0,16	-0,43	3,140	34,36	-0,10	0,64	3,140	38,59	-0,12	0,20
3,160	48,69	0,15	-0,43	3,160	34,15	-0,09	0,75	3,160	38,35	-0,11	0,43
3,180	48,98	0,14	-0,42	3,180	33,99	-0,07	0,76	3,180	38,14	-0,10	0,44
3,200	49,26	0,13	-0,54	3,200	33,85	-0,06	0,53	3,200	37,95	-0,10	0,32
3,220	49,52	0,12	-0,54	3,220	33,75	-0,05	0,74	3,220	37,76	-0,09	0,44
3,240	49,74	0,11	-0,42	3,240	33,64	-0,03	1,09	3,240	37,61	-0,08	0,32
3,260	49,97	0,10	-0,53	3,260	33,63	-0,01	0,88	3,260	37,45	-0,07	0,32
3,280	50,16	0,09	-0,64	3,280	33,61	0,00	0,53	3,280	37,31	-0,06	0,44
3,300	50,33	0,08	-0,65	3,300	33,64	0,01	0,62	3,300	37,19	-0,06	0,32
3,320	50,47	0,07	-0,54	3,320	33,66	0,03	1,09	3,320	37,09	-0,05	0,32
3,340	50,59	0,06	-0,53	3,340	33,76	0,06	0,88	3,340	36,98	-0,04	0,43
3,360	50,70	0,04	-0,65	3,360	33,88	0,06	0,53	3,360	36,91	-0,03	0,43
3,380	50,77	0,03	-0,54	3,380	34,01	0,08	0,75	3,380	36,84	-0,03	0,44
3,400	50,82	0,02	-0,53	3,400	34,18	0,09	0,76	3,400	36,81	-0,02	0,22
3,420	50,86	0,01	-0,64	3,420	34,39	0,11	0,64	3,420	36,78	-0,02	0,20
3,440	50,86	0,00	-0,65	3,440	34,61	0,12	0,64	3,440	36,74	-0,01	0,44
3,460	50,85	-0,02	-0,65	3,460	34,87	0,13	0,64	3,460	36,74	-2,30E-4	0,33
3,480	50,80	-0,03	-0,54	3,480	35,14	0,15	0,64	3,480	36,74	0,00	0,21
3,500	50,73	-0,04	-0,52	3,500	35,45	0,16	0,65	3,500	36,76	0,01	0,32
3,520	50,65	-0,05	-0,76	3,520	35,77	0,17	0,54	3,520	36,77	0,02	0,44
3,540	50,53	-0,07	-0,66	3,540	36,14	0,18	0,42	3,540	36,82	0,03	0,22
3,560	50,37	-0,08	-0,42	3,560	36,49	0,19	0,54	3,560	36,87	0,03	0,10
3,580	50,22	-0,09	-0,54	3,580	36,89	0,20	0,55	3,580	36,92	0,03	0,32
3,600	50,03	-0,10	-0,54	3,600	37,30	0,21	0,32	3,600	36,99	0,04	0,33
3,620	49,83	-0,11	-0,54	3,620	37,73	0,21	0,32	3,620	37,08	0,04	0,11
3,640	49,61	-0,12	-0,55	3,640	38,16	0,22	0,44	3,640	37,16	0,04	0,10
3,660	49,35	-0,13	-0,42	3,660	38,62	0,23	0,33	3,660	37,25	0,05	0,22
3,680	49,09	-0,14	-0,55	3,680	39,09	0,24	0,22	3,680	37,35	0,05	0,11
3,700	48,80	-0,15	-0,44	3,700	39,57	0,24	0,11	3,700	37,46	0,05	0,10
3,720	48,49	-0,15	-0,31	3,720	40,05	0,24	0,11	3,720	37,56	0,06	0,21
3,740	48,18	-0,16	-0,54	3,740	40,53	0,24	0,11	3,740	37,68	0,06	0,22
3,760	47,84	-0,18	-0,55	3,760	41,03	0,24	-0,01	3,760	37,80	0,06	0,11
3,780	47,48	-0,18	-0,33	3,780	41,51	0,24	0,11	3,780	37,94	0,06	-0,01
