4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-c-Kopplung-Schwebung- Kupfer
Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
42,900	48,61	0,00	-0,54	42,900	48,05	0,07	-0,53	42,900	42,00	-0,23	-0,33
42,920	48,59	-0,02	-0,55	42,920	48,17	0,05	-0,64	42,920	41,53	-0,24	-0,23
42,940	48,54	-0,03	-0,43	42,940	48,26	0,04	-0,64	42,940	41,05	-0,24	-2,96E-4
42,960	48,49	-0,03	-0,43	42,960	48,33	0,03	-0,64	42,960	40,57	-0,24	0,01
42,980	48,41	-0,04	-0,43	42,980	48,37	0,01	-0,64	42,980	40,11	-0,24	-0,23
43,000	48,32	-0,05	-0,43	43,000	48,38	9,07E-4	-0,65	43,000	39,60	-0,25	-0,01
43,020	48,20	-0,06	-0,43	43,020	48,37	-0,01	-0,65	43,020	39,12	-0,24	0,22
43,040	48,08	-0,07	-0,44	43,040	48,34	-0,02	-0,65	43,040	38,64	-0,24	0,22
43,060	47,93	-0,08	-0,32	43,060	48,27	-0,04	-0,54	43,060	38,18	-0,23	0,11
43,080	47,78	-0,08	-0,31	43,080	48,18	-0,05	-0,53	43,080	37,71	-0,23	0,10
43,100	47,61	-0,09	-0,54	43,100	48,08	-0,06	-0,65	43,100	37,25	-0,23	0,22
43,120	47,42	-0,10	-0,56	43,120	47,95	-0,07	-0,65	43,120	36,80	-0,22	0,21
43,140	47,19	-0,11	-0,22	43,140	47,79	-0,09	-0,65	43,140	36,35	-0,22	0,32
43,160	46,97	-0,11	-0,20	43,160	47,61	-0,10	-0,65	43,160	35,92	-0,21	0,43
43,180	46,75	-0,12	-0,44	43,180	47,40	-0,11	-0,55	43,180	35,50	-0,20	0,43
43,200	46,49	-0,13	-0,32	43,200	47,16	-0,12	-0,43	43,200	35,11	-0,19	0,44
43,220	46,23	-0,13	-0,32	43,220	46,92	-0,13	-0,43	43,220	34,73	-0,19	0,22
43,240	45,96	-0,14	-0,34	43,240	46,65	-0,14	-0,42	43,240	34,37	-0,19	0,08
43,260	45,67	-0,15	-0,10	43,260	46,37	-0,15	-0,54	43,260	33,99	-0,18	0,62
43,280	45,38	-0,15	-0,21	43,280	46,07	-0,16	-0,55	43,280	33,64	-0,16	1,20
43,300	45,09	-0,15	-0,34	43,300	45,74	-0,17	-0,32	43,300	33,35	-0,13	0,89
43,320	44,76	-0,16	-0,10	43,320	45,40	-0,17	-0,32	43,320	33,11	-0,12	0,32
43,340	44,45	-0,16	-0,21	43,340	45,05	-0,18	-0,44	43,340	32,85	-0,12	0,43
43,360	44,12	-0,17	-0,34	43,360	44,68	-0,19	-0,22	43,360	32,62	-0,11	0,54
43,380	43,78	-0,17	-0,11	43,380	44,30	-0,19	-0,09	43,380	32,41	-0,10	0,53
43,400	43,43	-0,17	0,01	43,400	43,92	-0,19	-0,33	43,400	32,22	-0,09	0,75
43,420	43,09	-0,17	-0,11	43,420	43,52	-0,20	-0,23	43,420	32,07	-0,07	0,75
43,440	42,75	-0,18	-0,11	43,440	43,11	-0,20	0,01	43,440	31,95	-0,06	0,75
43,460	42,38	-0,18	0,01	43,460	42,72	-0,20	-0,22	43,460	31,84	-0,04	0,87
43,480	42,04	-0,18	-0,11	43,480	42,30	-0,21	-0,24	43,480	31,79	-0,02	0,65
43,500	41,68	-0,18	-0,01	43,500	41,87	-0,21	0,11	43,500	31,75	-0,01	0,64
43,520	41,32	-0,18	0,23	43,520	41,46	-0,21	0,11	43,520	31,73	0,00	0,86
43,540	40,97	-0,17	0,01	43,540	41,05	-0,21	9,87E-13	43,540	31,77	0,02	0,75
43,560	40,63	-0,18	-0,12	43,560	40,63	-0,21	-0,01	43,560	31,82	0,03	0,75
43,580	40,27	-0,18	0,11	43,580	40,22	-0,21	0,10	43,580	31,90	0,05	0,76
43,600	39,92	-0,17	0,11	43,600	39,81	-0,20	0,22	43,600	32,02	0,06	0,63
43,620	39,58	-0,17	0,10	43,620	39,41	-0,20	0,22	43,620	32,16	0,08	0,87
43,640	39,23	-0,17	0,22	43,640	39,01	-0,19	0,22	43,640	32,33	0,10	0,55
43,660	38,91	-0,16	0,11	43,660	38,64	-0,19	0,21	43,660	32,55	0,10	0,28
43,680	38,58	-0,16	0,10	43,680	38,26	-0,19	0,32	43,680	32,72	0,11	1,18
43,700	38,25	-0,16	0,32	43,700	37,89	-0,18	0,44	43,700	32,99	0,15	1,32
43,720	37,94	-0,15	0,33	43,720	37,55	-0,17	0,32	43,720	33,30	0,16	0,66
43,740	37,65	-0,15	0,21	43,740	37,22	-0,16	0,31	43,740	33,64	0,17	0,31
43,760	37,36	-0,14	0,32	43,760	36,89	-0,16	0,54	43,760	33,99	0,18	0,52
43,780	37,08	-0,13	0,33	43,780	36,60	-0,14	0,54	43,780	34,34	0,19	0,88
43,800	36,82	-0,13	0,21	43,800	36,32	-0,13	0,43	43,800	34,76	0,21	0,55
43,820	36,56	-0,13	0,32	43,820	36,06	-0,13	0,42	43,820	35,19	0,21	0,31
43,840	36,32	-0,12	0,32	43,840	35,82	-0,12	0,53	43,840	35,61	0,22	0,54
43,860	36,10	-0,11	0,32	43,860	35,60	-0,10	0,65	43,860	36,08	0,24	0,54
43,880	35,87	-0,10	0,44	43,880	35,41	-0,09	0,65	43,880	36,56	0,24	0,42
43,900	35,68	-0,09	0,32	43,900	35,23	-0,08	0,54	43,900	37,06	0,25	0,54
43,920	35,49	-0,09	0,42	43,920	35,10	-0,07	0,53	43,920	37,57	0,27	0,55
43,940	35,32	-0,08	0,55	43,940	34,95	-0,06	0,65	43,940	38,12	0,27	0,33
43,960	35,18	-0,07	0,32	43,960	34,87	-0,04	0,65	43,960	38,67	0,28	0,21
43,980	35,04	-0,06	0,32	43,980	34,78	-0,03	0,65	43,980	39,24	0,28	0,21
44,000	34,92	-0,06	0,43	44,000	34,75	-0,02	0,65	44,000	39,80	0,29	0,22
44,020	34,82	-0,05	0,42	44,020	34,71	0,00	0,65	44,020	40,39	0,29	0,11
44,040	34,73	-0,04	0,54	44,040	34,73	0,01	0,64	44,040	40,97	0,29	0,11
44,060	34,66	-0,03	0,55	44,060	34,74	0,02	0,65	44,060	41,55	0,30	0,11
44,080	34,63	-0,02	0,32	44,080	34,81	0,03	0,53	44,080	42,16	0,30	-0,01
44,100	34,59	-0,01	0,42	44,100	34,88	0,04	0,64	44,100	42,74	0,30	0,11
44,120	34,57	-4,32E-4	0,54	44,120	34,98	0,06	0,76	44,120	43,34	0,30	0,01
44,140	34,59	0,01	0,43	44,140	35,11	0,07	0,65	44,140	43,94	0,30	-0,21
44,160	34,60	0,02	0,43	44,160	35,27	0,09	0,54	44,160	44,53	0,29	-0,21
44,180	34,66	0,03	0,42	44,180	35,46	0,09	0,42	44,180	45,11	0,29	-0,21
44,200	34,71	0,03	0,54	44,200	35,64	0,10	0,64	44,200	45,68	0,28	-0,31
44,220	34,79	0,05	0,44	44,220	35,87	0,12	0,66	44,220	46,25	0,28	-0,45
44,240	34,89	0,05	0,32	44,240	36,12	0,13	0,43	44,240	46,78	0,27	-0,11
44,260	35,00	0,06	0,43	44,260	36,38	0,14	0,43	44,260	47,31	0,27	-0,09
44,280	35,13	0,07	0,42	44,280	36,67	0,15	0,42	44,280	47,87	0,26	-0,43
44,300	35,27	0,08	0,54	44,300	36,96	0,15	0,54	44,300	48,36	0,25	-0,41
44,320	35,44	0,09	0,44	44,320	37,29	0,17	0,44	44,320	48,88	0,25	-0,74
44,340	35,63	0,09	0,20	44,340	37,63	0,17	0,32	44,340	49,35	0,22	-0,90
44,360	35,82	0,10	0,42	44,360	37,97	0,18	0,44	44,360	49,78	0,21	-0,32
44,380	36,02	0,11	0,55	44,380	38,35	0,19	0,22	44,380	50,19	0,21	-0,38
44,400	36,26	0,12	0,21	44,400	38,73	0,19	0,10	44,400	50,63	0,20	0,57
44,420	36,50	0,12	0,20	44,420	39,11	0,19	0,32	44,420	50,97	0,23	-1,48
44,440	36,74	0,13	0,44	44,440	39,50	0,20	0,45	44,440	51,56	0,14	-0,59
44,460	37,02	0,14	0,33	44,460	39,91	0,21	0,13	44,460	51,52	0,21	3,89
44,480	37,29	0,14	0,21	44,480	40,35	0,21	-0,23	44,480	52,41	0,29	-5,69
44,500	37,58	0,15	0,21	44,500	40,74	0,20	0,10	44,500	52,69	-0,02	-5,04
44,520	37,87	0,15	0,32	44,520	41,15	0,21	0,23	44,520	52,34	0,09	5,96
44,540	38,18	0,16	0,33	44,540	41,58	0,21	-1,90E-12	44,540	53,05	0,22	-0,61
44,560	38,51	0,16	0,22	44,560	41,99	0,21	0,01	44,560	53,23	0,07	-4,35
44,580	38,84	0,17	0,11	44,580	42,42	0,21	-0,11	44,580	53,31	0,05	-0,63
44,600	39,18	0,17	0,10	44,600	42,84	0,21	-0,11	44,600	53,42	0,04	-0,85
44,620	39,50	0,17	0,22	44,620	43,25	0,21	-0,10	44,620	53,47	0,01	-0,98
44,640	39,87	0,18	0,11	44,640	43,66	0,20	-0,21	44,640	53,47	0,00	-0,73
44,660	40,21	0,18	1,63E-12	44,660	44,06	0,20	-0,32	44,660	53,48	-0,02	-1,10
44,680	40,57	0,18	-0,01	44,680	44,46	0,19	-0,33	44,680	53,41	-0,04	-0,79
44,700	40,91	0,18	0,11	44,700	44,82	0,19	-0,21	44,700	53,31	-0,05	-0,28
44,720	41,28	0,18	0,11	44,720	45,20	0,18	-0,32	44,720	53,23	-0,05	-0,84
44,740	41,64	0,18	0,01	44,740	45,54	0,17	-0,31	44,740	53,09	-0,08	-0,98
44,760	42,00	0,18	-0,11	44,760	45,89	0,17	-0,42	44,760	52,91	-0,09	-3,98
44,780	42,36	0,18	-0,11	44,780	46,21	0,16	-0,55	44,780	52,72	-0,24	-2,92
44,800	42,70	0,18	0,01	44,800	46,51	0,15	-0,31	44,800	51,95	-0,21	3,83
44,820	43,06	0,18	-0,11	44,820	46,80	0,14	-0,41	44,820	51,88	-0,09	-3,21
44,840	43,41	0,17	-0,11	44,840	47,08	0,13	-0,65	44,840	51,61	-0,34	-3,89
44,860	43,75	0,17	0,01	44,860	47,32	0,12	-0,54	44,860	50,53	-0,24	4,26
44,880	44,10	0,17	-0,09	44,880	47,54	0,11	-0,54	44,880	50,64	-0,17	0,19
44,900	44,44	0,17	-0,32	44,900	47,75	0,10	-0,54	44,900	49,86	-0,23	0,82
44,920	44,77	0,16	-0,33	44,920	47,92	0,09	-0,41	44,920	49,70	-0,14	-1,78
44,940	45,08	0,16	-0,21	44,940	48,10	0,08	-0,64	44,940	49,32	-0,31	-2,86
44,960	45,39	0,15	-0,21	44,960	48,24	0,06	-0,76	44,960	48,48	-0,25	3,16
44,980	45,68	0,15	-0,21	44,980	48,34	0,05	-0,64	44,980	48,32	-0,18	-0,51
45,000	45,97	0,14	-0,32	45,000	48,43	0,04	-0,65	45,000	47,77	-0,27	-4,46
45,020	46,25	0,13	-0,33	45,020	48,48	0,02	-0,53	45,020	47,24	-0,36	-0,67
45,040	46,51	0,13	-0,21	45,040	48,52	0,01	-0,64	45,040	46,34	-0,30	3,35
45,060	46,77	0,13	-0,31	45,060	48,54	0,00	-0,77	45,060	46,05	-0,22	-0,20
45,080	47,01	0,12	-0,44	45,080	48,51	-0,02	-0,53	45,080	45,45	-0,31	-2,28
45,100	47,23	0,11	-0,32	45,100	48,47	-0,02	-0,64	45,100	44,83	-0,31	-0,34
45,120	47,44	0,10	-0,31	45,120	48,41	-0,04	-0,76	45,120	44,19	-0,32	-0,11
45,140	47,65	0,10	-0,54	45,140	48,31	-0,06	-0,65	45,140	43,56	-0,32	-0,10
45,160	47,82	0,08	-0,44	45,160	48,19	-0,07	-0,55	45,160	42,92	-0,32	-0,22
45,180	47,98	0,08	-0,20	45,180	48,03	-0,08	-0,42	45,180	42,27	-0,33	-0,11
45,200	48,13	0,07	-0,42	45,200	47,88	-0,08	-0,64	45,200	41,61	-0,33	1,52E-12
45,220	48,27	0,06	-0,54	45,220	47,69	-0,10	-0,77	45,220	40,96	-0,33	-0,01
45,240	48,38	0,05	-0,42	45,240	47,47	-0,12	-0,55	45,240	40,30	-0,33	0,11
45,260	48,48	0,04	-0,54	45,260	47,23	-0,12	-0,32	45,260	39,65	-0,32	0,11
45,280	48,55	0,03	-0,44	45,280	46,97	-0,13	-0,42	45,280	39,01	-0,32	0,10
45,300	48,60	0,03	-0,31	45,300	46,72	-0,14	-0,66	45,300	38,36	-0,32	0,32
45,320	48,66	0,02	-0,54	45,320	46,41	-0,15	-0,44	45,320	37,74	-0,31	0,32
45,340	48,68	0,00	-0,55	45,340	46,10	-0,16	-0,32	45,340	37,12	-0,31	0,32
45,360	48,68	0,00	-0,43	45,360	45,77	-0,17	-0,43	45,360	36,51	-0,30	0,32
45,380	48,66	-0,01	-0,43	45,380	45,43	-0,18	-0,44	45,380	35,93	-0,29	0,31
45,400	48,63	-0,02	-0,43	45,400	45,07	-0,18	-0,34	45,400	35,34	-0,28	0,54
45,420	48,58	-0,03	-0,42	45,420	44,69	-0,19	-0,10	45,420	34,79	-0,27	0,54
45,440	48,51	-0,04	-0,54	45,440	44,31	-0,19	-0,21	45,440	34,25	-0,26	0,53
45,460	48,43	-0,05	-0,55	45,460	43,94	-0,20	-0,34	45,460	33,74	-0,25	0,65
45,480	48,31	-0,06	-0,32	45,480	43,52	-0,20	-0,11	45,480	33,25	-0,24	0,54
45,500	48,19	-0,06	-0,42	45,500	43,13	-0,20	-0,11	45,500	32,79	-0,23	0,53
45,520	48,05	-0,08	-0,55	45,520	42,72	-0,21	-0,11	45,520	32,34	-0,22	0,63
45,540	47,88	-0,09	-0,32	45,540	42,30	-0,21	-0,11	45,540	31,92	-0,20	0,96
45,560	47,71	-0,09	-0,32	45,560	41,89	-0,21	-0,12	45,560	31,52	-0,18	1,29
45,580	47,52	-0,10	-0,43	45,580	41,46	-0,21	0,11	45,580	31,21	-0,15	-1,13
45,600	47,32	-0,11	-0,44	45,600	41,05	-0,21	0,11	45,600	30,92	-0,22	-0,08
45,620	47,09	-0,12	-0,33	45,620	40,63	-0,21	-0,01	45,620	30,33	-0,16	4,53
45,640	46,85	-0,12	-0,21	45,640	40,22	-0,21	0,10	45,640	30,30	-0,04	1,72
45,660	46,61	-0,12	-0,32	45,660	39,81	-0,20	0,33	45,660	30,16	-0,09	-0,93
45,680	46,36	-0,13	-0,44	45,680	39,41	-0,19	0,22	45,680	29,95	-0,08	0,75
45,700	46,08	-0,14	-0,33	45,700	39,03	-0,19	0,10	45,700	29,85	-0,06	0,86
45,720	45,79	-0,15	-0,22	45,720	38,63	-0,19	0,32	45,720	29,72	-0,04	0,86
45,740	45,50	-0,15	-0,22	45,740	38,27	-0,18	0,32	45,740	29,67	-0,02	0,86
45,760	45,19	-0,15	-0,21	45,760	37,91	-0,18	0,32	45,760	29,64	-0,01	0,85
45,780	44,88	-0,16	-0,33	45,780	37,57	-0,17	0,43	45,780	29,63	0,01	1,10
45,800	44,55	-0,17	-0,22	45,800	37,24	-0,16	0,43	45,800	29,68	0,03	0,54
45,820	44,21	-0,17	-0,10	45,820	36,93	-0,15	0,43	45,820	29,77	0,03	0,38
45,840	43,88	-0,17	-0,22	45,840	36,63	-0,14	0,42	45,840	29,82	0,05	1,61
45,860	43,52	-0,18	-0,11	45,860	36,36	-0,13	0,53	45,860	29,97	0,10	1,77
45,880	43,18	-0,18	0,01	45,880	36,10	-0,12	0,65	45,880	30,21	0,12	0,67
45,900	42,82	-0,18	-0,10	45,900	35,87	-0,11	0,54	45,900	30,45	0,12	0,08
45,920	42,47	-0,18	-0,23	45,920	35,67	-0,10	0,42	45,920	30,71	0,12	0,72
45,940	42,09	-0,19	-0,01	45,940	35,48	-0,09	0,53	45,940	30,94	0,15	1,53
45,960	41,73	-0,18	0,22	45,960	35,30	-0,08	0,65	45,960	31,32	0,18	0,88
45,980	41,37	-0,18	0,12	45,980	35,16	-0,07	0,65	45,980	31,68	0,19	0,42
46,000	41,03	-0,18	-0,11	46,000	35,04	-0,05	0,65	46,000	32,08	0,20	0,53
46,020	40,66	-0,18	-0,12	46,020	34,95	-0,04	0,54	46,020	32,49	0,21	0,75
46,040	40,30	-0,18	0,10	46,040	34,88	-0,03	0,53	46,040	32,91	0,23	0,87
46,060	39,94	-0,18	0,22	46,060	34,83	-0,02	0,75	46,060	33,41	0,24	0,53
46,080	39,60	-0,17	0,11	46,080	34,81	-6,53E-4	0,76	46,080	33,89	0,25	0,65
46,100	39,25	-0,17	-0,01	46,100	34,83	0,01	0,54	46,100	34,42	0,27	0,55
46,120	38,91	-0,17	0,10	46,120	34,86	0,02	0,53	46,120	34,97	0,27	0,31
46,140	38,56	-0,17	0,32	46,140	34,91	0,03	0,64	46,140	35,52	0,28	0,54
46,160	38,24	-0,16	0,33	46,160	35,00	0,05	0,64	46,160	36,11	0,30	0,43
46,180	37,93	-0,16	0,21	46,180	35,10	0,06	0,65	46,180	36,71	0,30	0,32
46,200	37,62	-0,15	0,32	46,200	35,23	0,07	0,54	46,200	37,31	0,31	0,44
46,220	37,32	-0,14	0,33	46,220	35,39	0,08	0,53	46,220	37,94	0,32	0,22
46,240	37,05	-0,14	0,22	46,240	35,56	0,09	0,65	46,240	38,58	0,32	0,10
46,260	36,77	-0,13	0,21	46,260	35,76	0,11	0,54	46,260	39,21	0,32	0,22
46,280	36,51	-0,13	0,32	46,280	35,99	0,12	0,54	46,280	39,87	0,33	0,11
46,300	36,25	-0,12	0,44	46,300	36,23	0,13	0,54	46,300	40,52	0,33	2,90E-12
46,320	36,03	-0,11	0,32	46,320	36,50	0,14	0,43	46,320	41,17	0,33	-2,93E-12
46,340	35,80	-0,11	0,32	46,340	36,77	0,15	0,44	46,340	41,83	0,33	0,01
46,360	35,60	-0,10	0,42	46,360	37,08	0,15	0,32	46,360	42,48	0,33	-0,10
46,380	35,41	-0,09	0,54	46,380	37,39	0,16	0,32	46,380	43,13	0,32	-0,21
46,400	35,23	-0,08	0,55	46,400	37,72	0,17	0,43	46,400	43,77	0,32	-0,09
46,420	35,10	-0,07	0,32	46,420	38,06	0,18	0,44	46,420	44,40	0,32	-2,28
46,440	34,96	-0,06	0,32	46,440	38,42	0,18	0,33	46,440	45,04	0,23	-0,46
46,460	34,84	-0,06	0,43	46,460	38,80	0,19	0,21	46,460	45,31	0,30	3,83
46,480	34,73	-0,05	0,43	46,480	39,18	0,19	0,21	46,480	46,25	0,38	-0,61
46,500	34,64	-0,04	0,42	46,500	39,57	0,20	0,22	46,500	46,83	0,28	-3,12
46,520	34,57	-0,03	0,54	46,520	39,97	0,20	0,12	46,520	47,35	0,26	0,31
46,540	34,52	-0,02	0,54	46,540	40,38	0,20	-0,11	46,540	47,86	0,29	0,66
46,560	34,50	-0,01	0,43	46,560	40,77	0,20	-0,01	46,560	48,50	0,28	-1,20
46,580	34,49	-4,31E-4	0,43	46,580	41,17	0,20	0,23	46,580	48,99	0,24	-0,89
46,600	34,50	0,01	0,42	46,600	41,58	0,21	0,01	46,600	49,47	0,25	-0,38
46,620	34,52	0,02	0,54	46,620	42,00	0,20	-0,11	46,620	49,97	0,23	-1,20
46,640	34,57	0,03	0,54	46,640	42,39	0,20	0,01	46,640	50,37	0,20	0,65
46,660	34,64	0,04	0,43	46,660	42,80	0,20	-0,10	46,660	50,77	0,25	0,84
46,680	34,72	0,05	0,43	46,680	43,20	0,20	-0,21	46,680	51,37	0,23	-3,80
46,700	34,82	0,06	0,43	46,700	43,60	0,19	-0,21	46,700	51,69	0,10	-0,49
46,720	34,94	0,06	0,43	46,720	43,97	0,19	-0,21	46,720	51,77	0,21	3,89
46,740	35,08	0,07	0,44	46,740	44,35	0,19	-0,32	46,740	52,54	0,26	-2,47
46,760	35,23	0,08	0,32	46,760	44,71	0,18	-0,33	46,760	52,79	0,11	-4,19
46,780	35,41	0,09	0,31	46,780	45,06	0,17	-0,20	46,780	53,00	0,09	-1,11
46,800	35,58	0,09	0,54	46,800	45,40	0,17	-0,43	46,800	53,14	0,07	-0,64
46,820	35,78	0,11	0,44	46,820	45,73	0,16	-0,44	46,820	53,28	0,06	-0,63
46,840	36,01	0,11	0,32	46,840	46,02	0,15	-0,31	46,840	53,38	0,04	-0,86
46,860	36,23	0,12	0,44	46,860	46,34	0,14	-0,54	46,860	53,45	0,03	-0,86
46,880	36,48	0,13	0,33	46,880	46,59	0,13	-0,43	46,880	53,49	0,01	-0,86
46,900	36,74	0,13	0,21	46,900	46,85	0,13	-0,41	46,900	53,49	-0,01	-0,87
46,920	37,02	0,14	0,21	46,920	47,10	0,11	-0,65	46,920	53,46	-0,02	-0,76
46,940	37,29	0,14	0,32	46,940	47,30	0,10	-0,54	46,940	53,40	-0,04	-0,63
46,960	37,58	0,15	0,44	46,960	47,49	0,09	-0,53	46,960	53,31	-0,05	-0,84
46,980	37,89	0,16	0,33	46,980	47,67	0,08	-0,65	46,980	53,20	-0,07	-1,08
47,000	38,22	0,16	0,11	47,000	47,81	0,07	-0,54	47,000	53,03	-0,09	-0,71
47,020	38,54	0,16	0,10	47,020	47,93	0,06	-0,41	47,020	52,82	-0,10	-6,19
47,040	38,87	0,17	0,21	47,040	48,03	0,05	-0,64	47,040	52,63	-0,34	-3,02
47,060	39,21	0,17	0,21	47,060	48,12	0,03	-0,77	47,060	51,46	-0,22	8,26
47,080	39,56	0,18	0,22	47,080	48,16	0,02	-0,53	47,080	51,74	-0,01	1,33
47,100	39,92	0,18	0,12	47,100	48,19	0,01	-0,64	47,100	51,42	-0,17	-5,64
47,120	40,28	0,18	-0,11	47,120	48,20	-0,01	-0,77	47,120	51,08	-0,24	-1,81
47,140	40,64	0,18	-0,12	47,140	48,16	-0,02	-0,54	47,140	50,48	-0,24	-2,34
47,160	40,98	0,18	0,11	47,160	48,11	-0,03	-0,53	47,160	50,12	-0,33	0,29
47,180	41,34	0,18	0,11	47,180	48,05	-0,04	-0,65	47,180	49,16	-0,23	2,45
47,200	41,71	0,18	0,11	47,200	47,94	-0,06	-0,54	47,200	49,21	-0,23	-0,35
47,220	42,07	0,19	0,01	47,220	47,83	-0,06	-0,53	47,220	48,23	-0,24	0,06
47,240	42,45	0,18	-0,22	47,240	47,69	-0,08	-0,65	47,240	48,24	-0,23	-1,00
47,260	42,79	0,18	-0,11	47,260	47,52	-0,09	-0,54	47,260	47,32	-0,28	1,27
47,280	43,15	0,18	0,01	47,280	47,33	-0,10	-0,54	47,280	47,11	-0,18	0,07
47,300	43,49	0,18	-0,10	47,300	47,13	-0,11	-0,55	47,300	46,60	-0,28	-2,76
47,320	43,86	0,17	-0,22	47,320	46,89	-0,12	-0,42	47,320	46,00	-0,29	-6,98E-4
47,340	44,18	0,17	-0,10	47,340	46,65	-0,13	-0,55	47,340	45,45	-0,28	0,03
47,360	44,53	0,17	-0,21	47,360	46,37	-0,14	-0,45	47,360	44,88	-0,29	-0,44
47,380	44,85	0,16	-0,33	47,380	46,08	-0,15	-0,20	47,380	44,29	-0,30	-0,23
47,400	45,16	0,16	-0,21	47,400	45,79	-0,15	-0,42	47,400	43,69	-0,30	0,01
47,420	45,47	0,15	-0,21	47,420	45,48	-0,16	-0,56	47,420	43,11	-0,30	-0,11
47,440	45,77	0,15	-0,21	47,440	45,14	-0,17	-0,22	47,440	42,50	-0,30	-0,01
47,460	46,06	0,14	-0,31	47,460	44,79	-0,17	-0,21	47,460	41,90	-0,30	0,23
47,480	46,34	0,13	-0,44	47,480	44,45	-0,18	-0,34	47,480	41,32	-0,29	3,72E-4
47,500	46,60	0,12	-0,33	47,500	44,07	-0,19	-0,10	47,500	40,73	-0,30	-0,02
47,520	46,84	0,12	-0,21	47,520	43,71	-0,18	-0,22	47,520	40,13	-0,29	0,33
47,540	47,08	0,12	-0,31	47,540	43,33	-0,19	-0,23	47,540	39,56	-0,28	0,22
47,560	47,30	0,11	-0,43	47,560	42,94	-0,19	0,01	47,560	38,99	-0,28	0,10
47,580	47,51	0,10	-0,43	47,580	42,56	-0,19	-0,11	47,580	38,42	-0,28	0,32
47,600	47,70	0,09	-0,44	47,600	42,16	-0,20	-0,11	47,600	37,87	-0,27	0,43
47,620	47,87	0,08	-0,32	47,620	41,77	-0,20	-8,79E-13	47,620	37,33	-0,26	0,43
47,640	48,03	0,08	-0,31	47,640	41,37	-0,20	-0,01	47,640	36,82	-0,25	0,54
47,660	48,19	0,07	-0,54	47,660	40,98	-0,20	0,10	47,660	36,32	-0,24	0,55
47,680	48,31	0,06	-0,54	47,680	40,58	-0,19	0,22	47,680	35,85	-0,23	0,32
47,700	48,41	0,05	-0,43	47,700	40,20	-0,19	0,11	47,700	35,39	-0,23	0,41
47,720	48,50	0,04	-0,42	47,720	39,82	-0,19	0,10	47,720	34,94	-0,22	0,75
47,740	48,57	0,03	-0,54	47,740	39,44	-0,19	0,21	47,740	34,52	-0,20	0,76
47,760	48,62	0,02	-0,55	47,760	39,08	-0,18	0,32	47,760	34,14	-0,19	0,54
47,780	48,64	0,01	-0,31	47,780	38,72	-0,17	0,33	47,780	33,78	-0,18	0,53
47,800	48,66	0,01	-0,42	47,800	38,39	-0,17	0,20	47,800	33,43	-0,16	0,76
47,820	48,66	-0,01	-0,55	47,820	38,05	-0,16	0,43	47,820	33,12	-0,15	0,53
47,840	48,63	-0,02	-0,43	47,840	37,74	-0,15	0,44	47,840	32,85	-0,14	0,63
47,860	48,59	-0,03	-0,43	47,860	37,44	-0,15	0,31	47,860	32,55	-0,12	1,09
47,880	48,53	-0,03	-0,42	47,880	37,15	-0,14	0,54	47,880	32,36	-0,10	0,76
47,900	48,46	-0,04	-0,55	47,900	36,89	-0,12	0,43	47,900	32,15	-0,09	0,53
47,920	48,36	-0,06	-0,44	47,920	36,65	-0,12	0,42	47,920	32,00	-0,08	0,74
47,940	48,24	-0,06	-0,31	47,940	36,41	-0,11	0,66	47,940	31,84	-0,06	0,98
47,960	48,12	-0,07	-0,54	47,960	36,22	-0,09	0,43	47,960	31,75	-0,04	0,76
47,980	47,97	-0,08	-0,55	47,980	36,03	-0,09	0,42	47,980	31,68	-0,03	0,53
48,000	47,79	-0,09	-0,32	48,000	35,85	-0,08	0,65	48,000	31,63	-0,02	0,74
48,020	47,61	-0,09	-0,32	48,020	35,71	-0,06	0,54	48,020	31,61	-9,88E-4	0,97
48,040	47,42	-0,10	-0,44	48,040	35,59	-0,06	0,53	48,040	31,63	0,02	0,98
48,060	47,19	-0,11	-0,32	48,060	35,49	-0,04	0,65	48,060	31,70	0,04	0,65
48,080	46,97	-0,12	-0,32	48,080	35,42	-0,03	0,65	48,080	31,78	0,05	0,53
48,100	46,73	-0,12	-0,44	48,100	35,36	-0,02	0,54	48,100	31,88	0,06	0,75
48,120	46,48	-0,13	-0,22	48,120	35,35	-0,01	0,53	48,120	32,02	0,08	0,76
48,140	46,20	-0,13	-0,09	48,140	35,33	0,00	0,76	48,140	32,19	0,09	0,53
48,160	45,94	-0,14	-0,43	48,160	35,36	0,02	0,66	48,160	32,38	0,10	0,63
48,180	45,65	-0,15	-0,44	48,180	35,41	0,03	0,42	48,180	32,58	0,12	0,98
