4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	3-ohneKopplungeinzel	3-ohneKopplungeinzel	3-ohneKopplungeinzel	3-ohneKopplungeinzel
Zeit2 (s)	Zeit2 (s)	Zeit2 (s)	Position2 (cm)	Position2 (cm)	Geschwindigkeit2 (m/s)	Geschwindigkeit2 (m/s)	Geschwindigkeit2 (m/s)	Beschleunigung2 (m/s²)	Beschleunigung2 (m/s²)	Beschleunigung2 (m/s²)	Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
44,820	44,820	44,820	43,06	46,80	0,18	0,14	-0,09	-0,11	-0,41	-3,21	44,820	51,29	-0,21	-0,32
44,840	44,840	44,840	43,41	47,08	0,17	0,13	-0,34	-0,11	-0,65	-3,89	44,840	50,86	-0,22	-0,33
44,860	44,860	44,860	43,75	47,32	0,17	0,12	-0,24	0,01	-0,54	4,26	44,860	50,39	-0,23	-0,22
44,880	44,880	44,880	44,10	47,54	0,17	0,11	-0,17	-0,09	-0,54	0,19	44,880	49,95	-0,23	-0,22
44,900	44,900	44,900	44,44	47,75	0,17	0,10	-0,23	-0,32	-0,54	0,82	44,900	49,47	-0,24	-0,10
44,920	44,920	44,920	44,77	47,92	0,16	0,09	-0,14	-0,33	-0,41	-1,78	44,920	49,00	-0,24	-0,22
44,940	44,940	44,940	45,08	48,10	0,16	0,08	-0,31	-0,21	-0,64	-2,86	44,940	48,52	-0,25	-0,23
44,960	44,960	44,960	45,39	48,24	0,15	0,06	-0,25	-0,21	-0,76	3,16	44,960	48,02	-0,25	0,01
44,980	44,980	44,980	45,68	48,34	0,15	0,05	-0,18	-0,21	-0,64	-0,51	44,980	47,54	-0,24	-0,11
45,000	45,000	45,000	45,97	48,43	0,14	0,04	-0,27	-0,32	-0,65	-4,46	45,000	47,04	-0,25	-0,12
45,020	45,020	45,020	46,25	48,48	0,13	0,02	-0,36	-0,33	-0,53	-0,67	45,020	46,54	-0,25	-0,01
45,040	45,040	45,040	46,51	48,52	0,13	0,01	-0,30	-0,21	-0,64	3,35	45,040	46,04	-0,25	0,11
45,060	45,060	45,060	46,77	48,54	0,13	0,00	-0,22	-0,31	-0,77	-0,20	45,060	45,54	-0,25	0,11
45,080	45,080	45,080	47,01	48,51	0,12	-0,02	-0,31	-0,44	-0,53	-2,28	45,080	45,06	-0,25	-0,01
45,100	45,100	45,100	47,23	48,47	0,11	-0,02	-0,31	-0,32	-0,64	-0,34	45,100	44,56	-0,25	0,11
45,120	45,120	45,120	47,44	48,41	0,10	-0,04	-0,32	-0,31	-0,76	-0,11	45,120	44,08	-0,24	0,10
45,140	45,140	45,140	47,65	48,31	0,10	-0,06	-0,32	-0,54	-0,65	-0,10	45,140	43,60	-0,24	0,21
45,160	45,160	45,160	47,82	48,19	0,08	-0,07	-0,32	-0,44	-0,55	-0,22	45,160	43,11	-0,23	0,34
45,180	45,180	45,180	47,98	48,03	0,08	-0,08	-0,33	-0,20	-0,42	-0,11	45,180	42,67	-0,23	0,20
45,200	45,200	45,200	48,13	47,88	0,07	-0,08	-0,33	-0,42	-0,64	1,52E-12	45,200	42,20	-0,22	-1,49
45,220	45,220	45,220	48,27	47,69	0,06	-0,10	-0,33	-0,54	-0,77	-0,01	45,220	41,77	-0,29	-0,09
45,240	45,240	45,240	48,38	47,47	0,05	-0,12	-0,33	-0,42	-0,55	0,11	45,240	41,05	-0,23	3,48
45,260	45,260	45,260	48,48	47,23	0,04	-0,12	-0,32	-0,54	-0,32	0,11	45,260	40,86	-0,15	0,97
45,280	45,280	45,280	48,55	46,97	0,03	-0,13	-0,32	-0,44	-0,42	0,10	45,280	40,46	-0,19	-1,05
45,300	45,300	45,300	48,60	46,72	0,03	-0,14	-0,32	-0,31	-0,66	0,32	45,300	40,10	-0,19	0,41
45,320	45,320	45,320	48,66	46,41	0,02	-0,15	-0,31	-0,54	-0,44	0,32	45,320	39,70	-0,17	0,78
45,340	45,340	45,340	48,68	46,10	0,00	-0,16	-0,31	-0,55	-0,32	0,32	45,340	39,41	-0,16	0,22
45,360	45,360	45,360	48,68	45,77	0,00	-0,17	-0,30	-0,43	-0,43	0,32	45,360	39,06	-0,16	0,20
45,380	45,380	45,380	48,66	45,43	-0,01	-0,18	-0,29	-0,43	-0,44	0,31	45,380	38,75	-0,15	0,54
45,400	45,400	45,400	48,63	45,07	-0,02	-0,18	-0,28	-0,43	-0,34	0,54	45,400	38,46	-0,14	0,54
45,420	45,420	45,420	48,58	44,69	-0,03	-0,19	-0,27	-0,42	-0,10	0,54	45,420	38,18	-0,13	0,54
45,440	45,440	45,440	48,51	44,31	-0,04	-0,19	-0,26	-0,54	-0,21	0,53	45,440	37,94	-0,12	0,44
45,460	45,460	45,460	48,43	43,94	-0,05	-0,20	-0,25	-0,55	-0,34	0,65	45,460	37,70	-0,11	0,32
45,480	45,480	45,480	48,31	43,52	-0,06	-0,20	-0,24	-0,32	-0,11	0,54	45,480	37,49	-0,11	0,39
45,500	45,500	45,500	48,19	43,13	-0,06	-0,20	-0,23	-0,42	-0,11	0,53	45,500	37,26	-0,10	-0,77
45,520	45,520	45,520	48,05	42,72	-0,08	-0,21	-0,22	-0,55	-0,11	0,63	45,520	37,10	-0,14	-2,73
45,540	45,540	45,540	47,88	42,30	-0,09	-0,21	-0,20	-0,32	-0,11	0,96	45,540	36,71	-0,21	0,01
45,560	45,560	45,560	47,71	41,89	-0,09	-0,21	-0,18	-0,32	-0,12	1,29	45,560	36,28	-0,14	4,07
45,580	45,580	45,580	47,52	41,46	-0,10	-0,21	-0,15	-0,43	0,11	-1,13	45,580	36,16	-0,04	4,49
45,600	45,600	45,600	47,32	41,05	-0,11	-0,21	-0,22	-0,44	0,11	-0,08	45,600	36,11	0,04	2,88
45,620	45,620	45,620	47,09	40,63	-0,12	-0,21	-0,16	-0,33	-0,01	4,53	45,620	36,32	0,07	1,12
45,640	45,640	45,640	46,85	40,22	-0,12	-0,21	-0,04	-0,21	0,10	1,72	45,640	36,40	0,09	0,29
45,660	45,660	45,660	46,61	39,81	-0,12	-0,20	-0,09	-0,32	0,33	-0,93	45,660	36,67	0,08	-1,30
45,680	45,680	45,680	46,36	39,41	-0,13	-0,19	-0,08	-0,44	0,22	0,75	45,680	36,74	0,03	-1,15
45,700	45,700	45,700	46,08	39,03	-0,14	-0,19	-0,06	-0,33	0,10	0,86	45,700	36,80	0,04	0,42
45,720	45,720	45,720	45,79	38,63	-0,15	-0,19	-0,04	-0,22	0,32	0,86	45,720	36,89	0,05	0,65
45,740	45,740	45,740	45,50	38,27	-0,15	-0,18	-0,02	-0,22	0,32	0,86	45,740	37,01	0,06	0,54
45,760	45,760	45,760	45,19	37,91	-0,15	-0,18	-0,01	-0,21	0,32	0,85	45,760	37,14	0,07	0,53
45,780	45,780	45,780	44,88	37,57	-0,16	-0,17	0,01	-0,33	0,43	1,10	45,780	37,30	0,09	0,76
45,800	45,800	45,800	44,55	37,24	-0,17	-0,16	0,03	-0,22	0,43	0,54	45,800	37,48	0,10	0,66
45,820	45,820	45,820	44,21	36,93	-0,17	-0,15	0,03	-0,10	0,43	0,38	45,820	37,71	0,11	0,42
45,840	45,840	45,840	43,88	36,63	-0,17	-0,14	0,05	-0,22	0,42	1,61	45,840	37,93	0,12	0,54
45,860	45,860	45,860	43,52	36,36	-0,18	-0,13	0,10	-0,11	0,53	1,77	45,860	38,19	0,13	0,54
45,880	45,880	45,880	43,18	36,10	-0,18	-0,12	0,12	0,01	0,65	0,67	45,880	38,46	0,14	0,42
45,900	45,900	45,900	42,82	35,87	-0,18	-0,11	0,12	-0,10	0,54	0,08	45,900	38,75	0,15	0,54
45,920	45,920	45,920	42,47	35,67	-0,18	-0,10	0,12	-0,23	0,42	0,72	45,920	39,06	0,16	0,54
45,940	45,940	45,940	42,09	35,48	-0,19	-0,09	0,15	-0,01	0,53	1,53	45,940	39,40	0,17	0,43
45,960	45,960	45,960	41,73	35,30	-0,18	-0,08	0,18	0,22	0,65	0,88	45,960	39,74	0,18	0,43
45,980	45,980	45,980	41,37	35,16	-0,18	-0,07	0,19	0,12	0,65	0,42	45,980	40,12	0,19	0,43
46,000	46,000	46,000	41,03	35,04	-0,18	-0,05	0,20	-0,11	0,65	0,53	46,000	40,50	0,20	0,44
46,020	46,020	46,020	40,66	34,95	-0,18	-0,04	0,21	-0,12	0,54	0,75	46,020	40,91	0,21	0,32
46,040	46,040	46,040	40,30	34,88	-0,18	-0,03	0,23	0,10	0,53	0,87	46,040	41,32	0,21	0,32
46,060	46,060	46,060	39,94	34,83	-0,18	-0,02	0,24	0,22	0,75	0,53	46,060	41,75	0,22	0,33
46,080	46,080	46,080	39,60	34,81	-0,17	-6,53E-4	0,25	0,11	0,76	0,65	46,080	42,20	0,22	0,21
46,100	46,100	46,100	39,25	34,83	-0,17	0,01	0,27	-0,01	0,54	0,55	46,100	42,64	0,23	0,21
46,120	46,120	46,120	38,91	34,86	-0,17	0,02	0,27	0,10	0,53	0,31	46,120	43,11	0,23	0,21
46,140	46,140	46,140	38,56	34,91	-0,17	0,03	0,28	0,32	0,64	0,54	46,140	43,57	0,24	0,21
46,160	46,160	46,160	38,24	35,00	-0,16	0,05	0,30	0,33	0,64	0,43	46,160	44,05	0,24	0,21
46,180	46,180	46,180	37,93	35,10	-0,16	0,06	0,30	0,21	0,65	0,32	46,180	44,53	0,24	0,23
46,200	46,200	46,200	37,62	35,23	-0,15	0,07	0,31	0,32	0,54	0,44	46,200	45,03	0,25	0,01
46,220	46,220	46,220	37,32	35,39	-0,14	0,08	0,32	0,33	0,53	0,22	46,220	45,53	0,24	-0,12
46,240	46,240	46,240	37,05	35,56	-0,14	0,09	0,32	0,22	0,65	0,10	46,240	46,01	0,24	0,11
46,260	46,260	46,260	36,77	35,76	-0,13	0,11	0,32	0,21	0,54	0,22	46,260	46,51	0,25	0,12
46,280	46,280	46,280	36,51	35,99	-0,13	0,12	0,33	0,32	0,54	0,11	46,280	47,01	0,25	-0,11
46,300	46,300	46,300	36,25	36,23	-0,12	0,13	0,33	0,44	0,54	2,90E-12	46,300	47,51	0,24	-0,11
46,320	46,320	46,320	36,03	36,50	-0,11	0,14	0,33	0,32	0,43	-2,93E-12	46,320	47,99	0,24	0,02
46,340	46,340	46,340	35,80	36,77	-0,11	0,15	0,33	0,32	0,44	0,01	46,340	48,49	0,25	-0,21
46,360	46,360	46,360	35,60	37,08	-0,10	0,15	0,33	0,42	0,32	-0,10	46,360	48,97	0,24	-0,34
46,380	46,380	46,380	35,41	37,39	-0,09	0,16	0,32	0,54	0,32	-0,21	46,380	49,43	0,23	-0,11
46,400	46,400	46,400	35,23	37,72	-0,08	0,17	0,32	0,55	0,43	-0,09	46,400	49,90	0,23	-0,09
46,420	46,420	46,420	35,10	38,06	-0,07	0,18	0,32	0,32	0,44	-2,28	46,420	50,36	0,23	-0,31
46,440	46,440	46,440	34,96	38,42	-0,06	0,18	0,23	0,32	0,33	-0,46	46,440	50,81	0,22	-0,44
46,460	46,460	46,460	34,84	38,80	-0,06	0,19	0,30	0,43	0,21	3,83	46,460	51,24	0,21	-0,33
46,480	46,480	46,480	34,73	39,18	-0,05	0,19	0,38	0,43	0,21	-0,61	46,480	51,66	0,21	-0,21
46,500	46,500	46,500	34,64	39,57	-0,04	0,20	0,28	0,42	0,22	-3,12	46,500	52,07	0,20	-0,21
46,520	46,520	46,520	34,57	39,97	-0,03	0,20	0,26	0,54	0,12	0,31	46,520	52,46	0,20	-0,31
46,540	46,540	46,540	34,52	40,38	-0,02	0,20	0,29	0,54	-0,11	0,66	46,540	52,86	0,19	-0,54
46,560	46,560	46,560	34,50	40,77	-0,01	0,20	0,28	0,43	-0,01	-1,20	46,560	53,22	0,18	-0,54
46,580	46,580	46,580	34,49	41,17	-4,31E-4	0,20	0,24	0,43	0,23	-0,89	46,580	53,57	0,17	-0,43
46,600	46,600	46,600	34,50	41,58	0,01	0,21	0,25	0,42	0,01	-0,38	46,600	53,90	0,16	-0,42
46,620	46,620	46,620	34,52	42,00	0,02	0,20	0,23	0,54	-0,11	-1,20	46,620	54,21	0,15	-0,54
46,640	46,640	46,640	34,57	42,39	0,03	0,20	0,20	0,54	0,01	0,65	46,640	54,50	0,14	-0,55
46,660	46,660	46,660	34,64	42,80	0,04	0,20	0,25	0,43	-0,10	0,84	46,660	54,76	0,13	-0,42
46,680	46,680	46,680	34,72	43,20	0,05	0,20	0,23	0,43	-0,21	-3,80	46,680	55,02	0,12	-0,53
46,700	46,700	46,700	34,82	43,60	0,06	0,19	0,10	0,43	-0,21	-0,49	46,700	55,25	0,11	-0,65
46,720	46,720	46,720	34,94	43,97	0,06	0,19	0,21	0,43	-0,21	3,89	46,720	55,46	0,10	-0,54
46,740	46,740	46,740	35,08	44,35	0,07	0,19	0,26	0,44	-0,32	-2,47	46,740	55,63	0,09	-0,53
46,760	46,760	46,760	35,23	44,71	0,08	0,18	0,11	0,32	-0,33	-4,19	46,760	55,80	0,07	-0,64
46,780	46,780	46,780	35,41	45,06	0,09	0,17	0,09	0,31	-0,20	-1,11	46,780	55,92	0,06	-0,64
46,800	46,800	46,800	35,58	45,40	0,09	0,17	0,07	0,54	-0,43	-0,64	46,800	56,05	0,05	-0,65
46,820	46,820	46,820	35,78	45,73	0,11	0,16	0,06	0,44	-0,44	-0,63	46,820	56,12	0,04	-0,53
46,840	46,840	46,840	36,01	46,02	0,11	0,15	0,04	0,32	-0,31	-0,86	46,840	56,19	0,03	-0,64
46,860	46,860	46,860	36,23	46,34	0,12	0,14	0,03	0,44	-0,54	-0,86	46,860	56,23	0,01	-0,77
46,880	46,880	46,880	36,48	46,59	0,13	0,13	0,01	0,33	-0,43	-0,86	46,880	56,23	0,00	-0,54
46,900	46,900	46,900	36,74	46,85	0,13	0,13	-0,01	0,21	-0,41	-0,87	46,900	56,21	-0,01	-0,53
46,920	46,920	46,920	37,02	47,10	0,14	0,11	-0,02	0,21	-0,65	-0,76	46,920	56,18	-0,02	-0,65
46,940	46,940	46,940	37,29	47,30	0,14	0,10	-0,04	0,32	-0,54	-0,63	46,940	56,11	-0,04	-0,65
46,960	46,960	46,960	37,58	47,49	0,15	0,09	-0,05	0,44	-0,53	-0,84	46,960	56,03	-0,05	-0,65
46,980	46,980	46,980	37,89	47,67	0,16	0,08	-0,07	0,33	-0,65	-1,08	46,980	55,91	-0,06	-0,54
47,000	47,000	47,000	38,22	47,81	0,16	0,07	-0,09	0,11	-0,54	-0,71	47,000	55,77	-0,07	-0,52
47,020	47,020	47,020	38,54	47,93	0,16	0,06	-0,10	0,10	-0,41	-6,19	47,020	55,62	-0,08	-0,76
47,040	47,040	47,040	38,87	48,03	0,17	0,05	-0,34	0,21	-0,64	-3,02	47,040	55,44	-0,10	-0,66
47,060	47,060	47,060	39,21	48,12	0,17	0,03	-0,22	0,21	-0,77	8,26	47,060	55,21	-0,11	-0,42
47,080	47,080	47,080	39,56	48,16	0,18	0,02	-0,01	0,22	-0,53	1,33	47,080	54,99	-0,12	-0,54
47,100	47,100	47,100	39,92	48,19	0,18	0,01	-0,17	0,12	-0,64	-5,64	47,100	54,74	-0,13	-0,55
47,120	47,120	47,120	40,28	48,20	0,18	-0,01	-0,24	-0,11	-0,77	-1,81	47,120	54,46	-0,14	-0,43
47,140	47,140	47,140	40,64	48,16	0,18	-0,02	-0,24	-0,12	-0,54	-2,34	47,140	54,17	-0,15	-0,42
47,160	47,160	47,160	40,98	48,11	0,18	-0,03	-0,33	0,11	-0,53	0,29	47,160	53,86	-0,16	-0,54
47,180	47,180	47,180	41,34	48,05	0,18	-0,04	-0,23	0,11	-0,65	2,45	47,180	53,54	-0,17	-0,55
47,200	47,200	47,200	41,71	47,94	0,18	-0,06	-0,23	0,11	-0,54	-0,35	47,200	53,18	-0,18	-0,32
47,220	47,220	47,220	42,07	47,83	0,19	-0,06	-0,24	0,01	-0,53	0,06	47,220	52,82	-0,18	-0,31
47,240	47,240	47,240	42,45	47,69	0,18	-0,08	-0,23	-0,22	-0,65	-1,00	47,240	52,44	-0,19	-0,43
47,260	47,260	47,260	42,79	47,52	0,18	-0,09	-0,28	-0,11	-0,54	1,27	47,260	52,04	-0,20	-0,44
47,280	47,280	47,280	43,15	47,33	0,18	-0,10	-0,18	0,01	-0,54	0,07	47,280	51,63	-0,21	-0,32
47,300	47,300	47,300	43,49	47,13	0,18	-0,11	-0,28	-0,10	-0,55	-2,76	47,300	51,20	-0,21	-0,32
47,320	47,320	47,320	43,86	46,89	0,17	-0,12	-0,29	-0,22	-0,42	-6,98E-4	47,320	50,77	-0,22	-0,34
47,340	47,340	47,340	44,18	46,65	0,17	-0,13	-0,28	-0,10	-0,55	0,03	47,340	50,31	-0,23	-0,10
47,360	47,360	47,360	44,53	46,37	0,17	-0,14	-0,29	-0,21	-0,45	-0,44	47,360	49,86	-0,23	-0,22
47,380	47,380	47,380	44,85	46,08	0,16	-0,15	-0,30	-0,33	-0,20	-0,23	47,380	49,40	-0,24	-0,22
47,400	47,400	47,400	45,16	45,79	0,16	-0,15	-0,30	-0,21	-0,42	0,01	47,400	48,92	-0,24	-0,10
47,420	47,420	47,420	45,47	45,48	0,15	-0,16	-0,30	-0,21	-0,56	-0,11	47,420	48,45	-0,24	-0,22
47,440	47,440	47,440	45,77	45,14	0,15	-0,17	-0,30	-0,21	-0,22	-0,01	47,440	47,95	-0,25	-0,12
47,460	47,460	47,460	46,06	44,79	0,14	-0,17	-0,30	-0,31	-0,21	0,23	47,460	47,47	-0,25	1,05E-12
47,480	47,480	47,480	46,34	44,45	0,13	-0,18	-0,29	-0,44	-0,34	3,72E-4	47,480	46,97	-0,25	0,01
47,500	47,500	47,500	46,60	44,07	0,12	-0,19	-0,30	-0,33	-0,10	-0,02	47,500	46,49	-0,24	-0,11
47,520	47,520	47,520	46,84	43,71	0,12	-0,18	-0,29	-0,21	-0,22	0,33	47,520	45,99	-0,25	-0,12
47,540	47,540	47,540	47,08	43,33	0,12	-0,19	-0,28	-0,31	-0,23	0,22	47,540	45,49	-0,25	0,10
47,560	47,560	47,560	47,30	42,94	0,11	-0,19	-0,28	-0,43	0,01	0,10	47,560	44,99	-0,25	0,22
47,580	47,580	47,580	47,51	42,56	0,10	-0,19	-0,28	-0,43	-0,11	0,32	47,580	44,51	-0,24	0,22
47,600	47,600	47,600	47,70	42,16	0,09	-0,20	-0,27	-0,44	-0,11	0,43	47,600	44,03	-0,24	0,11
47,620	47,620	47,620	47,87	41,77	0,08	-0,20	-0,26	-0,32	-8,79E-13	0,43	47,620	43,56	-0,24	0,10
47,640	47,640	47,640	48,03	41,37	0,08	-0,20	-0,25	-0,31	-0,01	0,54	47,640	43,08	-0,23	0,22
47,660	47,660	47,660	48,19	40,98	0,07	-0,20	-0,24	-0,54	0,10	0,55	47,660	42,63	-0,23	0,21
47,680	47,680	47,680	48,31	40,58	0,06	-0,19	-0,23	-0,54	0,22	0,32	47,680	42,17	-0,22	0,32
47,700	47,700	47,700	48,41	40,20	0,05	-0,19	-0,23	-0,43	0,11	0,41	47,700	41,74	-0,22	0,32
47,720	47,720	47,720	48,50	39,82	0,04	-0,19	-0,22	-0,42	0,10	0,75	47,720	41,30	-0,21	0,32
47,740	47,740	47,740	48,57	39,44	0,03	-0,19	-0,20	-0,54	0,21	0,76	47,740	40,89	-0,20	0,43
47,760	47,760	47,760	48,62	39,08	0,02	-0,18	-0,19	-0,55	0,32	0,54	47,760	40,49	-0,19	0,44
47,780	47,780	47,780	48,64	38,72	0,01	-0,17	-0,18	-0,31	0,33	0,53	47,780	40,11	-0,19	0,32
47,800	47,800	47,800	48,66	38,39	0,01	-0,17	-0,16	-0,42	0,20	0,76	47,800	39,75	-0,18	0,31
47,820	47,820	47,820	48,66	38,05	-0,01	-0,16	-0,15	-0,55	0,43	0,53	47,820	39,39	-0,17	0,54
47,840	47,840	47,840	48,63	37,74	-0,02	-0,15	-0,14	-0,43	0,44	0,63	47,840	39,06	-0,16	0,54
47,860	47,860	47,860	48,59	37,44	-0,03	-0,15	-0,12	-0,43	0,31	1,09	47,860	38,75	-0,15	0,42
47,880	47,880	47,880	48,53	37,15	-0,03	-0,14	-0,10	-0,42	0,54	0,76	47,880	38,46	-0,14	0,53
47,900	47,900	47,900	48,46	36,89	-0,04	-0,12	-0,09	-0,55	0,43	0,53	47,900	38,18	-0,13	0,65
47,920	47,920	47,920	48,36	36,65	-0,06	-0,12	-0,08	-0,44	0,42	0,74	47,920	37,94	-0,12	0,54
47,940	47,940	47,940	48,24	36,41	-0,06	-0,11	-0,06	-0,31	0,66	0,98	47,940	37,71	-0,11	0,42
47,960	47,960	47,960	48,12	36,22	-0,07	-0,09	-0,04	-0,54	0,43	0,76	47,960	37,51	-0,10	0,53
47,980	47,980	47,980	47,97	36,03	-0,08	-0,09	-0,03	-0,55	0,42	0,53	47,980	37,32	-0,09	0,65
48,000	48,000	48,000	47,79	35,85	-0,09	-0,08	-0,02	-0,32	0,65	0,74	48,000	37,16	-0,07	0,65
48,020	48,020	48,020	47,61	35,71	-0,09	-0,06	-9,88E-4	-0,32	0,54	0,97	48,020	37,02	-0,06	0,65
48,040	48,040	48,040	47,42	35,59	-0,10	-0,06	0,02	-0,44	0,53	0,98	48,040	36,92	-0,05	0,65
48,060	48,060	48,060	47,19	35,49	-0,11	-0,04	0,04	-0,32	0,65	0,65	48,060	36,83	-0,04	0,65
48,080	48,080	48,080	46,97	35,42	-0,12	-0,03	0,05	-0,32	0,65	0,53	48,080	36,78	-0,02	0,54
48,100	48,100	48,100	46,73	35,36	-0,12	-0,02	0,06	-0,44	0,54	0,75	48,100	36,74	-0,01	0,53
48,120	48,120	48,120	46,48	35,35	-0,13	-0,01	0,08	-0,22	0,53	0,76	48,120	36,72	-9,18E-4	0,75
48,140	48,140	48,140	46,20	35,33	-0,13	0,00	0,09	-0,09	0,76	0,53	48,140	36,74	0,02	0,76
48,160	48,160	48,160	45,94	35,36	-0,14	0,02	0,10	-0,43	0,66	0,63	48,160	36,79	0,03	0,54
48,180	48,180	48,180	45,65	35,41	-0,15	0,03	0,12	-0,44	0,42	0,98	48,180	36,85	0,04	0,53
48,200	48,200	48,200	45,34	35,48	-0,15	0,04	0,14	-0,22	0,53	0,77	48,200	36,94	0,05	0,64
48,220	48,220	48,220	45,03	35,56	-0,16	0,05	0,15	-0,22	0,65	0,42	48,220	37,06	0,06	0,64
48,240	48,240	48,240	44,71	35,68	-0,16	0,06	0,15	-0,11	0,54	0,54	48,240	37,19	0,08	0,65
48,260	48,260	48,260	44,38	35,82	-0,16	0,07	0,17	-0,10	0,54	0,54	48,260	37,37	0,09	0,54
48,280	48,280	48,280	44,05	35,97	-0,17	0,09	0,18	-0,22	0,54	0,43	48,280	37,55	0,10	0,53
48,300	48,300	48,300	43,71	36,16	-0,17	0,09	0,18	-0,22	0,42	0,43	48,300	37,76	0,11	0,65
48,320	48,320	48,320	43,37	36,35	-0,18	0,10	0,19	-0,11	0,54	0,43	48,320	38,00	0,12	0,54
48,340	48,340	48,340	43,00	36,57	-0,18	0,12	0,20	0,01	0,54	0,43	48,340	38,25	0,13	0,54
48,360	48,360	48,360	42,66	36,81	-0,18	0,12	0,21	-0,11	0,43	0,43	48,360	38,53	0,15	0,54
48,380	48,380	48,380	42,30	37,07	-0,18	0,13	0,22	-0,11	0,44	0,33	48,380	38,84	0,15	0,43
48,400	48,400	48,400	41,94	37,34	-0,18	0,14	0,22	-0,01	0,32	0,21	48,400	39,14	0,16	0,43
48,420	48,420	48,420	41,58	37,63	-0,18	0,15	0,23	0,11	0,32	0,32	48,420	39,49	0,17	0,42
48,440	48,440	48,440	41,21	37,93	-0,18	0,15	0,24	0,11	0,44	0,33	48,440	39,83	0,18	0,54
48,460	48,460	48,460	40,87	38,25	-0,18	0,16	0,24	-1,53E-12	0,32	0,11	48,460	40,21	0,19	0,44
48,480	48,480	48,480	40,51	38,58	-0,18	0,17	0,24	-6,94E-14	0,32	0,11	48,480	40,60	0,20	0,21
48,500	48,500	48,500	40,17	38,92	-0,18	0,18	0,24	-0,01	0,33	0,11	48,500	41,00	0,20	0,32
48,520	48,520	48,520	39,80	39,28	-0,18	0,18	0,24	0,22	0,11	0,11	48,520	41,41	0,21	0,43
48,540	48,540	48,540	39,46	39,64	-0,17	0,18	0,25	0,22	0,10	0,01	48,540	41,84	0,22	0,44
48,560	48,560	48,560	39,13	40,00	-0,17	0,18	0,25	0,10	0,23	-0,23	48,560	42,28	0,23	0,22
48,580	48,580	48,580	38,79	40,38	-0,16	0,19	0,24	0,22	0,01	0,11	48,580	42,75	0,23	0,09
48,600	48,600	48,600	38,48	40,76	-0,16	0,18	0,25	0,10	-0,12	0,02	48,600	43,19	0,23	0,33
48,620	48,620	48,620	38,15	41,12	-0,16	0,18	0,24	0,20	0,11	-0,33	48,620	43,67	0,24	0,23
48,640	48,640	48,640	37,84	41,50	-0,15	0,19	0,24	0,44	0,11	-0,22	48,640	44,16	0,24	-0,01
48,660	48,660	48,660	37,55	41,88	-0,14	0,19	0,23	0,33	0,01	-0,11	48,660	44,64	0,24	0,11
48,680	48,680	48,680	37,27	42,25	-0,14	0,19	0,23	0,22	-0,11	0,03	48,680	45,12	0,24	0,11
48,700	48,700	48,700	36,99	42,63	-0,13	0,18	0,23	0,21	-0,11	-0,42	48,700	45,62	0,24	-0,01
48,720	48,720	48,720	36,74	42,99	-0,13	0,19	0,22	0,32	-0,10	-0,56	48,720	46,10	0,24	0,11
48,740	48,740	48,740	36,48	43,37	-0,12	0,18	0,21	0,44	-0,21	-0,21	48,740	46,60	0,25	0,01
48,760	48,760	48,760	36,25	43,72	-0,11	0,18	0,21	0,32	-0,21	-0,19	48,760	47,10	0,24	-0,11
48,780	48,780	48,780	36,03	44,08	-0,11	0,17	0,20	0,32	-0,32	-2,38	48,780	47,58	0,24	0,02
48,800	48,800	48,800	35,82	44,41	-0,10	0,16	0,11	0,44	-0,33	-0,56	48,800	48,07	0,25	-0,21
48,820	48,820	48,820	35,63	44,73	-0,09	0,16	0,18	0,32	-0,21	1,76	48,820	48,56	0,24	-0,23
48,840	48,840	48,840	35,46	45,04	-0,09	0,16	0,18	0,31	-0,32	-2,49	48,840	49,02	0,24	0,02
48,860	48,860	48,860	35,28	45,36	-0,08	0,15	0,08	0,54	-0,44	1,05	48,860	49,50	0,24	-0,21
48,880	48,880	48,880	35,15	45,63	-0,06	0,14	0,22	0,54	-0,31	3,59	48,880	49,97	0,23	-0,33
48,900	48,900	48,900	35,02	45,91	-0,06	0,13	0,22	0,44	-0,42	-3,97	48,900	50,41	0,22	-0,21
48,920	48,920	48,920	34,92	46,17	-0,05	0,12	0,07	0,32	-0,54	-2,72	48,920	50,86	0,22	-0,32
48,940	48,940	48,940	34,83	46,39	-0,04	0,11	0,12	0,31	-0,43	3,02	48,940	51,29	0,21	-0,32
48,960	48,960	48,960	34,75	46,62	-0,04	0,10	0,19	0,54	-0,42	-0,29	48,960	51,71	0,21	-0,31
48,980	48,980	48,980	34,69	46,81	-0,02	0,10	0,10	0,54	-0,53	-2,46	48,980	52,12	0,20	-0,44
49,000	49,000	49,000	34,66	47,00	-0,01	0,08	0,09	0,42	-0,66	-2,56	49,000	52,50	0,19	-0,32
