4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	3-ohneKopplungeinzel	3-ohneKopplungeinzel	3-ohneKopplungeinzel	3-ohneKopplungeinzel
Zeit2 (s)	Zeit2 (s)	Zeit2 (s)	Position2 (cm)	Position2 (cm)	Geschwindigkeit2 (m/s)	Geschwindigkeit2 (m/s)	Geschwindigkeit2 (m/s)	Beschleunigung2 (m/s²)	Beschleunigung2 (m/s²)	Beschleunigung2 (m/s²)	Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
1,460	1,460	1,460	44,66	34,78	-0,23	0,16	0,24	-0,11	0,65	0,54	1,460	40,98	0,24	0,32
1,480	1,480	1,480	44,20	35,12	-0,23	0,17	0,25	-0,11	0,42	0,55	1,480	41,46	0,24	0,32
1,500	1,500	1,500	43,74	35,46	-0,24	0,18	0,26	-0,11	0,64	0,21	1,500	41,95	0,25	0,33
1,520	1,520	1,520	43,25	35,84	-0,24	0,20	0,26	0,01	0,66	0,20	1,520	42,47	0,26	0,21
1,540	1,540	1,540	42,79	36,25	-0,24	0,21	0,27	-0,22	0,43	0,43	1,540	42,98	0,26	0,22
1,560	1,560	1,560	42,31	36,66	-0,25	0,21	0,27	-0,24	0,43	0,33	1,560	43,52	0,27	0,11
1,580	1,580	1,580	41,81	37,11	-0,25	0,22	0,28	0,10	0,43	0,22	1,580	44,05	0,27	0,10
1,600	1,600	1,600	41,33	37,56	-0,24	0,23	0,28	0,23	0,44	0,11	1,600	44,58	0,27	0,22
1,620	1,620	1,620	40,84	38,04	-0,24	0,24	0,28	0,01	0,33	0,10	1,620	45,13	0,27	0,11
1,640	1,640	1,640	40,38	38,52	-0,24	0,24	0,29	-0,13	0,21	0,22	1,640	45,68	0,27	0,11
1,660	1,660	1,660	39,88	39,02	-0,24	0,25	0,29	0,22	0,22	0,12	1,660	46,23	0,28	0,13
1,680	1,680	1,680	39,41	39,51	-0,23	0,25	0,29	0,22	0,11	-0,10	1,680	46,80	0,28	-0,21
1,700	1,700	1,700	38,95	40,03	-0,23	0,25	0,29	0,10	-0,01	-0,22	1,700	47,35	0,27	-0,23
1,720	1,720	1,720	38,48	40,53	-0,23	0,25	0,28	0,22	0,10	-0,11	1,720	47,88	0,27	0,01
1,740	1,740	1,740	38,04	41,04	-0,22	0,26	0,28	0,21	0,22	0,01	1,740	48,43	0,27	-0,10
1,760	1,760	1,760	37,59	41,56	-0,22	0,26	0,28	0,32	0,12	-0,21	1,760	48,96	0,27	-0,21
1,780	1,780	1,780	37,16	42,09	-0,21	0,26	0,28	0,33	-0,10	-0,33	1,780	49,50	0,26	-0,21
1,800	1,800	1,800	36,74	42,61	-0,21	0,26	0,27	0,21	-0,21	-0,21	1,800	50,01	0,26	-0,21
1,820	1,820	1,820	36,33	43,12	-0,20	0,25	0,27	0,32	-0,21	-0,33	1,820	50,53	0,25	-0,21
1,840	1,840	1,840	35,93	43,62	-0,19	0,25	0,26	0,43	-0,21	-0,21	1,840	51,03	0,25	-0,21
1,860	1,860	1,860	35,55	44,12	-0,19	0,25	0,26	0,43	-0,21	-0,19	1,860	51,53	0,25	-0,31
1,880	1,880	1,880	35,19	44,60	-0,18	0,24	0,25	0,43	-0,31	-0,54	1,880	52,01	0,24	-0,43
1,900	1,900	1,900	34,85	45,09	-0,17	0,23	0,24	0,43	-0,43	-0,54	1,900	52,48	0,23	-0,43
1,920	1,920	1,920	34,52	45,53	-0,16	0,22	0,23	0,43	-0,43	-0,43	1,920	52,93	0,22	-0,43
1,940	1,940	1,940	34,21	45,98	-0,15	0,22	0,22	0,54	-0,44	-0,42	1,940	53,36	0,21	-0,43
1,960	1,960	1,960	33,91	46,39	-0,14	0,21	0,21	0,54	-0,31	-0,53	1,960	53,77	0,20	-0,43
1,980	1,980	1,980	33,66	46,81	-0,13	0,20	0,20	0,44	-0,41	-0,64	1,980	54,17	0,19	-0,42
2,000	2,000	2,000	33,40	47,21	-0,12	0,19	0,19	0,31	-0,65	-0,64	2,000	54,55	0,19	-0,53
2,020	2,020	2,020	33,17	47,57	-0,12	0,18	0,17	0,63	-0,54	-0,64	2,020	54,91	0,17	-0,65
2,040	2,040	2,040	32,93	47,91	-0,10	0,17	0,16	0,99	-0,52	-0,65	2,040	55,24	0,16	-0,54
2,060	2,060	2,060	32,79	48,24	-0,08	0,16	0,15	0,43	-0,75	-0,55	2,060	55,55	0,15	-0,53
2,080	2,080	2,080	32,62	48,54	-0,08	0,14	0,14	0,42	-0,76	-0,29	2,080	55,84	0,14	-0,65
2,100	2,100	2,100	32,48	48,80	-0,06	0,13	0,14	0,65	-0,64	-0,73	2,100	56,10	0,13	-0,54
2,120	2,120	2,120	32,38	49,04	-0,05	0,11	0,11	0,53	-0,75	-1,12	2,120	56,35	0,12	-0,52
2,140	2,140	2,140	32,27	49,25	-0,04	0,10	0,09	0,75	-0,76	-0,42	2,140	56,57	0,10	-0,75
2,160	2,160	2,160	32,22	49,42	-0,02	0,08	0,09	0,76	-0,64	-0,51	2,160	56,76	0,09	-0,76
2,180	2,180	2,180	32,18	49,58	-0,01	0,07	0,07	0,54	-0,74	-0,99	2,180	56,92	0,07	-0,64
2,200	2,200	2,200	32,18	49,70	-4,02E-4	0,05	0,05	0,43	-0,87	-0,64	2,200	57,06	0,06	-0,64
2,220	2,220	2,220	32,18	49,79	0,01	0,04	0,04	0,41	-0,75	-0,64	2,220	57,17	0,05	-0,64
2,240	2,240	2,240	32,21	49,84	0,02	0,02	0,03	0,74	-0,74	-0,74	2,240	57,25	0,04	-0,75
2,260	2,260	2,260	32,24	49,88	0,04	0,01	0,01	1,00	-0,87	0,75	2,260	57,31	0,02	-0,76
2,280	2,280	2,280	32,37	49,87	0,06	-0,01	0,06	0,32	-0,75	-0,58	2,280	57,33	0,01	-0,64
2,300	2,300	2,300	32,47	49,83	0,05	-0,02	-0,01	0,30	-0,74	-3,30	2,300	57,33	-0,01	-0,65
2,320	2,320	2,320	32,57	49,77	0,07	-0,04	-0,08	0,86	-0,86	-0,73	2,320	57,30	-0,02	-0,64
2,340	2,340	2,340	32,74	49,67	0,09	-0,06	-0,04	0,76	-0,87	0,62	2,340	57,25	-0,03	-0,75
2,360	2,360	2,360	32,91	49,53	0,10	-0,08	-0,05	0,65	-0,76	-0,54	2,360	57,17	-0,05	-0,76
2,380	2,380	2,380	33,13	49,36	0,11	-0,09	-0,06	0,43	-0,64	-0,52	2,380	57,05	-0,06	-0,64
2,400	2,400	2,400	33,36	49,17	0,12	-0,10	-0,07	0,42	-0,76	-0,77	2,400	56,91	-0,08	-0,76
2,420	2,420	2,420	33,60	48,95	0,13	-0,12	-0,09	0,54	-0,65	-0,56	2,420	56,74	-0,09	-0,65
2,440	2,440	2,440	33,87	48,69	0,14	-0,13	-0,09	0,42	-0,52	-0,19	2,440	56,54	-0,10	-0,53
2,460	2,460	2,460	34,14	48,44	0,15	-0,14	-0,10	0,54	-0,76	-0,52	2,460	56,33	-0,12	-0,65
2,480	2,480	2,480	34,45	48,13	0,16	-0,16	-0,12	0,43	-0,65	-0,78	2,480	56,08	-0,13	-0,65
2,500	2,500	2,500	34,78	47,81	0,16	-0,17	-0,13	0,31	-0,53	-0,33	2,500	55,82	-0,14	-0,65
2,520	2,520	2,520	35,10	47,46	0,17	-0,18	-0,13	0,54	-0,65	-0,20	2,520	55,51	-0,15	-0,54
2,540	2,540	2,540	35,46	47,09	0,18	-0,19	-0,14	0,43	-0,55	-0,43	2,540	55,21	-0,16	-0,54
2,560	2,560	2,560	35,84	46,69	0,19	-0,20	-0,15	0,32	-0,43	-0,43	2,560	54,86	-0,18	-0,55
2,580	2,580	2,580	36,22	46,28	0,20	-0,21	-0,15	0,44	-0,44	-0,45	2,580	54,50	-0,18	-0,43
