Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Beleuchtungsstärke (lux)	Relative Intensität
10,500	-1,268	-0,157	0,628	-0,0303	-0,004	0,015	0,1	0,00
10,550	-1,274	-0,110	0,157	-0,0304	-0,003	0,004	0,1	0,00
10,600	-1,279	-0,141	-0,471	-0,0305	-0,003	-0,011	0,1	0,00
10,650	-1,288	-0,157	0,157	-0,0308	-0,004	0,004	0,1	0,00
10,700	-1,294	-0,126	0,157	-0,0309	-0,003	0,004	0,1	0,00
10,750	-1,301	-0,141	-0,157	-0,0311	-0,003	-0,004	0,1	0,00
10,800	-1,308	-0,141	0,157	-0,0312	-0,003	0,004	0,1	0,00
10,850	-1,315	-0,126	-2,498E-14	-0,0314	-0,003	-6,028E-16	0,1	0,00
10,900	-1,321	-0,141	-0,471	-0,0315	-0,003	-0,011	0,1	0,00
10,950	-1,329	-0,173	-0,157	-0,0317	-0,004	-0,004	0,1	0,00
11,000	-1,338	-0,157	0,314	-0,0320	-0,004	0,008	0,1	0,00
11,050	-1,345	-0,141	0,314	-0,0321	-0,003	0,007	0,1	0,00
11,100	-1,352	-0,126	0,314	-0,0323	-0,003	0,007	0,1	9,92E-4
11,150	-1,357	-0,110	-0,314	-0,0324	-0,003	-0,008	0,1	9,77E-4
11,200	-1,363	-0,157	-0,628	-0,0326	-0,004	-0,015	0,1	9,77E-4
11,250	-1,373	-0,173	0,471	-0,0328	-0,004	0,011	0,1	9,77E-4
11,300	-1,381	-0,110	0,471	-0,0330	-0,003	0,011	0,1	0,00
11,350	-1,384	-0,126	-0,314	-0,0330	-0,003	-0,008	0,1	0,00
11,400	-1,393	-0,141	0,157	-0,0333	-0,003	0,004	0,1	0,00
11,450	-1,398	-0,110	0,000	-0,0334	-0,003	6,939E-16	0,1	0,00
11,500	-1,404	-0,141	-0,157	-0,0335	-0,003	-0,004	0,1	0,00
11,550	-1,412	-0,126	0,628	-0,0337	-0,003	0,015	0,1	0,00
11,600	-1,417	-0,079	0,785	-0,0338	-0,002	0,019	0,1	0,00
11,650	-1,420	-0,047	0,314	-0,0339	-0,001	0,007	0,1	0,00
11,700	-1,422	-0,047	0,000	-0,0339	-0,001	0,000	0,1	0,00
11,750	-1,425	-0,047	-0,314	-0,0340	-0,001	-0,007	0,1	0,00
11,800	-1,426	-0,079	-0,942	-0,0341	-0,002	-0,022	0,1	0,00
11,850	-1,433	-0,141	-0,628	-0,0342	-0,003	-0,015	0,1	0,00
11,900	-1,440	-0,141	0,157	-0,0344	-0,003	0,004	0,1	0,00
11,950	-1,447	-0,126	-0,157	-0,0345	-0,003	-0,004	0,1	0,00
12,000	-1,453	-0,157	-0,314	-0,0347	-0,004	-0,007	0,1	0,00
12,050	-1,462	-0,157	0,157	-0,0349	-0,004	0,004	0,1	0,00
12,100	-1,469	-0,141	0,314	-0,0351	-0,003	0,007	0,1	0,00
12,150	-1,477	-0,126	0,628	-0,0353	-0,003	0,015	0,1	0,00
12,200	-1,481	-0,079	0,314	-0,0354	-0,002	0,008	0,1	0,00
12,250	-1,484	-0,094	-0,628	-0,0354	-0,002	-0,015	0,1	0,00
12,300	-1,491	-0,141	-0,628	-0,0356	-0,003	-0,015	0,1	0,00
12,350	-1,499	-0,157	0,157	-0,0358	-0,004	0,004	0,1	0,00
12,400	-1,506	-0,126	0,628	-0,0360	-0,003	0,015	0,1	0,00
12,450	-1,511	-0,094	0,314	-0,0361	-0,002	0,008	0,1	0,00
12,500	-1,516	-0,094	0,157	-0,0362	-0,002	0,004	0,1	0,00
12,550	-1,521	-0,079	3,900E-14	-0,0363	-0,002	1,093E-15	0,1	0,00
12,600	-1,524	-0,094	-0,628	-0,0364	-0,002	-0,015	0,1	0,00
12,650	-1,530	-0,141	-0,314	-0,0365	-0,003	-0,008	0,1	0,00
12,700	-1,538	-0,126	0,628	-0,0367	-0,003	0,015	0,1	0,00
12,750	-1,543	-0,079	0,471	-0,0368	-0,002	0,011	0,1	0,00
12,800	-1,546	-0,079	-0,157	-0,0369	-0,002	-0,004	0,1	0,00
12,850	-1,550	-0,094	-1,388E-14	-0,0370	-0,002	-3,339E-16	0,1	0,00
12,900	-1,555	-0,079	0,314	-0,0371	-0,002	0,007	0,1	0,00
12,950	-1,558	-0,063	0,314	-0,0372	-0,002	0,008	0,1	0,00
13,000	-1,561	-0,047	0,157	-0,0373	-0,001	0,004	0,1	0,00
13,050	-1,563	-0,047	-0,157	-0,0373	-0,001	-0,004	0,1	0,00
13,100	-1,566	-0,063	-8,396E-15	-0,0374	-0,001	-1,995E-16	0,1	0,00
13,150	-1,569	-0,047	0,157	-0,0375	-0,001	0,004	0,1	0,00
13,200	-1,571	-0,047	0,000	-0,0375	-0,001	0,000	0,1	0,00
13,250	-1,574	-0,047	1,679E-14	-0,0376	-0,001	4,012E-16	0,1	0,00
13,300	-1,576	-0,047	0,000	-0,0376	-0,001	0,000	0,1	0,00
13,350	-1,579	-0,047	0,157	-0,0377	-0,001	0,004	0,1	0,00
13,400	-1,580	-0,031	0,157	-0,0377	-7,500E-4	0,004	0,1	0,00
13,450	-1,582	-0,031	0,000	-0,0378	-7,500E-4	0,000	0,1	0,00
13,500	-1,583	-0,031	-0,157	-0,0378	-7,500E-4	-0,004	0,1	0,00
13,550	-1,585	-0,047	2,776E-14	-0,0378	-0,001	8,272E-16	0,1	0,00
13,600	-1,588	-0,031	0,314	-0,0379	-7,500E-4	0,007	0,1	0,00
13,650	-1,588	-0,016	-2,776E-14	-0,0379	-3,750E-4	-8,272E-16	0,1	0,00
13,700	-1,590	-0,031	-0,157	-0,0380	-7,500E-4	-0,004	0,1	0,00
13,750	-1,591	-0,031	0,000	-0,0380	-7,500E-4	0,000	0,1	0,00
13,800	-1,593	-0,031	5,551E-15	-0,0380	-7,500E-4	1,334E-16	0,1	0,00
13,850	-1,594	-0,031	0,000	-0,0381	-7,500E-4	0,000	0,1	0,00
13,900	-1,596	-0,031	-1,117E-14	-0,0381	-7,500E-4	-2,656E-16	0,1	0,00
13,950	-1,598	-0,031	0,000	-0,0381	-7,500E-4	0,000	0,1	0,00
14,000	-1,599	-0,031	1,117E-14	-0,0382	-7,500E-4	2,656E-16	0,1	0,00
14,050	-1,601	-0,031	0,157	-0,0382	-7,500E-4	0,004	0,1	0,00
14,100	-1,602	-0,016	0,157	-0,0383	-3,750E-4	0,004	0,1	0,00
14,150	-1,602	-0,016	-0,157	-0,0383	-3,750E-4	-0,004	0,1	0,00
14,200	-1,604	-0,031	-0,157	-0,0383	-7,500E-4	-0,004	0,1	0,00
14,250	-1,605	-0,031	5,551E-15	-0,0383	-7,500E-4	1,334E-16	0,1	0,00
14,300	-1,607	-0,031	0,000	-0,0384	-7,500E-4	0,000	0,1	0,00
14,350	-1,608	-0,031	-5,551E-15	-0,0384	-7,500E-4	-1,334E-16	0,1	0,00
14,400	-1,610	-0,031	0,000	-0,0384	-7,500E-4	0,000	0,1	0,00
14,450	-1,612	-0,031	0,000	-0,0385	-7,500E-4	0,000	0,1	0,00
14,500	-1,613	-0,031	-0,157	-0,0385	-7,500E-4	-0,004	0,1	0,00
14,550	-1,615	-0,047	-0,157	-0,0386	-0,001	-0,004	0,1	0,00
14,600	-1,618	-0,047	0,157	-0,0386	-0,001	0,004	0,1	0,00
14,650	-1,619	-0,031	0,157	-0,0387	-7,500E-4	0,004	0,1	0,00
14,700	-1,621	-0,031	0,000	-0,0387	-7,500E-4	0,000	0,1	0,00
14,750	-1,623	-0,031	5,551E-15	-0,0387	-7,500E-4	1,334E-16	0,1	0,00
14,800	-1,624	-0,031	0,000	-0,0388	-7,500E-4	0,000	0,1	0,00
14,850	-1,626	-0,031	-5,551E-15	-0,0388	-7,500E-4	-1,334E-16	0,1	0,00
14,900	-1,627	-0,031	5,551E-15	-0,0389	-7,500E-4	1,334E-16	0,1	0,00
14,950	-1,629	-0,031	0,000	-0,0389	-7,500E-4	0,000	0,1	0,00
