Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit2 (s)	Winkel2 (rad)	Winkelgeschwindigkeit2 (rad/s)	Winkelbeschleunigung2 (rad/s²)	Position2 (m)	Geschwindigkeit2 (m/s)	Beschleunigung2 (m/s²)	Beleuchtungsstärke2 (lux)	Relative Intensität2	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Beleuchtungsstärke (lux)	Relative Intensität
3,750	-0,328	-0,141	-0,785	-0,0078	-0,003	-0,019	0,1	9,61E-4	3,750	-0,243	-0,141	-0,471	-0,0058	-0,003	-0,011	0,1	9,77E-4
3,800	-0,336	-0,173	-0,157	-0,0080	-0,004	-0,004	0,1	9,61E-4	3,800	-0,251	-0,141	0,157	-0,0060	-0,003	0,004	0,1	9,61E-4
3,850	-0,346	-0,157	0,471	-0,0083	-0,004	0,011	0,1	9,46E-4	3,850	-0,258	-0,126	0,628	-0,0062	-0,003	0,015	0,1	9,92E-4
3,900	-0,352	-0,126	0,157	-0,0084	-0,003	0,004	0,1	9,46E-4	3,900	-0,264	-0,079	-1,110E-14	-0,0063	-0,002	-2,689E-16	0,1	0,00
3,950	-0,358	-0,141	-0,314	-0,0086	-0,003	-0,008	0,1	9,31E-4	3,950	-0,265	-0,126	-0,471	-0,0063	-0,003	-0,011	0,1	0,00
4,000	-0,366	-0,157	1,249E-14	-0,0087	-0,004	2,992E-16	0,1	9,31E-4	4,000	-0,276	-0,126	0,314	-0,0066	-0,003	0,008	0,1	0,00
4,050	-0,374	-0,141	0,471	-0,0089	-0,003	0,011	0,1	9,46E-4	4,050	-0,278	-0,094	-0,471	-0,0066	-0,002	-0,011	0,1	0,00
4,100	-0,380	-0,110	0,157	-0,0091	-0,003	0,004	0,1	9,31E-4	4,100	-0,286	-0,173	-0,628	-0,0068	-0,004	-0,015	0,1	0,00
4,150	-0,385	-0,126	0,157	-0,0092	-0,003	0,004	0,1	9,46E-4	4,150	-0,295	-0,157	0,942	-0,0071	-0,004	0,022	0,1	0,00
4,200	-0,393	-0,094	0,000	-0,0094	-0,002	0,000	0,1	9,46E-4	4,200	-0,302	-0,079	0,785	-0,0072	-0,002	0,019	0,1	0,00
4,250	-0,394	-0,126	-0,942	-0,0094	-0,003	-0,022	0,1	9,31E-4	4,250	-0,303	-0,079	-0,628	-0,0072	-0,002	-0,015	0,1	0,00
4,300	-0,405	-0,188	-0,314	-0,0097	-0,004	-0,007	0,1	9,61E-4	4,300	-0,309	-0,141	-0,471	-0,0074	-0,003	-0,011	0,1	0,00
4,350	-0,413	-0,157	0,471	-0,0099	-0,004	0,011	0,1	9,77E-4	4,350	-0,317	-0,126	-1,249E-14	-0,0076	-0,003	-2,125E-16	0,1	0,00
