Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit2 (s)	Winkel2 (rad)	Winkelgeschwindigkeit2 (rad/s)	Winkelbeschleunigung2 (rad/s²)	Position2 (m)	Geschwindigkeit2 (m/s)	Beschleunigung2 (m/s²)	Beleuchtungsstärke2 (lux)	Relative Intensität2	Zeit22 (s)	Winkel22 (rad)	Winkelgeschwindigkeit22 (rad/s)	Winkelbeschleunigung22 (rad/s²)	Position22 (m)	Geschwindigkeit22 (m/s)	Beschleunigung22 (m/s²)	Beleuchtungsstärke22 (lux)	Relative Intensität22	Zeit3 (s)	Winkel3 (rad)	Winkelgeschwindigkeit3 (rad/s)	Winkelbeschleunigung3 (rad/s²)	Position3 (m)	Geschwindigkeit3 (m/s)	Beschleunigung3 (m/s²)	Beleuchtungsstärke3 (lux)	Relative Intensität3	Zeit23 (s)	Winkel23 (rad)	Winkelgeschwindigkeit23 (rad/s)	Winkelbeschleunigung23 (rad/s²)	Position23 (m)	Geschwindigkeit23 (m/s)	Beschleunigung23 (m/s²)	Beleuchtungsstärke23 (lux)	Relative Intensität23	Zeit222 (s)	Winkel222 (rad)	Winkelgeschwindigkeit222 (rad/s)	Winkelbeschleunigung222 (rad/s²)	Position222 (m)	Geschwindigkeit222 (m/s)	Beschleunigung222 (m/s²)	Beleuchtungsstärke222 (lux)	Relative Intensität222	Zeit32 (s)	Winkel32 (rad)	Winkelgeschwindigkeit32 (rad/s)	Winkelbeschleunigung32 (rad/s²)	Position32 (m)	Geschwindigkeit32 (m/s)	Beschleunigung32 (m/s²)	Beleuchtungsstärke32 (lux)	Relative Intensität32	Zeit4 (s)	Winkel4 (rad)	Winkelgeschwindigkeit4 (rad/s)	Winkelbeschleunigung4 (rad/s²)	Position4 (m)	Geschwindigkeit4 (m/s)	Beschleunigung4 (m/s²)	Beleuchtungsstärke4 (lux)	Relative Intensität4	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Beleuchtungsstärke (lux)	Relative Intensität
33,300	-2,378	-0,031	-0,157	-0,0568	-7,500E-4	-0,004	0,9	0,01	33,300	-2,378	-0,031	-0,157	-0,0568	-7,500E-4	-0,004	0,9	0,01	33,300	-2,303	-0,031	-2,231E-14	-0,0550	-7,500E-4	-5,329E-16	1,5	0,01	33,300	-2,378	-0,031	-0,157	-0,0568	-7,500E-4	-0,004	0,9	0,01	33,300	-2,378	-0,031	-0,157	-0,0568	-7,500E-4	-0,004	0,9	0,01	33,300	-2,303	-0,031	-2,231E-14	-0,0550	-7,500E-4	-5,329E-16	1,5	0,01	33,300	1,978	0,016	-1,114E-14	0,0472	3,750E-4	-2,662E-16	0,3	0,00	33,300	2,314	0,016	-0,157	0,0552	3,750E-4	-0,004	0,3	0,00
33,350	-2,380	-0,031	0,157	-0,0568	-7,500E-4	0,004	0,9	0,01	33,350	-2,380	-0,031	0,157	-0,0568	-7,500E-4	0,004	0,9	0,01	33,350	-2,304	-0,016	0,157	-0,0550	-3,750E-4	0,004	1,4	0,01	33,350	-2,380	-0,031	0,157	-0,0568	-7,500E-4	0,004	0,9	0,01	33,350	-2,380	-0,031	0,157	-0,0568	-7,500E-4	0,004	0,9	0,01	33,350	-2,304	-0,016	0,157	-0,0550	-3,750E-4	0,004	1,4	0,01	33,350	1,979	0,016	1,114E-14	0,0473	3,750E-4	2,662E-16	0,3	0,00	33,350	2,314	0,000	-0,157	0,0552	0,000	-0,004	0,3	0,00
33,400	-2,381	-0,016	0,157	-0,0569	-3,750E-4	0,004	0,9	0,01	33,400	-2,381	-0,016	0,157	-0,0569	-3,750E-4	0,004	0,9	0,01	33,400	-2,304	-0,016	1,114E-14	-0,0550	-3,750E-4	2,662E-16	1,4	0,01	33,400	-2,381	-0,016	0,157	-0,0569	-3,750E-4	0,004	0,9	0,01	33,400	-2,381	-0,016	0,157	-0,0569	-3,750E-4	0,004	0,9	0,01	33,400	-2,304	-0,016	1,114E-14	-0,0550	-3,750E-4	2,662E-16	1,4	0,01	33,400	1,979	0,016	0,157	0,0473	3,750E-4	0,004	0,3	0,00	33,400	2,314	0,000	0,000	0,0552	0,000	0,000	0,3	0,00
33,450	-2,381	-0,016	-1,114E-14	-0,0569	-3,750E-4	-2,662E-16	0,9	0,01	33,450	-2,381	-0,016	-1,114E-14	-0,0569	-3,750E-4	-2,662E-16	0,9	0,01	33,450	-2,306	-0,016	0,000	-0,0551	-3,750E-4	0,000	1,4	0,01	33,450	-2,381	-0,016	-1,114E-14	-0,0569	-3,750E-4	-2,662E-16	0,9	0,01	33,450	-2,381	-0,016	-1,114E-14	-0,0569	-3,750E-4	-2,662E-16	0,9	0,01	33,450	-2,306	-0,016	0,000	-0,0551	-3,750E-4	0,000	1,4	0,01	33,450	1,981	0,031	0,157	0,0473	7,500E-4	0,004	0,3	0,00	33,450	2,314	0,000	0,157	0,0552	0,000	0,004	0,3	0,00
33,500	-2,383	-0,016	0,000	-0,0569	-3,750E-4	0,000	0,9	0,01	33,500	-2,383	-0,016	0,000	-0,0569	-3,750E-4	0,000	0,9	0,01	33,500	-2,306	-0,016	0,000	-0,0551	-3,750E-4	0,000	1,3	0,01	33,500	-2,383	-0,016	0,000	-0,0569	-3,750E-4	0,000	0,9	0,01	33,500	-2,383	-0,016	0,000	-0,0569	-3,750E-4	0,000	0,9	0,01	33,500	-2,306	-0,016	0,000	-0,0551	-3,750E-4	0,000	1,3	0,01	33,500	1,982	0,031	-0,157	0,0473	7,500E-4	-0,004	0,3	0,00	33,500	2,314	0,016	0,157	0,0552	3,750E-4	0,004	0,3	0,00
33,550	-2,383	-0,016	-0,157	-0,0569	-3,750E-4	-0,004	0,9	0,01	33,550	-2,383	-0,016	-0,157	-0,0569	-3,750E-4	-0,004	0,9	0,01	33,550	-2,308	-0,016	-1,114E-14	-0,0551	-3,750E-4	-2,662E-16	1,3	0,01	33,550	-2,383	-0,016	-0,157	-0,0569	-3,750E-4	-0,004	0,9	0,01	33,550	-2,383	-0,016	-0,157	-0,0569	-3,750E-4	-0,004	0,9	0,01	33,550	-2,308	-0,016	-1,114E-14	-0,0551	-3,750E-4	-2,662E-16	1,3	0,01	33,550	1,984	0,016	-0,157	0,0474	3,750E-4	-0,004	0,3	0,00	33,550	2,315	0,016	-0,157	0,0553	3,750E-4	-0,004	0,3	0,00
33,600	-2,384	-0,031	0,000	-0,0569	-7,500E-4	0,000	0,9	0,01	33,600	-2,384	-0,031	0,000	-0,0569	-7,500E-4	0,000	0,9	0,01	33,600	-2,308	-0,016	-0,157	-0,0551	-3,750E-4	-0,004	1,2	0,01	33,600	-2,384	-0,031	0,000	-0,0569	-7,500E-4	0,000	0,9	0,01	33,600	-2,384	-0,031	0,000	-0,0569	-7,500E-4	0,000	0,9	0,01	33,600	-2,308	-0,016	-0,157	-0,0551	-3,750E-4	-0,004	1,2	0,01	33,600	1,984	0,016	0,157	0,0474	3,750E-4	0,004	0,3	0,00	33,600	2,315	0,000	0,000	0,0553	0,000	0,000	0,3	0,00
33,650	-2,386	-0,016	0,157	-0,0570	-3,750E-4	0,004	1,0	0,01	33,650	-2,386	-0,016	0,157	-0,0570	-3,750E-4	0,004	1,0	0,01	33,650	-2,309	-0,031	-0,157	-0,0551	-7,500E-4	-0,004	1,1	0,01	33,650	-2,386	-0,016	0,157	-0,0570	-3,750E-4	0,004	1,0	0,01	33,650	-2,386	-0,016	0,157	-0,0570	-3,750E-4	0,004	1,0	0,01	33,650	-2,309	-0,031	-0,157	-0,0551	-7,500E-4	-0,004	1,1	0,01	33,650	1,985	0,031	0,000	0,0474	7,500E-4	0,000	0,3	0,00	33,650	2,315	0,016	0,157	0,0553	3,750E-4	0,004	0,3	0,00
33,700	-2,386	-0,016	-0,157	-0,0570	-3,750E-4	-0,004	1,0	0,01	33,700	-2,386	-0,016	-0,157	-0,0570	-3,750E-4	-0,004	1,0	0,01	33,700	-2,311	-0,031	0,157	-0,0552	-7,500E-4	0,004	1,1	0,01	33,700	-2,386	-0,016	-0,157	-0,0570	-3,750E-4	-0,004	1,0	0,01	33,700	-2,386	-0,016	-0,157	-0,0570	-3,750E-4	-0,004	1,0	0,01	33,700	-2,311	-0,031	0,157	-0,0552	-7,500E-4	0,004	1,1	0,01	33,700	1,987	0,016	-0,157	0,0474	3,750E-4	-0,004	0,3	0,00	33,700	2,317	0,016	-0,157	0,0553	3,750E-4	-0,004	0,2	0,00
33,750	-2,388	-0,031	0,000	-0,0570	-7,500E-4	0,000	1,0	0,01	33,750	-2,388	-0,031	0,000	-0,0570	-7,500E-4	0,000	1,0	0,01	33,750	-2,312	-0,016	0,157	-0,0552	-3,750E-4	0,004	1,0	0,01	33,750	-2,388	-0,031	0,000	-0,0570	-7,500E-4	0,000	1,0	0,01	33,750	-2,388	-0,031	0,000	-0,0570	-7,500E-4	0,000	1,0	0,01	33,750	-2,312	-0,016	0,157	-0,0552	-3,750E-4	0,004	1,0	0,01	33,750	1,987	0,016	0,157	0,0474	3,750E-4	0,004	0,3	0,00	33,750	2,317	0,000	-0,157	0,0553	0,000	-0,004	0,2	0,00
33,800	-2,389	-0,016	0,314	-0,0570	-3,750E-4	0,008	1,0	0,01	33,800	-2,389	-0,016	0,314	-0,0570	-3,750E-4	0,008	1,0	0,01	33,800	-2,312	-0,016	-1,114E-14	-0,0552	-3,750E-4	-2,662E-16	1,0	0,01	33,800	-2,389	-0,016	0,314	-0,0570	-3,750E-4	0,008	1,0	0,01	33,800	-2,389	-0,016	0,314	-0,0570	-3,750E-4	0,008	1,0	0,01	33,800	-2,312	-0,016	-1,114E-14	-0,0552	-3,750E-4	-2,662E-16	1,0	0,01	33,800	1,989	0,031	0,157	0,0475	7,500E-4	0,004	0,3	0,00	33,800	2,317	0,000	0,157	0,0553	0,000	0,004	0,2	0,00
33,850	-2,389	0,000	0,000	-0,0570	0,000	0,000	1,0	0,01	33,850	-2,389	0,000	0,000	-0,0570	0,000	0,000	1,0	0,01	33,850	-2,314	-0,016	0,000	-0,0552	-3,750E-4	0,000	0,9	0,01	33,850	-2,389	0,000	0,000	-0,0570	0,000	0,000	1,0	0,01	33,850	-2,389	0,000	0,000	-0,0570	0,000	0,000	1,0	0,01	33,850	-2,314	-0,016	0,000	-0,0552	-3,750E-4	0,000	0,9	0,01	33,850	1,990	0,031	-0,157	0,0475	7,500E-4	-0,004	0,3	0,00	33,850	2,317	0,016	0,157	0,0553	3,750E-4	0,004	0,2	0,00
33,900	-2,389	-0,016	-0,157	-0,0570	-3,750E-4	-0,004	1,0	0,01	33,900	-2,389	-0,016	-0,157	-0,0570	-3,750E-4	-0,004	1,0	0,01	33,900	-2,314	-0,016	1,114E-14	-0,0552	-3,750E-4	2,662E-16	0,9	0,01	33,900	-2,389	-0,016	-0,157	-0,0570	-3,750E-4	-0,004	1,0	0,01	33,900	-2,389	-0,016	-0,157	-0,0570	-3,750E-4	-0,004	1,0	0,01	33,900	-2,314	-0,016	1,114E-14	-0,0552	-3,750E-4	2,662E-16	0,9	0,01	33,900	1,992	0,016	-0,314	0,0476	3,750E-4	-0,008	0,3	0,00	33,900	2,318	0,016	-0,157	0,0554	3,750E-4	-0,004	0,2	0,00
33,950	-2,391	-0,016	-1,114E-14	-0,0571	-3,750E-4	-2,662E-16	1,0	0,01	33,950	-2,391	-0,016	-1,114E-14	-0,0571	-3,750E-4	-2,662E-16	1,0	0,01	33,950	-2,315	-0,016	-1,114E-14	-0,0553	-3,750E-4	-2,662E-16	0,9	0,01	33,950	-2,391	-0,016	-1,114E-14	-0,0571	-3,750E-4	-2,662E-16	1,0	0,01	33,950	-2,391	-0,016	-1,114E-14	-0,0571	-3,750E-4	-2,662E-16	1,0	0,01	33,950	-2,315	-0,016	-1,114E-14	-0,0553	-3,750E-4	-2,662E-16	0,9	0,01	33,950	1,992	0,000	1,114E-14	0,0476	0,000	2,662E-16	0,3	0,00	33,950	2,318	0,000	0,000	0,0554	0,000	0,000	0,2	0,00
34,000	-2,391	-0,016	0,000	-0,0571	-3,750E-4	0,000	0,9	0,01	34,000	-2,391	-0,016	0,000	-0,0571	-3,750E-4	0,000	0,9	0,01	34,000	-2,315	-0,016	-0,157	-0,0553	-3,750E-4	-0,004	0,9	0,01	34,000	-2,391	-0,016	0,000	-0,0571	-3,750E-4	0,000	0,9	0,01	34,000	-2,391	-0,016	0,000	-0,0571	-3,750E-4	0,000	0,9	0,01	34,000	-2,315	-0,016	-0,157	-0,0553	-3,750E-4	-0,004	0,9	0,01	34,000	1,992	0,016	0,157	0,0476	3,750E-4	0,004	0,3	0,00	34,000	2,318	0,016	0,157	0,0554	3,750E-4	0,004	0,2	0,00
34,050	-2,392	-0,016	1,114E-14	-0,0571	-3,750E-4	2,662E-16	0,9	0,01	34,050	-2,392	-0,016	1,114E-14	-0,0571	-3,750E-4	2,662E-16	0,9	0,01	34,050	-2,317	-0,031	-0,157	-0,0553	-7,500E-4	-0,004	0,8	0,01	34,050	-2,392	-0,016	1,114E-14	-0,0571	-3,750E-4	2,662E-16	0,9	0,01	34,050	-2,392	-0,016	1,114E-14	-0,0571	-3,750E-4	2,662E-16	0,9	0,01	34,050	-2,317	-0,031	-0,157	-0,0553	-7,500E-4	-0,004	0,8	0,01	34,050	1,993	0,016	-1,114E-14	0,0476	3,750E-4	-2,662E-16	0,3	0,00	34,050	2,320	0,016	-0,157	0,0554	3,750E-4	-0,004	0,2	0,00
34,100	-2,392	-0,016	-0,157	-0,0571	-3,750E-4	-0,004	0,9	0,01	34,100	-2,392	-0,016	-0,157	-0,0571	-3,750E-4	-0,004	0,9	0,01	34,100	-2,318	-0,031	0,157	-0,0554	-7,500E-4	0,004	0,8	0,01	34,100	-2,392	-0,016	-0,157	-0,0571	-3,750E-4	-0,004	0,9	0,01	34,100	-2,392	-0,016	-0,157	-0,0571	-3,750E-4	-0,004	0,9	0,01	34,100	-2,318	-0,031	0,157	-0,0554	-7,500E-4	0,004	0,8	0,01	34,100	1,993	0,016	1,114E-14	0,0476	3,750E-4	2,662E-16	0,3	0,00	34,100	2,320	0,000	-0,157	0,0554	0,000	-0,004	0,2	0,00
34,150	-2,394	-0,031	0,000	-0,0572	-7,500E-4	0,000	0,9	0,01	34,150	-2,394	-0,031	0,000	-0,0572	-7,500E-4	0,000	0,9	0,01	34,150	-2,320	-0,016	0,314	-0,0554	-3,750E-4	0,007	0,8	0,01	34,150	-2,394	-0,031	0,000	-0,0572	-7,500E-4	0,000	0,9	0,01	34,150	-2,394	-0,031	0,000	-0,0572	-7,500E-4	0,000	0,9	0,01	34,150	-2,320	-0,016	0,314	-0,0554	-3,750E-4	0,007	0,8	0,01	34,150	1,995	0,016	0,000	0,0476	3,750E-4	0,000	0,4	0,00	34,150	2,320	0,000	0,157	0,0554	0,000	0,004	0,2	0,00
34,200	-2,395	-0,016	0,157	-0,0572	-3,750E-4	0,004	0,9	0,01	34,200	-2,395	-0,016	0,157	-0,0572	-3,750E-4	0,004	0,9	0,01	34,200	-2,320	0,000	0,000	-0,0554	0,000	0,000	0,8	0,01	34,200	-2,395	-0,016	0,157	-0,0572	-3,750E-4	0,004	0,9	0,01	34,200	-2,395	-0,016	0,157	-0,0572	-3,750E-4	0,004	0,9	0,01	34,200	-2,320	0,000	0,000	-0,0554	0,000	0,000	0,8	0,01	34,200	1,995	0,016	-1,114E-14	0,0476	3,750E-4	-2,662E-16	0,4	0,00	34,200	2,320	0,016	0,157	0,0554	3,750E-4	0,004	0,2	0,00
34,250	-2,395	-0,016	-0,157	-0,0572	-3,750E-4	-0,004	0,9	0,01	34,250	-2,395	-0,016	-0,157	-0,0572	-3,750E-4	-0,004	0,9	0,01	34,250	-2,320	-0,016	-0,157	-0,0554	-3,750E-4	-0,004	0,7	0,01	34,250	-2,395	-0,016	-0,157	-0,0572	-3,750E-4	-0,004	0,9	0,01	34,250	-2,395	-0,016	-0,157	-0,0572	-3,750E-4	-0,004	0,9	0,01	34,250	-2,320	-0,016	-0,157	-0,0554	-3,750E-4	-0,004	0,7	0,01	34,250	1,996	0,016	0,000	0,0477	3,750E-4	0,000	0,4	0,00	34,250	2,322	0,016	-0,157	0,0554	3,750E-4	-0,004	0,2	0,00
34,300	-2,397	-0,031	-1,114E-14	-0,0572	-7,500E-4	-2,662E-16	0,9	0,01	34,300	-2,397	-0,031	-1,114E-14	-0,0572	-7,500E-4	-2,662E-16	0,9	0,01	34,300	-2,322	-0,016	-1,114E-14	-0,0554	-3,750E-4	-2,662E-16	0,7	0,01	34,300	-2,397	-0,031	-1,114E-14	-0,0572	-7,500E-4	-2,662E-16	0,9	0,01	34,300	-2,397	-0,031	-1,114E-14	-0,0572	-7,500E-4	-2,662E-16	0,9	0,01	34,300	-2,322	-0,016	-1,114E-14	-0,0554	-3,750E-4	-2,662E-16	0,7	0,01	34,300	1,996	0,016	0,157	0,0477	3,750E-4	0,004	0,4	0,00	34,300	2,322	0,000	1,114E-14	0,0554	0,000	2,662E-16	0,2	0,00
34,350	-2,399	-0,016	0,157	-0,0573	-3,750E-4	0,004	0,9	0,01	34,350	-2,399	-0,016	0,157	-0,0573	-3,750E-4	0,004	0,9	0,01	34,350	-2,322	-0,016	0,000	-0,0554	-3,750E-4	0,000	0,7	0,01	34,350	-2,399	-0,016	0,157	-0,0573	-3,750E-4	0,004	0,9	0,01	34,350	-2,399	-0,016	0,157	-0,0573	-3,750E-4	0,004	0,9	0,01	34,350	-2,322	-0,016	0,000	-0,0554	-3,750E-4	0,000	0,7	0,01	34,350	1,998	0,031	0,157	0,0477	7,500E-4	0,004	0,4	0,00	34,350	2,322	0,016	0,157	0,0554	3,750E-4	0,004	0,2	0,00
34,400	-2,399	-0,016	1,114E-14	-0,0573	-3,750E-4	2,662E-16	1,0	0,01	34,400	-2,399	-0,016	1,114E-14	-0,0573	-3,750E-4	2,662E-16	1,0	0,01	34,400	-2,323	-0,016	1,114E-14	-0,0555	-3,750E-4	2,662E-16	0,7	0,01	34,400	-2,399	-0,016	1,114E-14	-0,0573	-3,750E-4	2,662E-16	1,0	0,01	34,400	-2,399	-0,016	1,114E-14	-0,0573	-3,750E-4	2,662E-16	1,0	0,01	34,400	-2,323	-0,016	1,114E-14	-0,0555	-3,750E-4	2,662E-16	0,7	0,01	34,400	2,000	0,031	-2,220E-14	0,0477	7,500E-4	0,000	0,4	0,00	34,400	2,323	0,016	-0,157	0,0555	3,750E-4	-0,004	0,2	0,00
34,450	-2,400	-0,016	-1,114E-14	-0,0573	-3,750E-4	-2,662E-16	1,0	0,01	34,450	-2,400	-0,016	-1,114E-14	-0,0573	-3,750E-4	-2,662E-16	1,0	0,01	34,450	-2,323	-0,016	0,000	-0,0555	-3,750E-4	0,000	0,7	0,01	34,450	-2,400	-0,016	-1,114E-14	-0,0573	-3,750E-4	-2,662E-16	1,0	0,01	34,450	-2,400	-0,016	-1,114E-14	-0,0573	-3,750E-4	-2,662E-16	1,0	0,01	34,450	-2,323	-0,016	0,000	-0,0555	-3,750E-4	0,000	0,7	0,01	34,450	2,001	0,031	-0,157	0,0478	7,500E-4	-0,004	0,4	0,00	34,450	2,323	0,000	-0,157	0,0555	0,000	-0,004	0,2	0,00
34,500	-2,400	-0,016	0,000	-0,0573	-3,750E-4	0,000	1,0	0,01	34,500	-2,400	-0,016	0,000	-0,0573	-3,750E-4	0,000	1,0	0,01	34,500	-2,325	-0,016	0,157	-0,0555	-3,750E-4	0,004	0,7	0,01	34,500	-2,400	-0,016	0,000	-0,0573	-3,750E-4	0,000	1,0	0,01	34,500	-2,400	-0,016	0,000	-0,0573	-3,750E-4	0,000	1,0	0,01	34,500	-2,325	-0,016	0,157	-0,0555	-3,750E-4	0,004	0,7	0,01	34,500	2,003	0,016	-0,157	0,0478	3,750E-4	-0,004	0,4	0,00	34,500	2,323	0,000	0,157	0,0555	0,000	0,004	0,2	0,00
34,550	-2,402	-0,016	0,157	-0,0573	-3,750E-4	0,004	1,0	0,01	34,550	-2,402	-0,016	0,157	-0,0573	-3,750E-4	0,004	1,0	0,01	34,550	-2,325	0,000	-1,114E-14	-0,0555	0,000	-2,662E-16	0,7	0,01	34,550	-2,402	-0,016	0,157	-0,0573	-3,750E-4	0,004	1,0	0,01	34,550	-2,402	-0,016	0,157	-0,0573	-3,750E-4	0,004	1,0	0,01	34,550	-2,325	0,000	-1,114E-14	-0,0555	0,000	-2,662E-16	0,7	0,01	34,550	2,003	0,016	0,157	0,0478	3,750E-4	0,004	0,4	0,00	34,550	2,323	0,016	0,157	0,0555	3,750E-4	0,004	0,2	0,00
34,600	-2,402	0,000	0,157	-0,0573	0,000	0,004	1,0	0,01	34,600	-2,402	0,000	0,157	-0,0573	0,000	0,004	1,0	0,01	34,600	-2,325	-0,016	-0,157	-0,0555	-3,750E-4	-0,004	0,7	0,01	34,600	-2,402	0,000	0,157	-0,0573	0,000	0,004	1,0	0,01	34,600	-2,402	0,000	0,157	-0,0573	0,000	0,004	1,0	0,01	34,600	-2,325	-0,016	-0,157	-0,0555	-3,750E-4	-0,004	0,7	0,01	34,600	2,004	0,031	0,000	0,0479	7,500E-4	0,000	0,4	0,00	34,600	2,325	0,016	-0,157	0,0555	3,750E-4	-0,004	0,2	0,00
34,650	-2,402	0,000	-0,157	-0,0573	0,000	-0,004	1,0	0,01	34,650	-2,402	0,000	-0,157	-0,0573	0,000	-0,004	1,0	0,01	34,650	-2,326	-0,016	1,114E-14	-0,0555	-3,750E-4	2,662E-16	0,7	0,01	34,650	-2,402	0,000	-0,157	-0,0573	0,000	-0,004	1,0	0,01	34,650	-2,402	0,000	-0,157	-0,0573	0,000	-0,004	1,0	0,01	34,650	-2,326	-0,016	1,114E-14	-0,0555	-3,750E-4	2,662E-16	0,7	0,01	34,650	2,006	0,016	-0,157	0,0479	3,750E-4	-0,004	0,4	0,00	34,650	2,325	0,000	-0,157	0,0555	0,000	-0,004	0,2	0,00
34,700	-2,402	-0,016	-0,157	-0,0573	-3,750E-4	-0,004	1,0	0,01	34,700	-2,402	-0,016	-0,157	-0,0573	-3,750E-4	-0,004	1,0	0,01	34,700	-2,326	-0,016	0,000	-0,0555	-3,750E-4	0,000	0,6	0,01	34,700	-2,402	-0,016	-0,157	-0,0573	-3,750E-4	-0,004	1,0	0,01	34,700	-2,402	-0,016	-0,157	-0,0573	-3,750E-4	-0,004	1,0	0,01	34,700	-2,326	-0,016	0,000	-0,0555	-3,750E-4	0,000	0,6	0,01	34,700	2,006	0,016	0,157	0,0479	3,750E-4	0,004	0,4	0,00	34,700	2,325	0,000	0,157	0,0555	0,000	0,004	0,2	0,00
34,750	-2,403	-0,016	0,157	-0,0574	-3,750E-4	0,004	1,0	0,01	34,750	-2,403	-0,016	0,157	-0,0574	-3,750E-4	0,004	1,0	0,01	34,750	-2,328	-0,016	0,000	-0,0556	-3,750E-4	0,000	0,6	0,01	34,750	-2,403	-0,016	0,157	-0,0574	-3,750E-4	0,004	1,0	0,01	34,750	-2,403	-0,016	0,157	-0,0574	-3,750E-4	0,004	1,0	0,01	34,750	-2,328	-0,016	0,000	-0,0556	-3,750E-4	0,000	0,6	0,01	34,750	2,007	0,031	0,000	0,0479	7,500E-4	0,000	0,4	0,00	34,750	2,325	0,016	0,157	0,0555	3,750E-4	0,004	0,2	0,00
34,800	-2,403	0,000	-2,231E-14	-0,0574	0,000	-5,329E-16	1,0	0,01	34,800	-2,403	0,000	-2,231E-14	-0,0574	0,000	-5,329E-16	1,0	0,01	34,800	-2,328	-0,016	-0,157	-0,0556	-3,750E-4	-0,004	0,6	0,01	34,800	-2,403	0,000	-2,231E-14	-0,0574	0,000	-5,329E-16	1,0	0,01	34,800	-2,403	0,000	-2,231E-14	-0,0574	0,000	-5,329E-16	1,0	0,01	34,800	-2,328	-0,016	-0,157	-0,0556	-3,750E-4	-0,004	0,6	0,01	34,800	2,009	0,016	-0,157	0,0480	3,750E-4	-0,004	0,4	0,00	34,800	2,326	0,016	-0,157	0,0555	3,750E-4	-0,004	0,2	0,00
34,850	-2,403	-0,016	-0,314	-0,0574	-3,750E-4	-0,007	1,1	0,01	34,850	-2,403	-0,016	-0,314	-0,0574	-3,750E-4	-0,007	1,1	0,01	34,850	-2,329	-0,031	-0,157	-0,0556	-7,500E-4	-0,004	0,6	0,01	34,850	-2,403	-0,016	-0,314	-0,0574	-3,750E-4	-0,007	1,1	0,01	34,850	-2,403	-0,016	-0,314	-0,0574	-3,750E-4	-0,007	1,1	0,01	34,850	-2,329	-0,031	-0,157	-0,0556	-7,500E-4	-0,004	0,6	0,01	34,850	2,009	0,016	0,000	0,0480	3,750E-4	0,000	0,3	0,00	34,850	2,326	0,000	-0,157	0,0555	0,000	-0,004	0,2	0,00
34,900	-2,405	-0,031	1,114E-14	-0,0574	-7,500E-4	2,662E-16	1,1	0,01	34,900	-2,405	-0,031	1,114E-14	-0,0574	-7,500E-4	2,662E-16	1,1	0,01	34,900	-2,331	-0,031	0,157	-0,0557	-7,500E-4	0,004	0,6	0,01	34,900	-2,405	-0,031	1,114E-14	-0,0574	-7,500E-4	2,662E-16	1,1	0,01	34,900	-2,405	-0,031	1,114E-14	-0,0574	-7,500E-4	2,662E-16	1,1	0,01	34,900	-2,331	-0,031	0,157	-0,0557	-7,500E-4	0,004	0,6	0,01	34,900	2,011	0,016	-1,114E-14	0,0480	3,750E-4	-2,662E-16	0,3	0,00	34,900	2,326	0,000	0,000	0,0555	0,000	0,000	0,2	0,00
34,950	-2,406	-0,016	0,314	-0,0575	-3,750E-4	0,008	1,2	0,01	34,950	-2,406	-0,016	0,314	-0,0575	-3,750E-4	0,008	1,2	0,01	34,950	-2,333	-0,016	0,157	-0,0557	-3,750E-4	0,004	0,6	0,01	34,950	-2,406	-0,016	0,314	-0,0575	-3,750E-4	0,008	1,2	0,01	34,950	-2,406	-0,016	0,314	-0,0575	-3,750E-4	0,008	1,2	0,01	34,950	-2,333	-0,016	0,157	-0,0557	-3,750E-4	0,004	0,6	0,01	34,950	2,011	0,016	0,157	0,0480	3,750E-4	0,004	0,3	0,00	34,950	2,326	0,000	0,000	0,0555	0,000	0,000	0,2	0,00
