4-b-Kopplung-in Phase- Edelstahl	4-b-Kopplung-in Phase- Edelstahl	4-b-Kopplung-in Phase- Edelstahl	4-b-Kopplung-in Phase- Edelstahl	4-b-Kopplung-gegen Phase- Edelstahl	4-b-Kopplung-gegen Phase- Edelstahl	4-b-Kopplung-gegen Phase- Edelstahl	4-b-Kopplung-gegen Phase- Edelstahl	4-b-Kopplung-Schwebung- Edelstahl	4-b-Kopplung-Schwebung- Edelstahl	4-b-Kopplung-Schwebung- Edelstahl	4-b-Kopplung-Schwebung- Edelstahl
Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
2,900	48,26	-0,13	-0,01	2,900	49,50	0,13	-0,20	2,900	53,30	0,01	-0,65
2,920	48,01	-0,13	0,12	2,920	49,78	0,13	-0,42	2,920	53,30	0,00	-0,54
2,940	47,75	-0,13	-0,10	2,940	50,02	0,12	-0,55	2,940	53,29	-0,01	-0,53
2,960	47,49	-0,13	-0,23	2,960	50,24	0,11	-0,32	2,960	53,26	-0,02	-0,65
2,980	47,22	-0,14	-0,01	2,980	50,45	0,10	-0,30	2,980	53,19	-0,04	-0,64
3,000	46,94	-0,13	0,12	3,000	50,66	0,10	-0,64	3,000	53,11	-0,05	-0,64
3,020	46,68	-0,13	-0,11	3,020	50,83	0,08	-0,76	3,020	52,99	-0,06	-2,27
3,040	46,41	-0,14	-0,01	3,040	50,97	0,07	0,88	3,040	52,85	-0,14	-2,27
3,060	46,13	-0,13	0,22	3,060	51,10	0,11	0,84	3,060	52,42	-0,15	0,98
3,080	45,87	-0,13	0,11	3,080	51,42	0,10	-1,95	3,080	52,24	-0,10	0,98
3,100	45,61	-0,13	-0,01	3,100	51,49	0,04	-1,81	3,100	52,01	-0,12	-0,56
3,120	45,36	-0,13	0,11	3,120	51,56	0,03	-0,54	3,120	51,78	-0,12	-1,84
3,140	45,10	-0,12	0,11	3,140	51,60	0,01	-0,54	3,140	51,52	-0,19	-1,91
3,160	44,86	-0,12	-0,01	3,160	51,62	0,01	-0,46	3,160	51,02	-0,20	0,76
3,180	44,60	-0,13	0,22	3,180	51,62	0,00	-1,70	3,180	50,71	-0,16	0,73
3,200	44,36	-0,12	0,22	3,200	51,60	-0,06	-0,58	3,200	50,39	-0,17	-0,55
3,220	44,13	-0,12	0,09	3,220	51,37	-0,03	1,76	3,220	50,03	-0,18	-0,32
3,240	43,89	-0,11	0,33	3,240	51,49	0,01	-1,87	3,240	49,67	-0,18	-0,42
3,260	43,68	-0,10	0,22	3,260	51,40	-0,10	-3,06	3,260	49,29	-0,20	-0,55
3,280	43,48	-0,10	0,10	3,280	51,08	-0,11	0,75	3,280	48,88	-0,21	-0,32
3,300	43,27	-0,10	0,22	3,300	50,94	-0,07	0,85	3,300	48,47	-0,21	-0,33
3,320	43,08	-0,09	0,21	3,320	50,79	-0,08	-0,54	3,320	48,04	-0,22	-0,22
3,340	42,89	-0,09	0,32	3,340	50,62	-0,09	-0,55	3,340	47,59	-0,22	-0,10
3,360	42,72	-0,08	0,33	3,360	50,41	-0,10	-0,42	3,360	47,16	-0,22	-0,22
3,380	42,56	-0,08	0,22	3,380	50,21	-0,11	-0,54	3,380	46,69	-0,23	-0,11
3,400	42,41	-0,07	0,21	3,400	49,97	-0,12	-0,55	3,400	46,25	-0,23	-0,11
3,420	42,27	-0,07	0,32	3,420	49,71	-0,13	-0,33	3,420	45,78	-0,23	-0,12
3,440	42,13	-0,06	0,33	3,440	49,44	-0,14	-0,22	3,440	45,32	-0,23	0,11
3,460	42,03	-0,06	0,20	3,460	49,16	-0,14	-0,22	3,460	44,85	-0,23	0,11
3,480	41,90	-0,05	0,43	3,480	48,87	-0,15	-0,21	3,480	44,41	-0,23	-0,01
3,500	41,82	-0,04	0,44	3,500	48,58	-0,15	-0,33	3,500	43,94	-0,23	0,22
3,520	41,75	-0,03	0,22	3,520	48,27	-0,16	-0,23	3,520	43,49	-0,22	0,22
3,540	41,68	-0,03	0,21	3,540	47,94	-0,16	0,01	3,540	43,06	-0,22	0,09
3,560	41,63	-0,03	0,31	3,560	47,63	-0,16	-0,11	3,560	42,61	-0,22	0,43
3,580	41,57	-0,02	0,54	3,580	47,31	-0,16	-0,12	3,580	42,20	-0,20	0,44
3,600	41,56	0,00	0,44	3,600	46,98	-0,16	0,00	3,600	41,80	-0,20	0,32
3,620	41,56	-2,60E-4	0,22	3,620	46,65	-0,16	1,39E-13	3,620	41,40	-0,19	0,43
3,640	41,55	0,00	0,21	3,640	46,32	-0,16	-0,01	3,640	41,04	-0,18	0,42
3,660	41,57	0,01	0,32	3,660	46,00	-0,16	0,10	3,660	40,68	-0,17	0,54
3,680	41,59	0,02	0,43	3,680	45,67	-0,16	0,22	3,680	40,35	-0,16	0,54
3,700	41,64	0,03	0,45	3,700	45,36	-0,16	0,22	3,700	40,04	-0,15	0,42
3,720	41,69	0,03	0,11	3,720	45,05	-0,15	0,22	3,720	39,75	-0,14	0,63
3,740	41,78	0,03	0,07	3,740	44,76	-0,15	0,22	3,740	39,47	-0,13	0,87
3,760	41,81	0,04	0,77	3,760	44,46	-0,14	0,21	3,760	39,24	-0,11	0,65
3,780	41,93	0,06	0,56	3,780	44,19	-0,14	0,32	3,780	39,04	-0,10	0,52
3,800	42,05	0,06	0,10	3,800	43,91	-0,13	0,43	3,800	38,85	-0,09	0,86
3,820	42,17	0,06	0,21	3,820	43,67	-0,12	0,43	3,820	38,69	-0,07	0,87
3,840	42,30	0,07	0,21	3,840	43,43	-0,11	0,44	3,840	38,59	-0,05	0,64
3,860	42,44	0,07	0,32	3,860	43,22	-0,10	0,32	3,860	38,48	-0,04	0,75
3,880	42,59	0,08	0,33	3,880	43,01	-0,10	0,42	3,880	38,43	-0,02	0,86
3,900	42,77	0,09	0,21	3,900	42,82	-0,09	0,65	3,900	38,39	-0,01	0,87
3,920	42,94	0,09	0,21	3,920	42,66	-0,07	0,54	3,920	38,41	0,01	0,75
3,940	43,13	0,09	0,21	3,940	42,53	-0,07	0,54	3,940	38,44	0,02	0,75
3,960	43,31	0,10	0,21	3,960	42,40	-0,05	0,54	3,960	38,51	0,04	0,86
3,980	43,52	0,10	0,21	3,980	42,32	-0,04	0,42	3,980	38,61	0,06	0,86
4,000	43,73	0,11	0,21	4,000	42,23	-0,04	0,65	4,000	38,74	0,08	0,87
4,020	43,95	0,11	0,21	4,020	42,18	-0,02	0,66	4,020	38,91	0,09	0,76
4,040	44,17	0,12	0,22	4,040	42,16	-0,01	0,42	4,040	39,12	0,11	0,64
4,060	44,41	0,12	0,11	4,060	42,14	-7,90E-4	0,53	4,060	39,34	0,12	0,75
4,080	44,65	0,12	0,10	4,080	42,16	0,01	0,64	4,080	39,59	0,14	0,76
4,100	44,89	0,12	0,22	4,100	42,19	0,03	0,65	4,100	39,89	0,15	0,64
4,120	45,15	0,13	0,11	4,120	42,26	0,04	0,54	4,120	40,19	0,16	0,76
4,140	45,41	0,13	-0,01	4,140	42,34	0,05	0,53	4,140	40,54	0,18	0,66
4,160	45,67	0,13	0,11	4,160	42,44	0,06	0,66	4,160	40,91	0,19	0,42
4,180	45,92	0,13	0,11	4,180	42,58	0,07	0,44	4,180	41,29	0,20	0,64
4,200	46,20	0,13	1,13E-13	4,200	42,73	0,08	0,31	4,200	41,70	0,21	0,66
4,220	46,46	0,13	0,01	4,220	42,89	0,09	0,54	4,220	42,15	0,22	0,32
4,240	46,73	0,13	-0,11	4,240	43,07	0,10	0,54	4,240	42,59	0,23	0,31
4,260	46,99	0,13	-0,01	4,260	43,28	0,11	0,43	4,260	43,06	0,24	0,54
4,280	47,25	0,13	0,12	4,280	43,50	0,12	0,44	4,280	43,53	0,25	0,44
4,300	47,52	0,13	-0,10	4,300	43,74	0,12	0,32	4,300	44,05	0,25	0,21
4,320	47,78	0,13	-0,22	4,320	44,00	0,13	0,32	4,320	44,55	0,26	0,22
4,340	48,04	0,12	-0,12	4,340	44,25	0,14	0,44	4,340	45,08	0,26	0,11
4,360	48,28	0,12	0,12	4,360	44,55	0,15	0,22	4,360	45,60	0,26	0,11
4,380	48,54	0,13	0,02	4,380	44,84	0,15	0,10	4,380	46,13	0,27	0,11
4,400	48,80	0,12	-0,22	4,400	45,13	0,15	0,22	4,400	46,66	0,27	1,48E-13
4,420	49,04	0,12	-0,10	4,420	45,44	0,15	0,11	4,420	47,19	0,27	1,82E-13
4,440	49,28	0,12	-0,21	4,440	45,75	0,15	0,11	4,440	47,73	0,27	0,01
4,460	49,52	0,11	-0,34	4,460	46,06	0,16	0,11	4,460	48,26	0,27	-0,09
