4-b-Kopplung-in Phase- Edelstahl;4-b-Kopplung-in Phase- Edelstahl;4-b-Kopplung-in Phase- Edelstahl;4-b-Kopplung-in Phase- Edelstahl;4-b-Kopplung-gegen Phase- Edelstahl;4-b-Kopplung-gegen Phase- Edelstahl;4-b-Kopplung-gegen Phase- Edelstahl;4-b-Kopplung-gegen Phase- Edelstahl;4-b-Kopplung-Schwebung- Edelstahl;4-b-Kopplung-Schwebung- Edelstahl;4-b-Kopplung-Schwebung- Edelstahl;4-b-Kopplung-Schwebung- Edelstahl
Zeit (s);Position (cm);Geschwindigkeit (m/s);Beschleunigung (m/s²);Zeit (s);Position (cm);Geschwindigkeit (m/s);Beschleunigung (m/s²);Zeit (s);Position (cm);Geschwindigkeit (m/s);Beschleunigung (m/s²)
1.7;45.54;0.14;0.12;1.7;48.89;-0.14;-0.33;1.7;45.48;-0.06;-0.13
1.72;45.82;0.14;-0.11;1.72;48.59;-0.14;-0.22;1.72;45.36;-0.06;0.22
1.74;46.1;0.13;-0.13;1.74;48.32;-0.15;-0.22;1.74;45.26;-0.05;0.24
1.76;46.35;0.13;0.21;1.76;48.01;-0.15;-0.11;1.76;45.17;-0.05;-0.1
1.78;46.63;0.14;0.24;1.78;47.72;-0.15;-0.11;1.78;45.07;-0.05;-0.24
1.8;46.92;0.14;-0.11;1.8;47.41;-0.15;-0.12;1.8;44.97;-0.06;0.19
1.82;47.2;0.14;-0.11;1.82;47.1;-0.15;3.47E-14;1.82;44.84;-0.04;0.68
1.84;47.47;0.14;-0.11;1.84;46.79;-0.15;-3.47E-14;1.84;44.79;-0.03;0.12
1.86;47.75;0.13;-0.11;1.86;46.48;-0.15;-3.47E-14;1.86;44.73;-0.04;-0.14
1.88;48;0.13;0.01;1.88;46.17;-0.15;3.47E-14;1.88;44.64;-0.04;0.44
1.9;48.28;0.13;-0.1;1.9;45.86;-0.15;-0.01;1.9;44.58;-0.02;0.23
1.92;48.54;0.13;-0.22;1.92;45.55;-0.16;0.1;1.92;44.55;-0.03;-0.04
1.94;48.8;0.12;-0.11;1.94;45.24;-0.15;0.21;1.94;44.48;-0.02;0.65
1.96;49.04;0.12;-0.1;1.96;44.95;-0.15;0.32;1.96;44.46;0;0.57
1.98;49.3;0.12;-0.22;1.98;44.65;-0.14;0.44;1.98;44.48;0;-0.01
2;49.52;0.12;-0.11;2;44.39;-0.13;0.22;2;44.46;-0.000556;0.2
2.02;49.76;0.12;-0.09;2.02;44.13;-0.13;0.2;2.02;44.48;0.01;0.43
2.04;49.98;0.11;-0.32;2.04;43.87;-0.12;0.44;2.04;44.49;0.02;0.44
2.06;50.21;0.1;-0.35;2.06;43.65;-0.11;0.32;2.06;44.54;0.03;0.32
2.08;50.4;0.1;0.02;2.08;43.43;-0.11;0.42;2.08;44.6;0.03;0.43
2.1;50.6;0.1;-0.18;2.1;43.22;-0.1;0.55;2.1;44.66;0.04;0.44
2.12;50.81;0.09;-0.67;2.12;43.05;-0.09;0.32;2.12;44.77;0.05;0.19
2.14;50.97;0.08;-0.34;2.14;42.87;-0.08;0.42;2.14;44.85;0.05;0.54
2.16;51.12;0.08;-0.1;2.16;42.72;-0.07;0.65;2.16;44.97;0.07;0.56
2.18;51.28;0.07;-0.21;2.18;42.59;-0.06;0.54;2.18;45.12;0.07;0.21
2.2;51.42;0.07;-0.31;2.2;42.49;-0.05;0.53;2.2;45.26;0.08;0.32
2.22;51.56;0.06;-0.53;2.22;42.4;-0.04;0.65;2.22;45.43;0.09;0.32
2.24;51.66;0.05;0.85;2.24;42.35;-0.02;0.54;2.24;45.6;0.09;0.32
2.26;51.75;0.09;1.15;2.26;42.31;-0.01;0.42;2.26;45.79;0.1;0.44
2.28;52.04;0.09;-1.5;2.28;42.29;-0.01;0.53;2.28;46;0.11;0.33
2.3;52.13;0.04;-1.71;2.3;42.29;0.01;0.64;2.3;46.22;0.11;0.21
2.32;52.18;0.03;-0.32;2.32;42.33;0.02;0.65;2.32;46.44;0.12;0.21
2.34;52.23;0.02;-0.31;2.34;42.38;0.03;0.54;2.34;46.68;0.12;0.32
2.36;52.27;0.01;-0.44;2.36;42.46;0.04;0.42;2.36;46.92;0.13;0.34
2.38;52.29;0;-0.32;2.38;42.55;0.05;0.53;2.38;47.2;0.13;0.11
2.4;52.29;0.000654;-0.31;2.4;42.66;0.06;0.65;2.4;47.45;0.13;0.1
2.42;52.29;-0.01;-0.44;2.42;42.8;0.08;0.54;2.42;47.73;0.14;0.21
