3-Dämpfung-0.2A	3-Dämpfung-0.2A	3-Dämpfung-0.2A	3-Dämpfung-0.2A	3-Dämpfung-0.2A	3-Dämpfung-0.2A	3-Dämpfung-0.2A	3-Dämpfung-0.5A	3-Dämpfung-0.5A	3-Dämpfung-0.5A	3-Dämpfung-0.5A	3-Dämpfung-0.5A	3-Dämpfung-0.5A	3-Dämpfung-0.5A	3-Dämpfung-0.3A	3-Dämpfung-0.3A	3-Dämpfung-0.3A	3-Dämpfung-0.3A	3-Dämpfung-0.3A	3-Dämpfung-0.3A	3-Dämpfung-0.3A
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
14,950	-1,356	-9,708	-5,341	-0,0324	-0,232	-0,128								14,950	-10,849	-0,236	-6,126	-0,2590	-0,006	-0,146
15,000	-1,849	-9,755	3,613	-0,0441	-0,233	0,086								15,000	-10,868	-0,503	-4,869	-0,2595	-0,012	-0,116
15,050	-2,331	-9,346	12,095	-0,0557	-0,223	0,289								15,050	-10,900	-0,723	-3,927	-0,2602	-0,017	-0,094
15,100	-2,783	-8,545	19,792	-0,0665	-0,204	0,472								15,100	-10,941	-0,895	-3,142	-0,2612	-0,021	-0,075
15,150	-3,186	-7,367	27,018	-0,0761	-0,176	0,645								15,150	-10,989	-1,037	-2,356	-0,2624	-0,025	-0,056
15,200	-3,520	-5,843	33,458	-0,0840	-0,140	0,799								15,200	-11,044	-1,131	-1,414	-0,2637	-0,027	-0,034
15,250	-3,770	-4,021	38,170	-0,0900	-0,096	0,911								15,250	-11,102	-1,178	-0,157	-0,2651	-0,028	-0,004
15,300	-3,922	-2,026	39,584	-0,0936	-0,048	0,945								15,300	-11,162	-1,147	1,100	-0,2665	-0,027	0,026
15,350	-3,973	-0,063	37,699	-0,0948	-0,002	0,900								15,350	-11,217	-1,068	2,042	-0,2678	-0,025	0,049
15,400	-3,929	1,744	34,558	-0,0938	0,042	0,825								15,400	-11,269	-0,942	2,985	-0,2690	-0,023	0,071
15,450	-3,798	3,393	31,416	-0,0907	0,081	0,750								15,450	-11,311	-0,770	3,613	-0,2700	-0,018	0,086
15,500	-3,589	4,885	27,646	-0,0857	0,117	0,660								15,500	-11,346	-0,581	4,241	-0,2709	-0,014	0,101
15,550	-3,310	6,158	22,305	-0,0790	0,147	0,532								15,550	-11,369	-0,346	4,712	-0,2714	-0,008	0,113
15,600	-2,974	7,116	16,022	-0,0710	0,170	0,383								15,600	-11,380	-0,110	3,927	-0,2717	-0,003	0,094
15,650	-2,598	7,760	9,582	-0,0620	0,185	0,229								15,650	-11,380	0,047	2,513	-0,2717	0,001	0,060
15,700	-2,198	8,074	2,513	-0,0525	0,193	0,060								15,700	-11,376	0,141	1,414	-0,2716	0,003	0,034
15,750	-1,791	8,011	-4,712	-0,0428	0,191	-0,112								15,750	-11,366	0,188	0,471	-0,2714	0,004	0,011
15,800	-1,396	7,603	-11,310	-0,0333	0,182	-0,270								15,800	-11,357	0,188	0,000	-0,2711	0,004	0,000
15,850	-1,030	6,880	-17,436	-0,0246	0,164	-0,416								15,850	-11,347	0,188	-0,157	-0,2709	0,004	-0,004
15,900	-0,708	5,859	-23,091	-0,0169	0,140	-0,551								15,900	-11,338	0,173	-0,471	-0,2707	0,004	-0,011
15,950	-0,445	4,571	-27,489	-0,0106	0,109	-0,656								15,950	-11,330	0,141		-0,2705	0,003	
16,000	-0,251	3,110	-30,473	-0,0060	0,074	-0,727														
16,050	-0,134	1,524	-31,887	-0,0032	0,036	-0,761														
16,100	-0,099	-0,079	-30,788	-0,0024	-0,002	-0,735														
16,150	-0,141	-1,555	-28,431	-0,0034	-0,037	-0,679														
16,200	-0,254	-2,922	-25,918	-0,0061	-0,070	-0,619														
16,250	-0,434	-4,147	-22,462	-0,0104	-0,099	-0,536														
16,300	-0,669	-5,168	-18,064	-0,0160	-0,123	-0,431														
16,350	-0,950	-5,953	-13,038	-0,0227	-0,142	-0,311														
16,400	-1,264	-6,472	-7,383	-0,0302	-0,155	-0,176														
16,450	-1,598	-6,692	-1,571	-0,0381	-0,160	-0,037														
16,500	-1,934	-6,629	4,241	-0,0462	-0,158	0,101														
16,550	-2,260	-6,267	10,053	-0,0540	-0,150	0,240														
16,600	-2,560	-5,623	15,237	-0,0611	-0,134	0,364														
16,650	-2,823	-4,744	19,792	-0,0674	-0,113	0,472														
16,700	-3,035	-3,644	23,719	-0,0725	-0,087	0,566														
16,750	-3,187	-2,372	26,389	-0,0761	-0,057	0,630														
16,800	-3,272	-1,005	27,018	-0,0781	-0,024	0,645														
16,850	-3,288	0,330	25,290	-0,0785	0,008	0,604														
16,900	-3,239	1,524	22,305	-0,0773	0,036	0,533														
16,950	-3,135	2,560	19,635	-0,0749	0,061	0,469														
17,000	-2,983	3,487	16,808	-0,0712	0,083	0,401														
17,050	-2,787	4,241	13,195	-0,0665	0,101	0,315														
17,100	-2,559	4,807	9,268	-0,0611	0,115	0,221														
17,150	-2,306	5,168	4,555	-0,0551	0,123	0,109														
17,200	-2,042	5,262	-0,157	-0,0488	0,126	-0,004														
17,250	-1,780	5,152	-4,398	-0,0425	0,123	-0,105														
17,300	-1,527	4,822	-8,796	-0,0365	0,115	-0,210														
17,350	-1,297	4,273	-12,881	-0,0310	0,102	-0,307														
17,400	-1,100	3,534	-16,179	-0,0263	0,084	-0,386														
17,450	-0,944	2,655	-18,692	-0,0225	0,063	-0,446														
17,500	-0,834	1,665	-20,263	-0,0199	0,040	-0,484														
17,550	-0,778	0,628	-20,106	-0,0186	0,015	-0,480														
17,600	-0,771	-0,346	-18,535	-0,0184	-0,008	-0,443														
17,650	-0,812	-1,225	-16,650	-0,0194	-0,029	-0,398														
17,700	-0,894	-2,011	-14,608	-0,0213	-0,048	-0,349														
17,750	-1,013	-2,686	-12,252	-0,0242	-0,064	-0,292														
17,800	-1,162	-3,236	-9,739	-0,0278	-0,077	-0,232														
17,850	-1,337	-3,660	-6,754	-0,0319	-0,087	-0,161														
17,900	-1,528	-3,911	-3,299	-0,0365	-0,093	-0,079														
17,950	-1,728	-3,990	0,157	-0,0413	-0,095	0,004														
18,000	-1,927	-3,896	3,770	-0,0460	-0,093	0,090														
18,050	-2,117	-3,613	7,069	-0,0506	-0,086	0,169														
18,100	-2,289	-3,189	10,367	-0,0546	-0,076	0,247														
18,150	-2,436	-2,576	13,509	-0,0582	-0,062	0,322														
18,200	-2,546	-1,838	15,551	-0,0608	-0,044	0,371														
18,250	-2,620	-1,021	16,493	-0,0626	-0,024	0,394														
18,300	-2,648	-0,188	15,394	-0,0632	-0,004	0,367														
18,350	-2,639	0,518	12,881	-0,0630	0,012	0,308														
18,400	-2,597	1,100	10,681	-0,0620	0,026	0,255														
18,450	-2,529	1,587	9,111	-0,0604	0,038	0,217														
18,500	-2,438	2,011	7,226	-0,0582	0,048	0,172														
18,550	-2,328	2,309	5,184	-0,0556	0,055	0,124														
18,600	-2,207	2,529	3,299	-0,0527	0,060	0,079														
18,650	-2,075	2,639	0,785	-0,0495	0,063	0,019														
18,700	-1,943	2,608	-1,571	-0,0464	0,062	-0,038														
18,750	-1,814	2,482	-3,613	-0,0433	0,059	-0,086														
18,800	-1,695	2,246	-5,812	-0,0405	0,054	-0,139														
18,850	-1,590	1,901	-7,697	-0,0380	0,045	-0,184														
18,900	-1,505	1,477	-9,111	-0,0359	0,035	-0,217														
18,950	-1,442	0,990	-10,053	-0,0344	0,024	-0,240														
19,000	-1,406	0,471	-9,896	-0,0336	0,011	-0,236														
19,050	-1,395	0,000	-8,482	-0,0333	0,000	-0,202														
19,100	-1,406	-0,377	-6,754	-0,0336	-0,009	-0,161														
19,150	-1,433	-0,675	-5,655	-0,0342	-0,016	-0,135														
19,200	-1,473	-0,942	-4,712	-0,0352	-0,023	-0,113														
19,250	-1,527	-1,147	-3,613	-0,0365	-0,027	-0,086														
19,300	-1,588	-1,304	-2,513	-0,0379	-0,031	-0,060														
19,350	-1,657	-1,398	-1,100	-0,0396	-0,033	-0,026														
19,400	-1,728	-1,414	0,000	-0,0413	-0,034	0,000														
19,450	-1,799	-1,398	0,942	-0,0429	-0,033	0,022														
19,500	-1,868	-1,319		-0,0446	-0,032															
