2-Eigenfreq	2-Eigenfreq	2-Eigenfreq	2-Eigenfreq	2-Eigenfreq	2-Eigenfreq	2-Eigenfreq
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
12,600	2,603	35,186	21,520	0,0621	0,840	0,514
12,650	4,389	35,516	-8,796	0,1048	0,848	-0,210
12,700	6,154	34,306	-40,841	0,1469	0,819	-0,975
12,750	7,819	31,432	-72,728	0,1867	0,750	-1,736
12,800	9,298	27,033	-100,374	0,2220	0,645	-2,396
12,850	10,523	21,394	-123,308	0,2512	0,511	-2,944
12,900	11,437	14,703	-140,743	0,2730	0,351	-3,360
12,950	11,993	7,320	-150,168	0,2863	0,175	-3,585
13,000	12,169	-0,314	-151,739	0,2905	-0,008	-3,622
13,050	11,962	-7,854	-146,398	0,2856	-0,187	-3,495
13,100	11,384	-14,954	-134,617	0,2718	-0,357	-3,214
13,150	10,466	-21,316	-117,181	0,2499	-0,509	-2,798
13,200	9,252	-26,672	-94,091	0,2209	-0,637	-2,246
13,250	7,799	-30,725	-66,288	0,1862	-0,734	-1,582
13,300	6,180	-33,301	-35,814	0,1475	-0,795	-0,855
13,350	4,469	-34,306	-4,869	0,1067	-0,819	-0,116
13,400	2,749	-33,788	24,190	0,0656	-0,807	0,578
13,450	1,090	-31,887	52,150	0,0260	-0,761	1,245
13,500	-0,440	-28,573	78,697	-0,0105	-0,682	1,879
13,550	-1,767	-24,017	100,531	-0,0422	-0,573	2,400
13,600	-2,842	-18,520	117,810	-0,0678	-0,442	2,812
13,650	-3,619	-12,237	130,376	-0,0864	-0,292	3,113
13,700	-4,065	-5,482	136,816	-0,0971	-0,131	3,266
13,750	-4,167	1,445	137,288	-0,0995	0,035	3,277
13,800	-3,921	8,247	131,947	-0,0936	0,197	3,150
13,850	-3,343	14,640	121,737	-0,0798	0,350	2,906
13,900	-2,457	20,420	107,128	-0,0587	0,488	2,558
13,950	-1,301	25,353	87,965	-0,0311	0,605	2,100
14,000	0,079	29,217	64,874	0,0019	0,698	1,549
14,050	1,621	31,840	38,642	0,0387	0,760	0,922
14,100	3,263	33,081	10,053	0,0779	0,790	0,240
14,150	4,929	32,845	-19,478	0,1177	0,784	-0,465
14,200	6,547	31,133	-48,381	0,1563	0,743	-1,155
14,250	8,042	28,007	-75,870	0,1920	0,669	-1,811
14,300	9,348	23,546	-100,374	0,2232	0,562	-2,396
14,350	10,397	17,970	-119,852	0,2482	0,429	-2,861
14,400	11,145	11,561	-133,675	0,2661	0,276	-3,191
14,450	11,553	4,602	-140,743	0,2758	0,110	-3,360
14,500	11,605	-2,513	-140,272	0,2770	-0,060	-3,349
14,550	11,302	-9,425	-133,047	0,2698	-0,225	-3,176
14,600	10,663	-15,818	-119,852	0,2545	-0,378	-2,861
14,650	9,720	-21,410	-101,631	0,2320	-0,511	-2,426
14,700	8,522	-25,981	-79,168	0,2034	-0,620	-1,890
14,750	7,122	-29,327	-53,093	0,1700	-0,700	-1,267
14,800	5,589	-31,290	-25,133	0,1334	-0,747	-0,600
14,850	3,993	-31,840	2,670	0,0953	-0,760	0,064
14,900	2,405	-31,023	29,531	0,0574	-0,741	0,705
14,950	0,891	-28,887	55,606	0,0213	-0,690	1,328
15,000	-0,484	-25,463	79,482	-0,0116	-0,608	1,898
15,050	-1,656	-20,939	98,960	-0,0395	-0,500	2,363
15,100	-2,578	-15,567	113,726	-0,0615	-0,372	2,715
15,150	-3,212	-9,566	123,465	-0,0767	-0,228	2,947
15,200	-3,534	-3,220	127,863	-0,0844	-0,077	3,053
15,250	-3,534	3,220	126,763	-0,0844	0,077	3,026
15,300	-3,212	9,456	120,166	-0,0767	0,226	2,869
15,350	-2,589	15,237	109,328	-0,0618	0,364	2,610
15,400	-1,689	20,389	94,405	-0,0403	0,487	2,254
15,450	-0,550	24,677	75,398	-0,0131	0,589	1,800
15,500	0,779	27,929	52,936	0,0186	0,667	1,264
15,550	2,243	29,971	27,489	0,0535	0,715	0,656
15,600	3,776	30,678	0,628	0,0901	0,732	0,015
15,650	5,311	30,034	-26,389	0,1268	0,717	-0,630
15,700	6,780	28,039	-52,779	0,1618	0,669	-1,260
15,750	8,115	24,756	-77,126	0,1937	0,591	-1,841
15,800	9,255	20,326	-98,175	0,2209	0,485	-2,344
15,850	10,147	14,938	-114,825	0,2422	0,357	-2,741
15,900	10,749	8,844	-125,978	0,2566	0,211	-3,007
15,950	11,032	2,340	-130,376	0,2634	0,056	-3,113
16,000	10,983	-4,194	-127,706	0,2622	-0,100	-3,049
16,050	10,612	-10,430	-119,224	0,2533	-0,249	-2,846
16,100	9,940	-16,116	-105,872	0,2373	-0,385	-2,528
16,150	9,001	-21,017	-87,808	0,2149	-0,502	-2,096
16,200	7,838	-24,897	-65,816	0,1871	-0,594	-1,571
16,250	6,511	-27,599	-41,312	0,1554	-0,659	-0,986
16,300	5,078	-29,028	-15,708	0,1212	-0,693	-0,375
16,350	3,608	-29,170	9,268	0,0861	-0,696	0,221
16,400	2,161	-28,102	33,458	0,0516	-0,671	0,799
16,450	0,798	-25,824	56,863	0,0190	-0,617	1,357
16,500	-0,421	-22,415	77,754	-0,0101	-0,535	1,856
16,550	-1,444	-18,048	95,033	-0,0345	-0,431	2,269
16,600	-2,226	-12,912	107,757	-0,0531	-0,308	2,572
16,650	-2,735	-7,273	114,982	-0,0653	-0,174	2,745
16,700	-2,953	-1,414	117,339	-0,0705	-0,034	2,801
16,750	-2,876	4,461	115,139	-0,0687	0,107	2,749
16,800	-2,507	10,100	108,228	-0,0599	0,241	2,584
16,850	-1,866	15,284	97,389	-0,0446	0,365	2,325
16,900	-0,979	19,839	82,624	-0,0234	0,474	1,973
16,950	0,118	23,546	64,089	0,0028	0,562	1,530
17,000	1,376	26,248	42,254	0,0328	0,627	1,009
17,050	2,743	27,772	18,378	0,0655	0,663	0,439
17,100	4,153	28,086	-5,655	0,0991	0,670	-0,135
17,150	5,551	27,206	-30,002	0,1325	0,650	-0,716
17,200	6,874	25,086	-53,721	0,1641	0,599	-1,283
17,250	8,060	21,834	-75,398	0,1924	0,521	-1,800
17,300	9,057	17,546	-94,248	0,2162	0,419	-2,250
17,350	9,814	12,409	-108,385	0,2343	0,296	-2,587
17,400	10,298	6,707	-117,024	0,2458	0,160	-2,794
17,450	10,485	0,707	-119,538	0,2503	0,017	-2,854
17,500	10,369	-5,246	-115,925	0,2475	-0,125	-2,768
17,550	9,960	-10,886	-107,285	0,2378	-0,260	-2,561
17,600	9,280	-15,975	-93,620	0,2215	-0,381	-2,235
17,650	8,363	-20,248	-75,555	0,1996	-0,483	-1,804
17,700	7,256	-23,531	-54,664	0,1732	-0,562	-1,305
17,750	6,010	-25,714	-32,201	0,1435	-0,614	-0,769
17,800	4,684	-26,751	-9,268	0,1118	-0,639	-0,221
17,850	3,335	-26,641	13,666	0,0796	-0,636	0,326
17,900	2,020	-25,384	35,971	0,0482	-0,606	0,859
17,950	0,796	-23,044	56,863	0,0190	-0,550	1,358
18,000	-0,284	-19,698	75,241	-0,0068	-0,470	1,796
18,050	-1,173	-15,519	90,007	-0,0280	-0,370	2,149
18,100	-1,836	-10,697	101,002	-0,0438	-0,255	2,411
18,150	-2,243	-5,419	106,971	-0,0536	-0,129	2,554
18,200	-2,378	0,000	107,443	-0,0568	0,000	2,565
18,250	-2,243	5,325	104,144	-0,0536	0,127	2,486
18,300	-1,846	10,414	97,232	-0,0441	0,249	2,321
18,350	-1,202	15,048	86,394	-0,0287	0,359	2,063
18,400	-0,341	19,054	72,100	-0,0081	0,455	1,721
18,450	0,704	22,258	54,350	0,0168	0,531	1,297
18,500	1,885	24,489	33,772	0,0450	0,585	0,806
18,550	3,153	25,635	11,467	0,0753	0,612	0,274
18,600	4,448	25,635	-11,310	0,1062	0,612	-0,270
18,650	5,716	24,504	-33,458	0,1365	0,585	-0,799
18,700	6,899	22,290	-54,507	0,1647	0,532	-1,301
18,750	7,945	19,054	-73,827	0,1897	0,455	-1,763
18,800	8,804	14,907	-90,007	0,2102	0,356	-2,149
18,850	9,436	10,053	-101,316	0,2253	0,240	-2,419
18,900	9,810	4,775	-107,285	0,2342	0,114	-2,561
18,950	9,913	-0,675	-107,914	0,2367	-0,016	-2,576
19,000	9,742	-6,016	-103,201	0,2326	-0,144	-2,464
19,050	9,312	-10,996	-94,091	0,2223	-0,262	-2,246
19,100	8,643	-15,425	-80,896	0,2063	-0,368	-1,931
19,150	7,769	-19,085	-64,403	0,1855	-0,456	-1,537
19,200	6,734	-21,866	-45,553	0,1608	-0,522	-1,088
19,250	5,583	-23,641	-24,976	0,1333	-0,564	-0,596
19,300	4,370	-24,363	-3,927	0,1043	-0,582	-0,094
19,350	3,146	-24,033	17,279	0,0751	-0,574	0,413
19,400	1,967	-22,635	37,542	0,0469	-0,540	0,896
19,450	0,883	-20,279	56,077	0,0211	-0,484	1,339
19,500	-0,061	-17,027	73,042	-0,0015	-0,407	1,744
19,550	-0,820	-12,975	86,394	-0,0196	-0,310	2,063
19,600	-1,359	-8,388	94,876	-0,0324	-0,200	2,265
19,650	-1,659	-3,487	98,803	-0,0396	-0,083	2,359
19,700	-1,707	1,492	97,547	-0,0408	0,036	2,329
19,750	-1,510	6,267	92,049	-0,0360	0,150	2,198
19,800	-1,081	10,697	84,195	-0,0258	0,255	2,010
19,850	-0,440	14,687	73,670	-0,0105	0,351	1,759
19,900	0,388	18,064	59,376	0,0093	0,431	1,418
19,950	1,367	20,625	42,254	0,0326	0,492	1,009
20,000	2,450	22,290	23,719	0,0585	0,532	0,566
20,050	3,596	22,996	3,770	0,0858	0,549	0,090
20,100	4,750	22,667	-16,493	0,1134	0,541	-0,394
20,150	5,862	21,347	-35,814	0,1399	0,510	-0,855
20,200	6,885	19,085	-53,878	0,1644	0,456	-1,286
20,250	7,771	15,959	-70,215	0,1855	0,381	-1,676
