4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 6,84V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 8V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 9V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 11V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 14V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s) 18V	Beschleunigung (m/s²)
1,100	-0,806	-2,655	5,655	-0,0192	-0,063	0,135	1,100	-2,937	0,974	18,692	-0,0701	0,023	0,446	1,100	-1,761	-14,357	56,392	-0,0420	-0,343	1,346	1,100	-0,160	-2,529	30,316	-0,0038	-0,060	0,724	1,100	-0,099	-1,712	-10,210	-0,0024	-0,041	-0,244	1,100	0,072	-1,178	-5,969	0,0017	-0,028	-0,142
1,150	-0,931	-2,340	7,069	-0,0222	-0,056	0,169	1,150	-2,865	1,885	17,593	-0,0684	0,045	0,420	1,150	-2,406	-11,231	67,230	-0,0574	-0,268	1,605	1,150	-0,247	-0,927	31,887	-0,0059	-0,022	0,761	1,150	-0,198	-2,152	-6,912	-0,0047	-0,051	-0,165	1,150	0,005	-1,382	-1,728	1,1250E-4	-0,033	-0,041
1,200	-1,040	-1,948	8,482	-0,0248	-0,047	0,202	1,200	-2,749	2,733	16,493	-0,0656	0,065	0,394	1,200	-2,884	-7,634	75,398	-0,0688	-0,182	1,800	1,200	-0,253	0,660	30,945	-0,0060	0,016	0,739	1,200	-0,314	-2,403	-2,356	-0,0075	-0,057	-0,056	1,200	-0,066	-1,351	2,827	-0,0016	-0,032	0,067
1,250	-1,126	-1,492	9,739	-0,0269	-0,036	0,233	1,250	-2,592	3,534	15,080	-0,0619	0,084	0,360	1,250	-3,170	-3,691	79,168	-0,0757	-0,088	1,890	1,250	-0,181	2,168	28,903	-0,0043	0,052	0,690	1,250	-0,438	-2,388	3,142	-0,0105	-0,057	0,075	1,250	-0,130	-1,100	7,383	-0,0031	-0,026	0,176
1,300	-1,189	-0,974	10,996	-0,0284	-0,023	0,263	1,300	-2,395	4,241	12,723	-0,0572	0,101	0,304	1,300	-3,253	0,283	78,226	-0,0777	0,007	1,867	1,300	-0,036	3,550	25,604	-8,6250E-4	0,085	0,611	1,300	-0,553	-2,089	8,325	-0,0132	-0,050	0,199	1,300	-0,176	-0,613	10,681	-0,0042	-0,015	0,255
1,350	-1,224	-0,393	10,524	-0,0292	-0,009	0,251	1,350	-2,168	4,807	10,053	-0,0517	0,115	0,240	1,350	-3,142	4,131	75,084	-0,0750	0,099	1,792	1,350	0,174	4,728	20,892	0,0042	0,113	0,499	1,350	-0,647	-1,555	12,723	-0,0155	-0,037	0,304	1,350	-0,192	-0,031	10,839	-0,0046	-7,500E-4	0,259
1,400	-1,228	0,079	8,011	-0,0293	0,002	0,191	1,400	-1,915	5,246	7,226	-0,0457	0,125	0,173	1,400	-2,840	7,791	70,529	-0,0678	0,186	1,684	1,400	0,437	5,639	15,080	0,0104	0,135	0,360	1,400	-0,708	-0,817	15,237	-0,0169	-0,019	0,364	1,400	-0,179	0,471	9,111	-0,0043	0,011	0,218
1,450	-1,216	0,408	6,126	-0,0290	0,010	0,146	1,450	-1,643	5,529	3,927	-0,0392	0,132	0,094	1,450	-2,362	11,184	64,089	-0,0564	0,267	1,530	1,450	0,738	6,236	7,854	0,0176	0,149	0,188	1,450	-0,729	-0,031	14,608	-0,0174	-7,500E-4	0,349	1,450	-0,145	0,880	7,226	-0,0035	0,021	0,173
1,500	-1,188	0,691	5,655	-0,0284	0,017	0,135	1,500	-1,362	5,639	0,157	-0,0325	0,135	0,004	1,500	-1,722	14,200	54,664	-0,0411	0,339	1,305	1,500	1,060	6,425	-0,157	0,0253	0,153	-0,004	1,500	-0,712	0,644	12,566	-0,0170	0,015	0,300	1,500	-0,091	1,194	4,555	-0,0022	0,029	0,109
1,550	-1,147	0,974	5,655	-0,0274	0,023	0,135	1,550	-1,079	5,545	-3,613	-0,0258	0,132	-0,086	1,550	-0,942	16,650	42,726	-0,0225	0,397	1,020	1,550	1,381	6,220	-7,854	0,0330	0,148	-0,188	1,550	-0,664	1,225	10,996	-0,0159	0,029	0,262	1,550	-0,025	1,335	0,471	-6,0000E-4	0,032	0,011
