4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 6,84V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 8V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 9V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 11V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 14V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s) 18V	Beschleunigung (m/s²)
5,400	-1,153	-1,241	10,524	-0,0275	-0,030	0,251	5,400	0,209	0,267	-20,577	0,0050	0,006	-0,491	5,400	4,921	-15,033	-51,051	0,1175	-0,359	-1,219	5,400	1,761	5,388	-17,593	0,0420	0,129	-0,420	5,400	-0,730	0,330	13,980	-0,0174	0,008	0,334	5,400	0,052	1,241	-4,084	0,0012	0,030	-0,098
5,450	-1,202	-0,691	10,681	-0,0287	-0,017	0,255	5,450	0,196	-0,738	-19,478	0,0047	-0,018	-0,465	5,450	4,104	-17,279	-37,699	0,0980	-0,413	-0,900	5,450	2,007	4,335	-24,033	0,0479	0,104	-0,574	5,450	-0,696	0,974	11,938	-0,0166	0,023	0,285	5,450	0,108	0,927	-8,168	0,0026	0,022	-0,195
5,500	-1,222	-0,173	9,268	-0,0292	-0,004	0,221	5,500	0,135	-1,681	-18,378	0,0032	-0,040	-0,439	5,500	3,193	-18,802	-22,934	0,0762	-0,449	-0,547	5,500	2,194	2,985	-29,060	0,0524	0,071	-0,694	5,500	-0,633	1,524	10,210	-0,0151	0,036	0,244	5,500	0,145	0,424	-10,839	0,0035	0,010	-0,259
5,550	-1,219	0,236	7,226	-0,0291	0,006	0,172	5,550	0,028	-2,576	-17,122	6,7500E-4	-0,061	-0,409	5,550	2,224	-19,572	-7,540	0,0531	-0,467	-0,180	5,550	2,306	1,429	-31,573	0,0550	0,034	-0,754	5,550	-0,543	1,995	7,697	-0,0130	0,048	0,184	5,550	0,151	-0,157	-11,153	0,0036	-0,004	-0,266
5,600	-1,199	0,550	5,812	-0,0286	0,013	0,139	5,600	-0,123	-3,393	-15,551	-0,0029	-0,081	-0,371	5,600	1,236	-19,556	7,854	0,0295	-0,467	0,187	5,600	2,337	-0,173	-31,416	0,0558	-0,004	-0,750	5,600	-0,434	2,293	3,770	-0,0104	0,055	0,090	5,600	0,129	-0,691	-9,582	0,0031	-0,017	-0,229
5,650	-1,164	0,817	5,341	-0,0278	0,020	0,128	5,650	-0,311	-4,131	-13,823	-0,0074	-0,099	-0,330	5,650	0,269	-18,787	22,934	0,0064	-0,449	0,548	5,650	2,289	-1,712	-29,531	0,0546	-0,041	-0,705	5,650	-0,314	2,372	-0,785	-0,0075	0,057	-0,019	5,650	0,082	-1,115	-6,597	0,0020	-0,027	-0,158
5,700	-1,117	1,084	5,655	-0,0267	0,026	0,135	5,700	-0,536	-4,775	-11,310	-0,0128	-0,114	-0,270	5,700	-0,642	-17,263	37,385	-0,0153	-0,412	0,893	5,700	2,166	-3,126	-26,546	0,0517	-0,075	-0,634	5,700	-0,196	2,215	-5,812	-0,0047	0,053	-0,139	5,700	0,017	-1,351	-2,513	4,1250E-4	-0,032	-0,060
5,750	-1,056	1,382	6,126	-0,0252	0,033	0,146	5,750	-0,789	-5,262	-8,168	-0,0188	-0,126	-0,195	5,750	-1,458	-15,048	50,737	-0,0348	-0,359	1,211	5,750	1,976	-4,367	-22,305	0,0472	-0,104	-0,532	5,750	-0,093	1,791	-10,524	-0,0022	0,043	-0,251	5,750	-0,053	-1,367	2,042	-0,0013	-0,033	0,049
5,800	-0,979	1,696	5,812	-0,0234	0,040	0,139	5,800	-1,062	-5,592	-5,027	-0,0254	-0,133	-0,120	5,800	-2,147	-12,189	62,832	-0,0513	-0,291	1,500	5,800	1,729	-5,356	-16,808	0,0413	-0,128	-0,401	5,800	-0,017	1,162	-13,666	-4,1250E-4	0,028	-0,326	5,800	-0,119	-1,147	6,754	-0,0028	-0,027	0,161
5,850	-0,886	1,963	5,027	-0,0212	0,047	0,120	5,850	-1,348	-5,765	-1,571	-0,0322	-0,138	-0,038	5,850	-2,677	-8,765	71,943	-0,0639	-0,209	1,717	5,850	1,440	-6,048	-10,053	0,0344	-0,144	-0,240	5,850	0,024	0,424	-15,237	5,6250E-4	0,010	-0,364	5,850	-0,168	-0,691	10,210	-0,0040	-0,017	0,244
5,900	-0,782	2,199	4,398	-0,0187	0,053	0,105	5,900	-1,638	-5,749	2,356	-0,0391	-0,137	0,056	5,900	-3,024	-4,995	76,812	-0,0722	-0,119	1,834	5,900	1,125	-6,362	-2,356	0,0268	-0,152	-0,056	5,900	0,025	-0,361	-14,923	6,0000E-4	-0,009	-0,356	5,900	-0,188	-0,126	10,839	-0,0045	-0,003	0,259
5,950	-0,666	2,403	3,456	-0,0159	0,057	0,082	5,950	-1,923	-5,529	6,283	-0,0459	-0,132	0,150	5,950	-3,176	-1,084	77,754	-0,0758	-0,026	1,856	5,950	0,804	-6,283	5,341	0,0192	-0,150	0,128	5,950	-0,013	-1,068	-13,038	-3,0000E-4	-0,026	-0,311	5,950	-0,181	0,393	9,582	-0,0043	0,009	0,229
6,000	-0,542	2,545	2,513	-0,0129	0,061	0,060	6,000	-2,191	-5,121	9,896	-0,0523	-0,122	0,236	6,000	-3,132	2,780	75,555	-0,0748	0,066	1,804	6,000	0,496	-5,828	13,038	0,0118	-0,139	0,311	6,000	-0,082	-1,665	-10,681	-0,0020	-0,040	-0,255	6,000	-0,149	0,833	7,697	-0,0036	0,020	0,184
6,050	-0,412	2,655	1,728	-0,0098	0,063	0,041	6,050	-2,435	-4,540	13,509	-0,0581	-0,108	0,322	6,050	-2,898	6,472	71,471	-0,0692	0,154	1,706	6,050	0,221	-4,979	20,106	0,0053	-0,119	0,480	6,050	-0,179	-2,136	-7,383	-0,0043	-0,051	-0,176	6,050	-0,097	1,162	5,027	-0,0023	0,028	0,120
6,100	-0,276	2,717	0,471	-0,0066	0,065	0,011	6,100	-2,645	-3,770	16,965	-0,0631	-0,090	0,405	6,100	-2,485	9,927	65,502	-0,0593	0,237	1,564	6,100	-0,002	-3,817	25,918	-3,7500E-5	-0,091	0,619	6,100	-0,295	-2,403	-2,985	-0,0071	-0,057	-0,071	6,100	-0,033	1,335	1,257	-7,8750E-4	0,032	0,030
6,150	-0,140	2,702	-0,942	-0,0033	0,065	-0,023	6,150	-2,812	-2,843	19,792	-0,0671	-0,068	0,473	6,150	-1,905	13,022	57,177	-0,0455	0,311	1,365	6,150	-0,160	-2,388	30,159	-0,0038	-0,057	0,720	6,150	-0,419	-2,435	2,356	-0,0100	-0,058	0,056	6,150	0,036	1,288	-3,299	8,6250E-4	0,031	-0,079
6,200	-0,006	2,623	-2,042	-1,5000E-4	0,063	-0,049	6,200	-2,930	-1,791	21,677	-0,0699	-0,043	0,518	6,200	-1,183	15,645	46,810	-0,0282	0,374	1,118	6,200	-0,240	-0,801	31,730	-0,0057	-0,019	0,758	6,200	-0,539	-2,168	7,854	-0,0129	-0,052	0,188	6,200	0,096	1,005	-7,540	0,0023	0,024	-0,180
6,250	0,123	2,498	-3,299	0,0029	0,060	-0,079	6,250	-2,991	-0,675	21,834	-0,0714	-0,016	0,521	6,250	-0,341	17,703	33,929	-0,0081	0,423	0,810	6,250	-0,240	0,785	30,788	-0,0057	0,019	0,735	6,250	-0,636	-1,649	12,409	-0,0152	-0,039	0,296	6,250	0,137	0,534	-10,367	0,0033	0,013	-0,247
6,300	0,243	2,293	-5,027	0,0058	0,055	-0,120	6,300	-2,997	0,393	20,420	-0,0715	0,009	0,488	6,300	0,587	19,038	19,164	0,0140	0,454	0,457	6,300	-0,162	2,278	28,274	-0,0039	0,054	0,675	6,300	-0,704	-0,927	15,237	-0,0168	-0,022	0,364	6,300	0,149	-0,031	-11,153	0,0036	-7,500E-4	-0,266
6,350	0,352	1,995	-6,597	0,0084	0,048	-0,157	6,350	-2,952	1,367	18,850	-0,0705	0,033	0,450	6,350	1,563	19,619	3,927	0,0373	0,468	0,094	6,350	-0,013	3,613	24,976	-3,0000E-4	0,086	0,596	6,350	-0,729	-0,126	14,923	-0,0174	-0,003	0,356	6,350	0,134	-0,581	-10,053	0,0032	-0,014	-0,240
6,400	0,443	1,634	-7,540	0,0106	0,039	-0,180	6,400	-2,860	2,278	17,593	-0,0683	0,054	0,420	6,400	2,549	19,431	-11,781	0,0609	0,464	-0,281	6,400	0,199	4,775	20,577	0,0048	0,114	0,491	6,400	-0,716	0,565	12,881	-0,0171	0,014	0,308	6,400	0,091	-1,037	-7,383	0,0022	-0,025	-0,176
6,450	0,515	1,241	-8,482	0,0123	0,030	-0,203	6,450	-2,724	3,126	16,179	-0,0650	0,075	0,386	6,450	3,506	18,441	-27,489	0,0837	0,440	-0,656	6,450	0,465	5,671	14,294	0,0111	0,135	0,341	6,450	-0,672	1,162	11,310	-0,0161	0,028	0,270	6,450	0,030	-1,319	-3,456	7,1250E-4	-0,032	-0,082
6,500	0,567	0,785	-9,582	0,0135	0,019	-0,229	6,500	-2,548	3,896	14,451	-0,0608	0,093	0,345	6,500	4,394	16,682	-42,569	0,1049	0,398	-1,016	6,500	0,767	6,205	6,912	0,0183	0,148	0,165	6,500	-0,600	1,696	9,425	-0,0143	0,041	0,225	6,500	-0,041	-1,382	1,100	-9,7500E-4	-0,033	0,026
6,550	0,594	0,283	-9,425	0,0142	0,007	-0,225	6,550	-2,334	4,571	11,938	-0,0557	0,109	0,285	6,550	5,174	14,184	-56,077	0,1235	0,339	-1,339	6,550	1,085	6,362	-0,785	0,0259	0,152	-0,019	6,550	-0,503	2,105	6,283	-0,0120	0,050	0,150	6,550	-0,108	-1,210	5,969	-0,0026	-0,029	0,142
6,600	0,595	-0,157	-8,011	0,0142	-0,004	-0,191	6,600	-2,091	5,089	8,954	-0,0499	0,122	0,214	6,600	5,812	11,074	-67,073	0,1388	0,264	-1,601	6,600	1,403	6,126	-8,325	0,0335	0,146	-0,199	6,600	-0,390	2,325	2,042	-0,0093	0,055	0,049	6,600	-0,162	-0,785	9,739	-0,0039	-0,019	0,232
6,650	0,578	-0,518	-7,069	0,0138	-0,012	-0,169	6,650	-1,825	5,466	5,812	-0,0436	0,131	0,139	6,650	6,282	7,477	-75,398	0,1500	0,179	-1,800	6,650	1,698	5,529	-15,551	0,0405	0,132	-0,371	6,650	-0,270	2,309	-2,827	-0,0065	0,055	-0,067	6,650	-0,187	-0,236	10,839	-0,0045	-0,006	0,259
6,700	0,543	-0,864	-6,912	0,0130	-0,021	-0,165	6,700	-1,544	5,671	2,356	-0,0369	0,135	0,056	6,700	6,560	3,534	-80,425	0,1566	0,084	-1,920	6,700	1,956	4,571	-22,619	0,0467	0,109	-0,540	6,700	-0,159	2,042	-7,697	-0,0038	0,049	-0,184	6,700	-0,185	0,298	9,896	-0,0044	0,007	0,236
6,750	0,492	-1,210	-6,754	0,0117	-0,029	-0,161	6,750	-1,258	5,702	-1,257	-0,0300	0,136	-0,030	6,750	6,635	-0,565	-81,210	0,1584	-0,013	-1,939	6,750	2,155	3,267	-28,274	0,0514	0,078	-0,675	6,750	-0,066	1,539	-11,781	-0,0016	0,037	-0,281	6,750	-0,157	0,754	8,011	-0,0037	0,018	0,191
6,800	0,423	-1,539	-6,440	0,0101	-0,037	-0,154	6,800	-0,974	5,545	-5,184	-0,0232	0,132	-0,124	6,800	6,503	-4,587	-78,069	0,1553	-0,109	-1,864	6,800	2,282	1,744	-31,102	0,0545	0,042	-0,742	6,800	-0,005	0,864	-14,294	-1,1250E-4	0,021	-0,341	6,800	-0,110	1,100	5,498	-0,0026	0,026	0,131
6,850	0,338	-1,854	-6,126	0,0081	-0,044	-0,146	6,850	-0,704	5,184	-8,796	-0,0168	0,124	-0,210	6,850	6,176	-8,372	-72,100	0,1475	-0,200	-1,721	6,850	2,329	0,157	-31,416	0,0556	0,004	-0,750	6,850	0,020	0,110	-15,080	4,8750E-4	0,003	-0,360	6,850	-0,047	1,304	1,885	-0,0011	0,031	0,045
6,900	0,237	-2,152	-5,498	0,0057	-0,051	-0,131	6,900	-0,456	4,665	-12,252	-0,0109	0,111	-0,293	6,900	5,666	-11,797	-63,303	0,1353	-0,282	-1,511	6,900	2,298	-1,398	-30,002	0,0549	-0,033	-0,716	6,900	0,006	-0,644	-14,294	1,5000E-4	-0,015	-0,341	6,900	0,020	1,288	-2,356	4,8750E-4	0,031	-0,056
6,950	0,123	-2,403	-4,555	0,0029	-0,057	-0,109	6,950	-0,237	3,958	-15,394	-0,0057	0,095	-0,368	6,950	4,997	-14,703	-52,308	0,1193	-0,351	-1,249	6,950	2,190	-2,843	-27,018	0,0523	-0,068	-0,645	6,950	-0,044	-1,319	-12,252	-0,0011	-0,032	-0,293	6,950	0,082	1,068	-6,440	0,0020	0,026	-0,154
7,000	-0,003	-2,608	-3,456	-7,5000E-5	-0,062	-0,082	7,000	-0,060	3,126	-17,750	-0,0014	0,075	-0,424	7,000	4,196	-17,027	-39,427	0,1002	-0,406	-0,941	7,000	2,014	-4,100	-23,091	0,0481	-0,098	-0,551	7,000	-0,126	-1,869	-9,425	-0,0030	-0,045	-0,225	7,000	0,127	0,644	-9,896	0,0030	0,015	-0,236
7,050	-0,138	-2,749	-2,199	-0,0033	-0,066	-0,053	7,050	0,075	2,183	-19,949	0,0018	0,052	-0,476	7,050	3,294	-18,645	-24,819	0,0786	-0,445	-0,593	7,050	1,780	-5,152	-18,221	0,0425	-0,123	-0,435	7,050	-0,231	-2,262	-5,812	-0,0055	-0,054	-0,139	7,050	0,146	0,079	-11,310	0,0035	0,002	-0,270
7,100	-0,278	-2,827	-0,628	-0,0066	-0,068	-0,015	7,100	0,159	1,131	-20,735	0,0038	0,027	-0,495	7,100	2,331	-19,509	-9,582	0,0557	-0,466	-0,229	7,100	1,499	-5,922	-11,624	0,0358	-0,141	-0,278	7,100	-0,352	-2,450	-0,785	-0,0084	-0,058	-0,019	7,100	0,135	-0,487	-10,210	0,0032	-0,012	-0,244
7,150	-0,421	-2,812	1,257	-0,0101	-0,067	0,030	7,150	0,188	0,110	-19,792	0,0045	0,003	-0,472	7,150	1,343	-19,604	5,812	0,0321	-0,468	0,139	7,150	1,188	-6,315	-3,927	0,0283	-0,151	-0,094	7,150	-0,476	-2,340	4,869	-0,0114	-0,056	0,116	7,150	0,097	-0,942	-7,854	0,0023	-0,023	-0,188
7,200	-0,559	-2,702	2,827	-0,0134	-0,065	0,068	7,200	0,170	-0,848	-18,850	0,0041	-0,020	-0,450	7,200	0,371	-18,928	21,206	0,0089	-0,452	0,506	7,200	0,867	-6,315	3,770	0,0207	-0,151	0,090	7,200	-0,586	-1,963	9,582	-0,0140	-0,047	0,229	7,200	0,041	-1,272	-4,555	9,7500E-4	-0,030	-0,109
7,250	-0,691	-2,529	4,241	-0,0165	-0,060	0,101	7,250	0,104	-1,775	-18,064	0,0025	-0,042	-0,431	7,250	-0,550	-17,483	35,971	-0,0131	-0,417	0,859	7,250	0,556	-5,938	11,310	0,0133	-0,142	0,270	7,250	-0,672	-1,382	13,509	-0,0161	-0,033	0,323	7,250	-0,030	-1,398	0,157	-7,1250E-4	-0,033	0,004
7,300	-0,812	-2,278	5,655	-0,0194	-0,054	0,135	7,300	-0,008	-2,655	-16,808	-1,8750E-4	-0,063	-0,401	7,300	-1,378	-15,331	49,166	-0,0329	-0,366	1,174	7,300	0,273	-5,184	18,692	0,0065	-0,124	0,446	7,300	-0,724	-0,613	15,708	-0,0173	-0,015	0,375	7,300	-0,099	-1,257	5,184	-0,0024	-0,030	0,124
7,350	-0,919	-1,963	6,912	-0,0219	-0,047	0,165	7,350	-0,162	-3,456	-15,080	-0,0039	-0,082	-0,360	7,350	-2,083	-12,566	60,947	-0,0497	-0,300	1,455	7,350	0,038	-4,068	25,133	9,0000E-4	-0,097	0,600	7,350	-0,734	0,188	14,608	-0,0175	0,004	0,349	7,350	-0,156	-0,880	9,268	-0,0037	-0,021	0,221
7,400	-1,008	-1,587	8,011	-0,0241	-0,038	0,191	7,400	-0,353	-4,163	-13,038	-0,0084	-0,099	-0,311	7,400	-2,634	-9,236	70,686	-0,0629	-0,221	1,688	7,400	-0,134	-2,670	29,374	-0,0032	-0,064	0,701	7,400	-0,705	0,848	12,252	-0,0168	0,020	0,292	7,400	-0,187	-0,330	10,996	-0,0045	-0,008	0,262
7,450	-1,078	-1,162	9,111	-0,0257	-0,028	0,218	7,450	-0,578	-4,760	-10,681	-0,0138	-0,114	-0,255	7,450	-3,007	-5,498	76,341	-0,0718	-0,131	1,823	7,450	-0,229	-1,131	31,259	-0,0055	-0,027	0,746	7,450	-0,649	1,414	10,681	-0,0155	0,034	0,255	7,450	-0,188	0,220	10,053	-0,0045	0,005	0,240
7,500	-1,125	-0,675	9,582	-0,0269	-0,016	0,229	7,500	-0,829	-5,231	-7,697	-0,0198	-0,125	-0,184	7,500	-3,184	-1,602	77,597	-0,0760	-0,038	1,852	7,500	-0,247	0,456	31,102	-0,0059	0,011	0,742	7,500	-0,564	1,916	8,325	-0,0135	0,046	0,199	7,500	-0,165	0,675	8,325	-0,0039	0,016	0,199
7,550	-1,145	-0,204	8,325	-0,0273	-0,005	0,199	7,550	-1,101	-5,529	-4,084	-0,0263	-0,132	-0,097	7,550	-3,167	2,262	76,027	-0,0756	0,054	1,815	7,550	-0,184	1,979	29,060	-0,0044	0,047	0,694	7,550	-0,457	2,246	4,555	-0,0109	0,054	0,109	7,550	-0,121	1,052	6,126	-0,0029	0,025	0,146
7,600	-1,145	0,157	5,969	-0,0273	0,004	0,143	7,600	-1,382	-5,639	-0,628	-0,0330	-0,135	-0,015	7,600	-2,958	6,000	72,414	-0,0706	0,143	1,729	7,600	-0,049	3,362	25,918	-0,0012	0,080	0,619	7,600	-0,339	2,372	0,157	-0,0081	0,057	0,004	7,600	-0,060	1,288	2,670	-0,0014	0,031	0,064
7,650	-1,129	0,393	4,241	-0,0270	0,009	0,101	7,650	-1,665	-5,592	2,670	-0,0397	-0,134	0,064	7,650	-2,567	9,503	66,602	-0,0613	0,227	1,590	7,650	0,152	4,571	21,520	0,0036	0,109	0,514	7,650	-0,220	2,262	-4,712	-0,0053	0,054	-0,112	7,650	0,008	1,319	-1,414	1,8750E-4	0,032	-0,034
7,700	-1,106	0,581	4,084	-0,0264	0,014	0,097	7,700	-1,942	-5,372	6,283	-0,0463	-0,128	0,150	7,700	-2,007	12,661	58,591	-0,0479	0,302	1,399	7,700	0,408	5,513	15,551	0,0097	0,132	0,371	7,700	-0,113	1,901	-9,425	-0,0027	0,045	-0,225	7,700	0,072	1,147	-5,812	0,0017	0,027	-0,139
7,750	-1,071	0,801	4,555	-0,0256	0,019	0,109	7,750	-2,202	-4,964	10,053	-0,0526	-0,118	0,240	7,750	-1,301	15,362	48,223	-0,0310	0,367	1,151	7,750	0,704	6,126	8,482	0,0168	0,146	0,202	7,750	-0,030	1,319	-13,195	-7,1250E-4	0,031	-0,315	7,750	0,123	0,738	-9,582	0,0029	0,018	-0,229
7,800	-1,026	1,037	5,027	-0,0245	0,025	0,120	7,800	-2,438	-4,367	13,666	-0,0582	-0,104	0,326	7,800	-0,471	17,483	35,500	-0,0112	0,417	0,848	7,800	1,021	6,362	0,942	0,0244	0,152	0,022	7,800	0,019	0,581	-15,237	4,5000E-4	0,014	-0,364	7,800	0,146	0,188	-10,996	0,0035	0,004	-0,262
7,850	-0,968	1,304	5,184	-0,0231	0,031	0,124	7,850	-2,639	-3,597	16,965	-0,0630	-0,086	0,405	7,850	0,448	18,912	21,049	0,0107	0,452	0,503	7,850	1,340	6,220	-6,754	0,0320	0,148	-0,161	7,850	0,028	-0,204	-15,237	6,7500E-4	-0,005	-0,364	7,850	0,141	-0,361	-10,524	0,0034	-0,009	-0,251
7,900	-0,895	1,555	5,027	-0,0214	0,037	0,120	7,900	-2,798	-2,670	19,478	-0,0668	-0,064	0,465	7,900	1,420	19,588	5,498	0,0339	0,468	0,131	7,900	1,643	5,686	-14,294	0,0392	0,136	-0,341	7,900	-0,002	-0,942	-13,666	-3,7500E-5	-0,023	-0,326	7,900	0,110	-0,864	-8,639	0,0026	-0,021	-0,206
7,950	-0,812	1,806	4,869	-0,0194	0,043	0,116	7,950	-2,906	-1,649	20,735	-0,0694	-0,039	0,495	7,950	2,406	19,462	-10,524	0,0575	0,465	-0,251	7,950	1,909	4,791	-21,206	0,0456	0,114	-0,506	7,950	-0,066	-1,571	-11,467	-0,0016	-0,038	-0,274	7,950	0,055	-1,225	-5,184	0,0013	-0,029	-0,124
8,000	-0,715	2,042	4,241	-0,0171	0,049	0,101	8,000	-2,963	-0,597	20,735	-0,0707	-0,014	0,495	8,000	3,366	18,535	-25,918	0,0804	0,442	-0,619	8,000	2,122	3,566	-27,175	0,0507	0,085	-0,649	8,000	-0,159	-2,089	-8,482	-0,0038	-0,050	-0,202	8,000	-0,013	-1,382	-0,785	-3,0000E-4	-0,033	-0,019
8,050	-0,608	2,231	3,456	-0,0145	0,053	0,083	8,050	-2,966	0,424	19,635	-0,0708	0,010	0,469	8,050	4,260	16,870	-40,527	0,1017	0,403	-0,967	8,050	2,265	2,073	-30,945	0,0541	0,049	-0,739	8,050	-0,275	-2,419	-3,927	-0,0066	-0,058	-0,094	8,050	-0,083	-1,304	3,927	-0,0020	-0,031	0,094
8,100	-0,492	2,388	2,827	-0,0117	0,057	0,068	8,100	-2,920	1,367	18,221	-0,0697	0,033	0,435	8,100	5,053	14,483	-54,035	0,1206	0,346	-1,290	8,100	2,329	0,471	-31,730	0,0556	0,011	-0,757	8,100	-0,401	-2,482	1,414	-0,0096	-0,059	0,034	8,100	-0,143	-0,990	8,325	-0,0034	-0,024	0,199
8,150	-0,369	2,513	2,042	-0,0088	0,060	0,049	8,150	-2,829	2,246	17,122	-0,0675	0,054	0,409	8,150	5,708	11,467	-65,031	0,1363	0,274	-1,553	8,150	2,312	-1,100	-30,159	0,0552	-0,026	-0,720	8,150	-0,523	-2,278	6,754	-0,0125	-0,054	0,161	8,150	-0,182	-0,471	10,996	-0,0043	-0,011	0,263
8,200	-0,240	2,592	0,942	-0,0057	0,062	0,023	8,200	-2,695	3,079	15,865	-0,0643	0,074	0,379	8,200	6,200	7,980	-73,513	0,1480	0,191	-1,755	8,200	2,220	-2,545	-27,646	0,0530	-0,061	-0,660	8,200	-0,628	-1,806	11,624	-0,0150	-0,043	0,277	8,200	-0,190	0,110	10,681	-0,0045	0,003	0,255
8,250	-0,110	2,608	-0,471	-0,0026	0,062	-0,011	8,250	-2,521	3,833	14,137	-0,0602	0,092	0,337	8,250	6,506	4,115	-78,697	0,1553	0,098	-1,879	8,250	2,058	-3,864	-24,347	0,0491	-0,092	-0,581	8,250	-0,704	-1,115	14,923	-0,0168	-0,027	0,356	8,250	-0,171	0,597	8,639	-0,0041	0,014	0,206
8,300	0,020	2,545	-2,042	4,8750E-4	0,061	-0,049	8,300	-2,312	4,492	11,781	-0,0552	0,107	0,281	8,300	6,611	0,110	-79,797	0,1578	0,003	-1,905	8,300	1,833	-4,979	-19,321	0,0438	-0,119	-0,461	8,300	-0,740	-0,314	15,394	-0,0177	-0,008	0,367	8,300	-0,130	0,974	6,440	-0,0031	0,023	0,154
8,350	0,145	2,403	-3,456	0,0034	0,057	-0,082	8,350	-2,072	5,011	8,639	-0,0495	0,120	0,206	8,350	6,517	-3,864	-77,597	0,1556	-0,092	-1,852	8,350	1,560	-5,796	-12,723	0,0372	-0,138	-0,304	8,350	-0,735	0,424	13,666	-0,0176	0,010	0,326	8,350	-0,074	1,241	3,456	-0,0018	0,030	0,082
8,400	0,261	2,199	-4,712	0,0062	0,053	-0,113	8,400	-1,811	5,356	5,498	-0,0432	0,128	0,131	8,400	6,225	-7,650	-72,257	0,1486	-0,183	-1,725	8,400	1,253	-6,252	-5,498	0,0299	-0,149	-0,131	8,400	-0,697	1,052	11,938	-0,0167	0,025	0,285	8,400	-0,006	1,319	-0,628	-1,5000E-4	0,031	-0,015
8,450	0,364	1,932	-5,969	0,0087	0,046	-0,143	8,450	-1,536	5,561	2,356	-0,0367	0,133	0,056	8,450	5,752	-11,090	-64,560	0,1373	-0,265	-1,541	8,450	0,935	-6,346	1,885	0,0223	-0,152	0,045	8,450	-0,630	1,618	10,367	-0,0150	0,039	0,248	8,450	0,058	1,178	-4,712	0,0014	0,028	-0,112
8,500	0,454	1,602	-7,540	0,0108	0,038	-0,180	8,500	-1,255	5,592	-1,257	-0,0300	0,134	-0,030	8,500	5,116	-14,106	-54,507	0,1221	-0,337	-1,301	8,500	0,619	-6,063	9,896	0,0148	-0,145	0,236	8,500	-0,536	2,089	7,540	-0,0128	0,050	0,180	8,500	0,112	0,848	-8,482	0,0027	0,020	-0,202
8,550	0,525	1,178	-8,954	0,0125	0,028	-0,214	8,550	-0,977	5,435	-5,027	-0,0233	0,130	-0,120	8,550	4,342	-16,540	-42,254	0,1037	-0,395	-1,009	8,550	0,328	-5,356	17,593	0,0078	-0,128	0,420	8,550	-0,421	2,372	3,142	-0,0101	0,057	0,075	8,550	0,143	0,330	-11,153	0,0034	0,008	-0,266
8,600	0,572	0,707	-9,425	0,0136	0,017	-0,225	8,600	-0,712	5,089	-8,639	-0,0170	0,122	-0,206	8,600	3,462	-18,331	-28,274	0,0827	-0,438	-0,675	8,600	0,083	-4,304	23,719	0,0020	-0,103	0,566	8,600	-0,298	2,403	-1,728	-0,0071	0,057	-0,041	8,600	0,145	-0,267	-11,153	0,0035	-0,006	-0,266
8,650	0,595	0,236	-9,268	0,0142	0,006	-0,221	8,650	-0,468	4,571	-11,938	-0,0112	0,109	-0,285	8,650	2,509	-19,368	-12,881	0,0599	-0,462	-0,307	8,650	-0,102	-2,985	28,589	-0,0024	-0,071	0,683	8,650	-0,181	2,199	-6,440	-0,0043	0,052	-0,154	8,650	0,116	-0,785	-8,796	0,0028	-0,019	-0,210
