	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
	10,500	179,47	99,78	79,69	0,478	7,249	43,707	0,0114	0,173	1,043	-21,7
	10,600	125,16	99,77	25,39	1,992	1,092	-77,283	0,0475	0,026	-1,845	-21,6
	10,700	109,08	99,77	9,31	0,696	-8,207	26,193	0,0166	-0,196	0,625	-21,6
	10,800	171,36	99,77	71,59	0,350	6,330	53,564	0,0084	0,151	1,279	-21,5
	10,900	121,22	99,77	21,45	1,962	2,505	-74,613	0,0468	0,060	-1,781	-21,4
	11,000	100,67	99,77	0,90	0,851	-8,592	14,137	0,0203	-0,205	0,337	-21,3
	11,100	174,18	99,78	74,41	0,243	5,333	62,125	0,0058	0,127	1,483	-21,3
	11,200	140,85	99,77	41,08	1,918	3,833	-70,843	0,0458	0,092	-1,691	-21,2
	11,300	102,00	99,77	2,23	1,010	-8,836	1,885	0,0241	-0,211	0,045	-21,1
	11,400	158,17	99,77	58,40	0,151	4,210	69,586	0,0036	0,101	1,661	-21,1
	11,500	136,52	99,78	36,75	1,852	5,082	-65,345	0,0442	0,121	-1,560	-21,0
	11,600	98,05	99,77	-1,71	1,167	-8,859	-10,407	0,0279	-0,211	-0,248	-20,9
	11,700	161,91	99,78	62,13	0,080	3,000	75,477	0,0019	0,072	1,802	-20,8
	11,800	132,48	99,77	32,71	1,767	6,236	-58,473	0,0422	0,149	-1,396	-20,8
	11,900	98,39	99,77	-1,38	1,327	-8,694	-22,580	0,0317	-0,208	-0,539	-20,7
	12,000	165,62	99,77	65,84	0,028	1,720	79,679	6,7500E-4	0,041	1,902	-20,6
	12,100	153,83	99,77	54,06	1,671	7,241	-50,344	0,0399	0,173	-1,202	-20,6
	12,200	99,02	99,77	-0,75	1,477	-8,349	-34,086	0,0353	-0,199	-0,814	-20,5
	12,300	146,89	99,77	47,12	0,002	0,424	81,917	3,7500E-5	0,010	1,956	-20,4
	12,400	149,40	99,77	49,63	1,561	8,035	-41,155	0,0373	0,192	-0,982	-20,3
	12,500	98,47	99,77	-1,30	1,608	-7,807	-44,493	0,0384	-0,186	-1,062	-20,3
	12,600	151,11	99,77	51,33	2,220E-16	-0,864	82,035	6,9389E-18	-0,021	1,958	-20,2
	12,700	168,48	99,77	68,71	1,436	8,600	-31,102	0,0343	0,205	-0,743	-20,1
	12,800	98,12	99,77	-1,65	1,720	-7,084	-53,486	0,0411	-0,169	-1,277	-20,1
	12,900	131,70	99,78	31,92	0,019	-2,097	80,464	4,5000E-4	-0,050	1,921	-20,0
	13,000	165,14	99,77	65,37	1,301	9,009	-20,420	0,0311	0,215	-0,487	-19,9
	13,100	102,51	99,77	2,74	1,821	-6,181	-61,772	0,0435	-0,148	-1,475	-19,8
	13,200	135,29	99,77	35,52	0,064	-3,346	76,812	0,0015	-0,080	1,834	-19,8
	13,300	178,46	99,77	78,69	1,151	9,181	-8,836	0,0275	0,219	-0,211	-19,7
	13,400	101,07	99,77	1,31	1,901	-5,113	-68,212	0,0454	-0,122	-1,628	-19,6
	13,500	118,21	99,77	18,44	0,129	-4,461	71,275	0,0031	-0,106	1,702	-19,5
	13,600	176,83	99,77	77,06	1,008	9,142	2,553	0,0241	0,218	0,061	-19,5
	13,700	111,17	99,77	11,40	1,957	-3,951	-73,199	0,0467	-0,094	-1,748	-19,4
	13,800	121,44	99,77	21,67	0,218	-5,498	64,128	0,0052	-0,131	1,531	-19,3
	13,900	174,67	99,77	74,90	0,858	8,875	14,255	0,0205	0,212	0,340	-19,2
	14,000	108,56	99,77	8,79	1,993	-2,647	-76,616	0,0476	-0,063	-1,829	-19,2
