FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2
Frequenzwerte für Winkel (Hz)	Frequenzwerte für Winkel (Hz)	Winkel-Werte (rad)	Winkel-Werte (rad)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
				141,850	98,29	99,76	-1,47																		
				141,860				-1,538	-16,022	212,058	-0,0367	-0,382	5,062												
				141,880				-1,813	-10,642	298,452	-0,0433	-0,254	7,125												
				141,900	98,81	99,76	-0,95	-1,963	-4,084	340,667	-0,0469	-0,098	8,133	24,6											
				141,920				-1,976	2,985	345,575	-0,0472	0,071	8,250												
				141,940				-1,844	9,739	305,324	-0,0440	0,233	7,289												
				141,950	99,86	99,75	0,11																		
				141,960				-1,587	15,197	222,857	-0,0379	0,363	5,320												
				141,980				-1,236	18,653	106,029	-0,0295	0,445	2,531												
				142,000	101,04	99,76	1,28	-0,840	19,439	-39,270	-0,0201	0,464	-0,937	24,6											
				142,020				-0,459	17,082	-191,441	-0,0109	0,408	-4,570												
				142,040				-0,157	11,781	-312,196	-0,0037	0,281	-7,453												
				142,050	100,48	99,76	0,72																		
				142,060				0,013	4,595	-380,918	3,0000E-4	0,110	-9,094												
				142,080				0,027	-3,456	-392,699	6,3750E-4	-0,082	-9,375												
				142,100	99,49	99,76	-0,26	-0,126	-11,113	-333,794	-0,0030	-0,265	-7,969	24,6											
				142,120				-0,418	-16,808	-210,094	-0,0100	-0,401	-5,016												
				142,140				-0,798	-19,517	-56,941	-0,0190	-0,466	-1,359												
				142,150	98,41	99,76	-1,34																		
				142,160				-1,199	-19,085	94,248	-0,0286	-0,456	2,250												
				142,180				-1,561	-15,747	222,857	-0,0373	-0,376	5,320												
				142,200	98,48	99,75	-1,27	-1,828	-10,171	304,342	-0,0436	-0,243	7,266	24,6											
				142,220				-1,968	-3,574	341,648	-0,0470	-0,085	8,156												
				142,240				-1,971	3,495	345,575	-0,0471	0,083	8,250												
				142,250	99,58	99,75	-0,17																		
				142,260				-1,828	10,249	302,379	-0,0436	0,245	7,219												
				142,280				-1,561	15,590	215,003	-0,0373	0,372	5,133												
				142,300	100,49	99,76	0,74	-1,205	18,850	92,284	-0,0288	0,450	2,203	24,6											
				142,320				-0,807	19,282	-54,978	-0,0193	0,460	-1,313												
				142,340				-0,434	16,650	-199,295	-0,0103	0,397	-4,758												
				142,350	101,05	99,76	1,29																		
				142,360				-0,141	11,310	-314,159	-0,0034	0,270	-7,500												
				142,380				0,019	4,084	-381,900	4,5000E-4	0,098	-9,117												
				142,400	99,78	99,75	0,03	0,022	-3,966	-389,754	5,2500E-4	-0,095	-9,305	24,6											
				142,420				-0,140	-11,506	-326,922	-0,0033	-0,275	-7,805												
				142,440				-0,438	-17,043	-201,258	-0,0105	-0,407	-4,805												
				142,450	98,68	99,76	-1,08																		
				142,460				-0,822	-19,556	-49,087	-0,0196	-0,467	-1,172												
				142,480				-1,221	-19,007	101,120	-0,0291	-0,454	2,414												
				142,500	98,30	99,76	-1,46	-1,582	-15,512	230,711	-0,0378	-0,370	5,508	24,6											
				142,520				-1,841	-9,778	310,233	-0,0439	-0,233	7,406												
				142,540				-1,973	-3,102	343,612	-0,0471	-0,074	8,203												
				142,550	99,19	99,75	-0,57																		
				142,560				-1,965	3,966	343,612	-0,0469	0,095	8,203												
				142,580				-1,814	10,642	300,415	-0,0433	0,254	7,172												
				142,600	99,93	99,75	0,18	-1,539	15,983	208,131	-0,0367	0,382	4,969	24,6											
				142,620				-1,175	18,967	79,522	-0,0280	0,453	1,898												
				142,640				-0,781	19,164	-63,814	-0,0186	0,457	-1,523												
				142,650	101,27	99,76	1,51																		
				142,660				-0,408	16,415	-209,112	-0,0097	0,392	-4,992												
				142,680				-0,124	10,799	-322,995	-0,0030	0,258	-7,711												
				142,700	100,39	99,75	0,63	0,024	3,495	-382,882	5,6250E-4	0,083	-9,141	24,6											
				142,720				0,016	-4,516	-386,809	3,7500E-4	-0,108	-9,234												
				142,740				-0,157	-11,977	-319,068	-0,0037	-0,286	-7,617												
				142,750	99,13	99,76	-0,62																		
				142,760				-0,463	-17,279	-191,441	-0,0111	-0,413	-4,570												
				142,780				-0,848	-19,635	-38,288	-0,0202	-0,469	-0,914												
				142,800	98,30	99,75	-1,46	-1,249	-18,810	112,901	-0,0298	-0,449	2,695	24,6											
				142,820				-1,601	-15,119	235,620	-0,0382	-0,361	5,625												
				142,840				-1,854	-9,386	311,214	-0,0442	-0,224	7,430												
				142,850	98,74	99,75	-1,01																		
				142,860				-1,976	-2,670	344,594	-0,0472	-0,064	8,227												
				142,880				-1,960	4,398	344,594	-0,0468	0,105	8,227												
				142,900	99,80	99,75	0,05	-1,800	11,113	297,470	-0,0430	0,265	7,102	24,6											
				142,920				-1,516	16,297	201,258	-0,0362	0,389	4,805												
				142,940				-1,148	19,164	71,668	-0,0274	0,458	1,711												
				142,950	100,93	99,76	1,17																		
				142,960				-0,749	19,164	-77,558	-0,0179	0,458	-1,852												
				142,980				-0,382	16,061	-221,875	-0,0091	0,383	-5,297												
				143,000	100,57	99,76	0,81	-0,107	10,289	-329,867	-0,0025	0,246	-7,875	24,6											
				143,020				0,030	2,867	-384,845	7,1250E-4	0,068	-9,187												
				143,040				0,008	-5,105	-381,900	1,8750E-4	-0,122	-9,117												
				143,050	99,52	99,76	-0,23																		
				143,060				-0,174	-12,409	-308,269	-0,0042	-0,296	-7,359												
				143,080				-0,489	-17,436	-180,642	-0,0117	-0,416	-4,313												
				143,100	98,46	99,76	-1,30	-0,872	-19,635	-29,452	-0,0208	-0,469	-0,703	24,6											
				143,120				-1,274	-18,614	121,737	-0,0304	-0,444	2,906												
				143,140				-1,616	-14,765	239,547	-0,0386	-0,353	5,719												
				143,150	98,43	99,75	-1,33																		
				143,160				-1,865	-9,032	311,214	-0,0445	-0,216	7,430												
				143,180				-1,978	-2,317	344,594	-0,0472	-0,055	8,227												
				143,200	99,52	99,76	-0,24	-1,957	4,752	343,612	-0,0467	0,113	8,203	24,6											
				143,220				-1,788	11,428	292,561	-0,0427	0,273	6,984												
				143,240				-1,500	16,454	195,368	-0,0358	0,393	4,664												
				143,250	100,39	99,75	0,64																		
				143,260				-1,129	19,242	65,777	-0,0270	0,459	1,570												
				143,280				-0,730	19,085	-83,449	-0,0174	0,456	-1,992												
				143,300	101,13	99,76	1,37	-0,366	15,904	-227,766	-0,0087	0,380	-5,438	24,6											
				143,320				-0,094	9,975	-338,703	-0,0022	0,238	-8,086												
				143,340				0,033	2,356	-391,718	7,8750E-4	0,056	-9,352												
				143,350	99,87	99,76	0,11																		
				143,360				-2,220E-16	-5,694	-380,918	5,2042E-18	-0,136	-9,094												
				143,380				-0,195	-12,881	-301,397	-0,0046	-0,307	-7,195												
				143,400	98,75	99,76	-1,01	-0,515	-17,750	-168,861	-0,0123	-0,424	-4,031	24,6											
				143,420				-0,905	-19,635	-16,690	-0,0216	-0,469	-0,398												
				143,440				-1,301	-18,418	129,591	-0,0310	-0,440	3,094												
				143,450	98,29	99,76	-1,47																		
				143,460				-1,641	-14,451	248,382	-0,0392	-0,345	5,930												
				143,480				-1,879	-8,482	318,086	-0,0448	-0,202	7,594												
				143,500	99,11	99,76	-0,65	-1,981	-1,728	342,630	-0,0473	-0,041	8,180	24,6											
				143,520				-1,948	5,223	336,740	-0,0465	0,125	8,039												
				143,540				-1,772	11,742	286,671	-0,0423	0,280	6,844												
				143,550	99,84	99,76	0,08																		
				143,560				-1,478	16,690	188,496	-0,0353	0,398	4,500												
				143,580				-1,104	19,282	56,941	-0,0264	0,460	1,359												
				143,600	101,21	99,76	1,45	-0,707	18,967	-92,284	-0,0169	0,453	-2,203	24,6											
				143,620				-0,346	15,590	-236,601	-0,0083	0,372	-5,648												
				143,640				-0,083	9,503	-341,648	-0,0020	0,227	-8,156												
				143,650	100,49	99,75	0,74																		
				143,660				0,035	1,924	-389,754	8,2500E-4	0,046	-9,305												
				143,680				-0,006	-6,087	-379,937	-1,5000E-4	-0,145	-9,070												
				143,700	99,21	99,75	-0,54	-0,209	-13,273	-299,433	-0,0050	-0,317	-7,148	24,6											
				143,720				-0,537	-18,064	-161,007	-0,0128	-0,431	-3,844												
				143,740				-0,931	-19,714	-4,909	-0,0222	-0,471	-0,117												
				143,750	98,42	99,76	-1,33																		
				143,760				-1,326	-18,261	140,390	-0,0316	-0,436	3,352												
				143,780				-1,662	-14,098	255,255	-0,0397	-0,337	6,094												
				143,800	98,69	99,75	-1,06	-1,890	-8,050	321,032	-0,0451	-0,192	7,664	24,6											
				143,820				-1,984	-1,257	344,594	-0,0474	-0,030	8,227												
				143,840				-1,940	5,733	336,740	-0,0463	0,137	8,039												
				143,850	99,56	99,76	-0,19																		
				143,860				-1,755	12,213	280,780	-0,0419	0,292	6,703												
				143,880				-1,451	16,965	178,678	-0,0347	0,405	4,266												
				143,900	100,81	99,75	1,06	-1,076	19,360	45,160	-0,0257	0,462	1,078	24,6											
				143,920				-0,677	18,771	-105,047	-0,0162	0,448	-2,508												
				143,940				-0,325	15,158	-242,492	-0,0078	0,362	-5,789												
				143,950	101,06	99,75	1,30																		
				143,960				-0,071	9,071	-343,612	-0,0017	0,217	-8,203												
				143,980				0,038	1,414	-391,718	9,0000E-4	0,034	-9,352												
				144,000	99,55	99,76	-0,21	-0,014	-6,597	-377,973	-3,3750E-4	-0,157	-9,023	24,6											
				144,020				-0,226	-13,705	-291,579	-0,0054	-0,327	-6,961												
				144,040				-0,562	-18,261	-150,208	-0,0134	-0,436	-3,586												
				144,050	98,70	99,76	-1,05																		
				144,060				-0,957	-19,714	2,945	-0,0228	-0,471	0,070												
				144,080				-1,351	-18,143	149,226	-0,0323	-0,433	3,562												
				144,100	98,39	99,76	-1,37	-1,682	-13,744	264,090	-0,0402	-0,328	6,305	24,6											
				144,120				-1,901	-7,579	325,940	-0,0454	-0,181	7,781												
				144,140				-1,985	-0,707	346,557	-0,0474	-0,017	8,273												
				144,150	99,18	99,76	-0,58																		
				144,160				-1,929	6,283	333,794	-0,0461	0,150	7,969												
				144,180				-1,734	12,645	274,890	-0,0414	0,302	6,562												
				144,200	100,31	99,75	0,55	-1,423	17,279	168,861	-0,0340	0,412	4,031	24,6											
				144,220				-1,043	19,399	32,398	-0,0249	0,463	0,773												
				144,240				-0,647	18,575	-115,846	-0,0155	0,443	-2,766												
				144,250	101,26	99,76	1,50																		
				144,260				-0,300	14,765	-252,309	-0,0072	0,353	-6,023												
				144,280				-0,057	8,482	-348,521	-0,0014	0,202	-8,320												
				144,300	99,95	99,75	0,19	0,039	0,825	-389,754	9,3750E-4	0,020	-9,305	24,6											
				144,320				-0,024	-7,108	-371,101	-5,6250E-4	-0,170	-8,859												
				144,340				-0,245	-14,019	-280,780	-0,0059	-0,335	-6,703												
				144,350	98,83	99,76	-0,93																		
				144,360				-0,584	-18,339	-141,372	-0,0140	-0,438	-3,375												
				144,380				-0,979	-19,674	9,817	-0,0234	-0,470	0,234												
				144,400	98,31	99,76	-1,45	-1,371	-17,946	156,098	-0,0327	-0,428	3,727	24,6											
				144,420				-1,696	-13,430	268,017	-0,0405	-0,321	6,398												
				144,440				-1,909	-7,226	326,922	-0,0456	-0,173	7,805												
				144,450	99,04	99,76	-0,72																		
				144,460				-1,985	-0,353	346,557	-0,0474	-0,008	8,273												
				144,480				-1,923	6,637	332,813	-0,0459	0,158	7,945												
				144,500	99,78	99,75	0,03	-1,720	12,959	271,944	-0,0411	0,309	6,492	24,6											
				144,520				-1,404	17,514	163,952	-0,0335	0,418	3,914												
				144,540				-1,019	19,517	23,562	-0,0243	0,466	0,563												
				144,550	101,19	99,75	1,44																		
				144,560				-0,624	18,457	-126,646	-0,0149	0,441	-3,023												
				144,580				-0,281	14,451	-261,145	-0,0067	0,345	-6,234												
				144,600	100,59	99,76	0,84	-0,046	8,011	-353,429	-0,0011	0,191	-8,437	24,6											
				144,620				0,039	0,314	-391,718	9,3750E-4	0,008	-9,352												
				144,640				-0,033	-7,658	-368,156	-7,8750E-4	-0,183	-8,789												
				144,650	99,28	99,76	-0,48																		
				144,660				-0,267	-14,412	-270,963	-0,0064	-0,344	-6,469												
				144,680				-0,609	-18,496	-132,536	-0,0145	-0,442	-3,164												
				144,700	98,46	99,76	-1,30	-1,007	-19,714	20,617	-0,0240	-0,471	0,492	24,6											
				144,720				-1,398	-17,671	167,879	-0,0334	-0,422	4,008												
				144,740				-1,714	-12,998	271,944	-0,0409	-0,310	6,492												
				144,750	98,64	99,76	-1,12																		
				144,760				-1,918	-6,794	326,922	-0,0458	-0,162	7,805												
				144,780				-1,985	0,079	347,539	-0,0474	0,002	8,297												
				144,800	99,51	99,75	-0,24	-1,915	7,108	331,831	-0,0457	0,170	7,922	24,6											
				144,820				-1,701	13,352	265,072	-0,0406	0,319	6,328												
				144,840				-1,381	17,711	155,116	-0,0330	0,423	3,703												
				144,850	100,78	99,76	1,02																		
				144,860				-0,993	19,556	15,708	-0,0237	0,467	0,375												
				144,880				-0,598	18,339	-136,463	-0,0143	0,438	-3,258												
				144,900	101,14	99,76	1,39	-0,259	14,098	-270,963	-0,0062	0,337	-6,469	24,6											
				144,920				-0,035	7,501	-360,302	-8,2500E-4	0,179	-8,602												
				144,940				0,041	-0,314	-393,681	9,7500E-4	-0,007	-9,398												
				144,950	99,58	99,75	-0,17																		
				144,960				-0,047	-8,247	-362,265	-0,0011	-0,197	-8,648												
				144,980				-0,289	-14,805	-263,109	-0,0069	-0,353	-6,281												
				145,000	98,76	99,75	-0,99	-0,639	-18,771	-119,773	-0,0153	-0,448	-2,859	24,6											
				145,020				-1,040	-19,596	36,325	-0,0248	-0,468	0,867												
				145,040				-1,423	-17,318	174,751	-0,0340	-0,413	4,172												
				145,050	98,37	99,75	-1,38																		
				145,060				-1,733	-12,606	273,908	-0,0414	-0,301	6,539												
				145,080				-1,927	-6,362	329,867	-0,0460	-0,152	7,875												
				145,100	99,10	99,76	-0,66	-1,987	0,589	347,539	-0,0474	0,014	8,297	24,6											
				145,120				-1,904	7,540	325,940	-0,0454	0,180	7,781												
				145,140				-1,685	13,627	258,200	-0,0402	0,325	6,164												
				145,150	100,20	99,76	0,44																		
				145,160				-1,359	17,868	147,262	-0,0324	0,427	3,516												
				145,180				-0,971	19,517	7,854	-0,0232	0,466	0,188												
				145,200	101,21	99,75	1,46	-0,578	18,182	-142,354	-0,0138	0,434	-3,398	24,6											
				145,220				-0,243	13,823	-277,835	-0,0058	0,330	-6,633												
				145,240				-0,025	7,069	-366,192	-6,0000E-4	0,169	-8,742												
				145,250	100,05	99,75	0,30																		
				145,260				0,039	-0,825	-393,681	9,3750E-4	-0,020	-9,398												
				145,280				-0,058	-8,679	-359,320	-0,0014	-0,207	-8,578												
				145,300	99,22	99,76	-0,54	-0,308	-15,197	-257,218	-0,0073	-0,363	-6,141	24,6											
				145,320				-0,666	-18,967	-108,974	-0,0159	-0,453	-2,602												
				145,340				-1,067	-19,556	45,160	-0,0255	-0,467	1,078												
				145,350	98,31	99,76	-1,44																		
				145,360				-1,448	-17,161	183,587	-0,0346	-0,410	4,383												
				145,380				-1,753	-12,213	283,725	-0,0418	-0,292	6,773												
				145,400	98,68	99,76	-1,07	-1,937	-5,812	334,776	-0,0462	-0,139	7,992	24,6											
				145,420				-1,985	1,178	346,557	-0,0474	0,028	8,273												
				145,440				-1,890	8,050	319,068	-0,0451	0,192	7,617												
				145,450	99,71	99,76	-0,04																		
				145,460				-1,663	13,941	249,364	-0,0397	0,333	5,953												
				145,480				-1,332	18,025	138,427	-0,0318	0,430	3,305												
				145,500	100,79	99,75	1,04	-0,942	19,478	-3,927	-0,0225	0,465	-0,094	24,6											
				145,520				-0,553	17,868	-152,171	-0,0132	0,427	-3,633												
				145,540				-0,228	13,391	-279,798	-0,0054	0,320	-6,680												
				145,550	100,70	99,76	0,94																		
				145,560				-0,017	6,676	-366,192	-4,1250E-4	0,159	-8,742												
				145,580				0,039	-1,257	-394,663	9,3750E-4	-0,030	-9,422												
				145,600	99,56	99,76	-0,20	-0,068	-9,111	-354,411	-0,0016	-0,217	-8,461	24,6											
				145,620				-0,325	-15,433	-248,382	-0,0078	-0,368	-5,930												
				145,640				-0,685	-19,046	-104,065	-0,0163	-0,455	-2,484												
				145,650	98,47	99,76	-1,29																		
				145,660				-1,087	-19,596	52,033	-0,0259	-0,468	1,242												
				145,680				-1,469	-16,965	192,423	-0,0351	-0,405	4,594												
				145,700	98,38	99,76	-1,38	-1,766	-11,899	287,652	-0,0421	-0,284	6,867	24,6											
				145,720				-1,945	-5,459	337,721	-0,0464	-0,130	8,063												
				145,740				-1,984	1,610	349,502	-0,0474	0,038	8,344												
				145,750	99,45	99,76	-0,31																		
				145,760				-1,880	8,522	318,086	-0,0449	0,203	7,594												
				145,780				-1,643	14,334	242,492	-0,0392	0,342	5,789												
				145,800	100,28	99,76	0,53	-1,307	18,221	128,609	-0,0312	0,435	3,070	24,6											
				145,820				-0,914	19,478	-13,744	-0,0218	0,465	-0,328												
				145,840				-0,528	17,671	-161,988	-0,0126	0,422	-3,867												
				145,850	101,16	99,75	1,41																		
				145,860				-0,207	12,998	-288,634	-0,0049	0,310	-6,891												
				145,880				-0,008	6,126	-370,119	-1,8750E-4	0,146	-8,836												
				145,900	99,64	99,75	-0,11	0,038	-1,806	-392,699	9,0000E-4	-0,043	-9,375	24,6											
				145,920				-0,080	-9,582	-347,539	-0,0019	-0,229	-8,297												
				145,940				-0,346	-15,708	-238,565	-0,0082	-0,375	-5,695												
				145,950	98,85	99,76	-0,91																		
				145,960				-0,708	-19,124	-94,248	-0,0169	-0,457	-2,250												
				145,980				-1,111	-19,478	59,887	-0,0265	-0,465	1,430												
				146,000	98,34	99,75	-1,41	-1,488	-16,729	198,313	-0,0355	-0,399	4,734	24,6											
				146,020				-1,780	-11,545	291,579	-0,0425	-0,276	6,961												
				146,040				-1,949	-5,066	337,721	-0,0465	-0,121	8,062												
				146,050	99,02	99,76	-0,74																		
				146,060				-1,982	1,963	348,521	-0,0473	0,047	8,320												
				146,080				-1,871	8,875	319,068	-0,0447	0,212	7,617												
				146,100	100,11	99,76	0,35	-1,627	14,726	238,565	-0,0388	0,352	5,695	24,6											
				146,120				-1,282	18,418	117,810	-0,0306	0,440	2,813												
				146,140				-0,891	19,439	-22,580	-0,0213	0,464	-0,539												
				146,150	101,18	99,76	1,43																		
				146,160				-0,504	17,514	-171,806	-0,0120	0,418	-4,102												
				146,180				-0,190	12,566	-296,488	-0,0045	0,300	-7,078												
				146,200	100,15	99,76	0,39	-0,002	5,655	-371,101	-3,7500E-5	0,135	-8,859	24,6											
				146,220				0,036	-2,278	-392,699	8,6250E-4	-0,054	-9,375												
				146,240				-0,093	-10,053	-342,630	-0,0022	-0,240	-8,180												
				146,250	99,30	99,75	-0,46																		
				146,260				-0,366	-15,983	-229,729	-0,0087	-0,382	-5,484												
				146,280				-0,732	-19,242	-84,430	-0,0175	-0,459	-2,016												
				146,300	98,31	99,76	-1,45	-1,136	-19,360	70,686	-0,0271	-0,462	1,688	24,6											
				146,320				-1,506	-16,415	203,222	-0,0360	-0,392	4,852												
				146,340				-1,792	-11,231	292,561	-0,0428	-0,268	6,984												
				146,350	98,62	99,75	-1,13																		
				146,360				-1,956	-4,712	339,685	-0,0467	-0,112	8,109												
				146,380				-1,981	2,356	348,521	-0,0473	0,056	8,320												
				146,400	99,66	99,75	-0,09	-1,861	9,228	314,160	-0,0444	0,220	7,500	24,6											
				146,420				-1,612	14,923	233,656	-0,0385	0,356	5,578												
				146,440				-1,264	18,575	114,865	-0,0302	0,443	2,742												
				146,450	100,75	99,76	0,99																		
				146,460				-0,869	19,517	-29,452	-0,0207	0,466	-0,703												
				146,480				-0,484	17,397	-181,623	-0,0115	0,415	-4,336												
				146,500	100,80	99,76	1,04	-0,173	12,252	-307,287	-0,0041	0,293	-7,336	24,6											
				146,520				0,006	5,105	-377,973	1,5000E-4	0,122	-9,023												
				146,540				0,031	-2,867	-390,736	7,5000E-4	-0,068	-9,328												
				146,550	99,60	99,75	-0,16																		
				146,560				-0,108	-10,524	-336,740	-0,0026	-0,251	-8,039												
				146,580				-0,390	-16,336	-220,893	-0,0093	-0,390	-5,273												
				146,600	98,52	99,76	-1,24	-0,762	-19,360	-71,668	-0,0182	-0,462	-1,711	24,6											
				146,620				-1,164	-19,203	81,485	-0,0278	-0,458	1,945												
				146,640				-1,530	-16,101	211,076	-0,0365	-0,384	5,039												
				146,650	98,37	99,76	-1,39																		
				146,660				-1,808	-10,760	297,470	-0,0432	-0,257	7,102												
				146,680				-1,960	-4,202	339,685	-0,0468	-0,100	8,109												
				146,700	99,38	99,76	-0,37	-1,976	2,827	344,594	-0,0472	0,067	8,227	24,6											
				146,720				-1,847	9,582	307,287	-0,0441	0,229	7,336												
				146,740				-1,593	15,119	225,802	-0,0380	0,361	5,391												
				146,750	100,16	99,76	0,41																		
				146,760				-1,243	18,614	107,011	-0,0297	0,444	2,555												
				146,780				-0,848	19,399	-36,325	-0,0202	0,463	-0,867												
				146,800	101,22	99,76	1,47	-0,467	17,161	-186,532	-0,0111	0,410	-4,453	24,6											
				146,820				-0,162	11,938	-310,233	-0,0039	0,285	-7,406												
				146,840				0,011	4,752	-380,918	2,6250E-4	0,113	-9,094												
				146,850	100,09	99,76	0,33																		
				146,860				0,028	-3,299	-391,718	6,7500E-4	-0,079	-9,352												
				146,880				-0,121	-10,917	-334,776	-0,0029	-0,261	-7,992												
				146,900	98,91	99,75	-0,84	-0,408	-16,690	-214,021	-0,0097	-0,398	-5,109	24,6											
				146,920				-0,789	-19,478	-59,887	-0,0188	-0,465	-1,430												
				146,940				-1,188	-19,085	90,321	-0,0283	-0,456	2,156												
				146,950	98,31	99,75	-1,44																		
				146,960				-1,552	-15,865	217,948	-0,0370	-0,379	5,203												
				146,980				-1,822	-10,367	302,379	-0,0435	-0,248	7,219												
				147,000	98,95	99,75	-0,80	-1,967	-3,770	341,648	-0,0469	-0,090	8,156	24,6											
				147,020				-1,973	3,299	344,594	-0,0471	0,079	8,227												
				147,040				-1,835	10,014	303,360	-0,0438	0,239	7,242												
				147,050	99,69	99,76	-0,07																		
				147,060				-1,572	15,433	218,930	-0,0375	0,368	5,227												
				147,080				-1,217	18,771	98,175	-0,0291	0,448	2,344												
				147,100	101,16	99,75	1,41	-0,822	19,360	-49,087	-0,0196	0,462	-1,172	24,6											
				147,120				-0,443	16,808	-196,350	-0,0106	0,401	-4,687												
				147,140				-0,149	11,506	-312,196	-0,0036	0,275	-7,453												
				147,150	100,74	99,76	0,98																		
				147,160				0,017	4,320	-380,918	4,1250E-4	0,103	-9,094												
				147,180				0,024	-3,731	-390,736	5,6250E-4	-0,089	-9,328												
				147,200	99,36	99,75	-0,39	-0,132	-11,310	-329,867	-0,0031	-0,270	-7,875	24,6											
				147,220				-0,429	-16,925	-207,149	-0,0102	-0,404	-4,945												
				147,240				-0,809	-19,596	-53,014	-0,0193	-0,468	-1,266												
				147,250	98,47	99,75	-1,27																		
				147,260				-1,213	-19,046	100,138	-0,0289	-0,455	2,391												
				147,280				-1,571	-15,590	225,802	-0,0375	-0,372	5,391												
				147,300	98,56	99,76	-1,20	-1,836	-10,014	308,269	-0,0438	-0,239	7,359	24,6											
				147,320				-1,971	-3,259	345,575	-0,0471	-0,078	8,250												
				147,340				-1,967	3,809	343,612	-0,0469	0,091	8,203												
				147,350	99,44	99,75	-0,31																		
				147,360				-1,819	10,485	299,433	-0,0434	0,250	7,148												
				147,380				-1,547	15,787	211,076	-0,0369	0,377	5,039												
				147,400	100,67	99,76	0,91	-1,188	18,928	87,376	-0,0283	0,452	2,086	24,6											
				147,420				-0,790	19,282	-60,868	-0,0189	0,460	-1,453												
				147,440				-0,416	16,493	-208,131	-0,0099	0,394	-4,969												
				147,450	101,18	99,76	1,42																		
				147,460				-0,130	10,956	-319,068	-0,0031	0,262	-7,617												
				147,480				0,022	3,731	-380,918	5,2500E-4	0,089	-9,094												
				147,500	99,66	99,76	-0,10	0,019	-4,280	-386,809	4,5000E-4	-0,102	-9,234	24,6											
				147,520				-0,149	-11,742	-321,032	-0,0036	-0,280	-7,664												
				147,540				-0,451	-17,122	-196,350	-0,0108	-0,409	-4,687												
				147,550	98,57	99,76	-1,18																		
				147,560				-0,834	-19,596	-43,197	-0,0199	-0,468	-1,031												
				147,580				-1,235	-18,850	107,011	-0,0295	-0,450	2,555												
				147,600	98,33	99,76	-1,42	-1,588	-15,315	229,729	-0,0379	-0,366	5,484	24,6											
				147,620				-1,847	-9,660	311,214	-0,0441	-0,231	7,430												
				147,640				-1,974	-2,867	347,539	-0,0471	-0,068	8,297												
				147,650	99,32	99,76	-0,44																		
				147,660				-1,962	4,241	343,612	-0,0468	0,101	8,203												
				147,680				-1,805	10,878	297,470	-0,0431	0,260	7,102												
				147,700	100,09	99,76	0,33	-1,527	16,140	206,167	-0,0364	0,385	4,922	24,6											
				147,720				-1,159	19,124	75,595	-0,0277	0,457	1,805												
				147,740				-0,762	19,164	-72,649	-0,0182	0,457	-1,734												
				147,750	101,23	99,76	1,47																		
				147,760				-0,393	16,218	-216,966	-0,0094	0,387	-5,180												
				147,780				-0,113	10,485	-327,904	-0,0027	0,250	-7,828												
				147,800	100,18	99,75	0,42	0,027	3,102	-384,845	6,3750E-4	0,074	-9,188	24,6											
				147,820				0,011	-4,909	-383,864	2,6250E-4	-0,117	-9,164												
				147,840				-0,170	-12,252	-311,214	-0,0040	-0,293	-7,430												
				147,850	98,99	99,75	-0,77																		
				147,860				-0,479	-17,357	-183,587	-0,0114	-0,414	-4,383												
				147,880				-0,864	-19,596	-32,398	-0,0206	-0,468	-0,773												
				147,900	98,30	99,76	-1,46	-1,263	-18,653	116,828	-0,0301	-0,445	2,789	24,6											
				147,920				-1,610	-14,923	236,601	-0,0384	-0,356	5,648												
				147,940				-1,860	-9,189	312,196	-0,0444	-0,219	7,453												
				147,950	98,87	99,76	-0,89																		
				147,960				-1,978	-2,435	346,557	-0,0472	-0,058	8,273												
				147,980				-1,957	4,673	342,630	-0,0467	0,112	8,180												
				148,000	99,66	99,76	-0,10	-1,791	11,270	291,579	-0,0427	0,269	6,961	24,6											
				148,020				-1,506	16,336	199,295	-0,0360	0,390	4,758												
				148,040				-1,137	19,242	69,704	-0,0271	0,459	1,664												
				148,050	101,14	99,76	1,38																		
				148,060				-0,737	19,124	-83,449	-0,0176	0,457	-1,992												
				148,080				-0,372	15,904	-225,802	-0,0089	0,380	-5,391												
				148,100	100,82	99,76	1,06	-0,101	10,092	-332,813	-0,0024	0,241	-7,945	24,6											
				148,120				0,031	2,592	-388,772	7,5000E-4	0,062	-9,281												
				148,140				0,003	-5,459	-381,900	7,5000E-5	-0,130	-9,117												
				148,150	99,43	99,75	-0,32																		
				148,160				-0,187	-12,684	-305,324	-0,0045	-0,303	-7,289												
				148,180				-0,504	-17,671	-173,769	-0,0120	-0,422	-4,148												
