FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2
Frequenzwerte für Winkel (Hz)	Frequenzwerte für Winkel (Hz)	Winkel-Werte (rad)	Winkel-Werte (rad)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
1,06	1,06	4,09E-4	0,00	0,720				-1,959	1,021	19,635	-0,0468	0,024	0,469		0,720				-1,948	2,160	354,411	-0,0465	0,052	8,461	
1,09	1,09	3,99E-4	0,00	0,740				-1,935	1,414	19,635	-0,0462	0,034	0,469		0,740				-1,832	9,150	320,050	-0,0437	0,218	7,641	
1,11	1,11	3,49E-4	0,00	0,750	99,54	99,75	-0,21								0,750	99,86	99,76	0,10							
1,14	1,14	4,13E-4	0,00	0,760				-1,902	1,806	18,653	-0,0454	0,043	0,445		0,760				-1,582	14,962	237,583	-0,0378	0,357	5,672	
1,16	1,16	5,08E-4	0,00	0,780				-1,863	2,160	18,653	-0,0445	0,052	0,445		0,780				-1,233	18,653	115,846	-0,0294	0,445	2,766	
1,18	1,18	4,34E-4	0,00	0,800	99,57	99,75	-0,18	-1,816	2,553	17,671	-0,0433	0,061	0,422	24,5	0,800	101,06	99,76	1,30	-0,836	19,596	-31,416	-0,0200	0,468	-0,750	24,6
1,21	1,21	5,24E-4	0,00	0,820				-1,761	2,867	15,708	-0,0420	0,068	0,375		0,820				-0,449	17,397	-183,587	-0,0107	0,415	-4,383	
1,23	1,23	4,63E-4	0,00	0,840				-1,701	3,181	16,690	-0,0406	0,076	0,398		0,840				-0,140	12,252	-308,269	-0,0033	0,293	-7,359	
1,26	1,26	5,51E-4	0,00	0,850	99,59	99,75	-0,16								0,850	100,48	99,76	0,72							
1,28	1,28	4,75E-4	0,00	0,860				-1,634	3,534	15,708	-0,0390	0,084	0,375		0,860				0,041	5,066	-381,900	9,7500E-4	0,121	-9,117	
1,31	1,31	6,05E-4	0,00	0,880				-1,560	3,809	12,763	-0,0372	0,091	0,305		0,880				0,063	-3,024	-397,608	0,0015	-0,072	-9,492	
1,33	1,33	4,58E-4	0,00	0,900	99,62	99,75	-0,13	-1,481	4,045	11,781	-0,0354	0,097	0,281	24,5	0,900	99,48	99,76	-0,28	-0,080	-10,839	-341,648	-0,0019	-0,259	-8,156	24,6
1,35	1,35	5,33E-4	0,00	0,920				-1,398	4,280	10,799	-0,0334	0,102	0,258		0,920				-0,371	-16,690	-218,930	-0,0089	-0,398	-5,227	
