FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3
Frequenzwerte für Winkel (Hz)	Frequenzwerte für Winkel (Hz)	Winkel-Werte (rad)	Winkel-Werte (rad)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
0,70	0,70	3,53E-4	0,00	0,460				-1,594	-3,613	14,726	-0,0381	-0,086	0,352		0,460				-1,318	18,143	149,226	-0,0315	0,433	3,563		2,800	157,04	99,77	57,27	-0,437	8,333	-39,623	-0,0104	0,199	-0,946	24,2
0,72	0,72	3,97E-4	0,00	0,480				-1,663	-3,299	14,726	-0,0397	-0,079	0,352		0,480				-0,924	19,753	-5,329E-13	-0,0221	0,472	-1,110E-14		2,900	95,91	99,76	-3,85	-0,283	-7,524	-51,051	-0,0068	-0,180	-1,219	24,2
0,74	0,74	3,94E-4	0,00	0,500	99,43	99,75	-0,32	-1,726	-3,024	15,708	-0,0412	-0,072	0,375	24,5	0,500	101,29	99,76	1,53	-0,528	18,143	-155,116	-0,0126	0,433	-3,703	24,6	3,000	130,22	99,77	30,46	-1,942	-1,877	83,527	-0,0464	-0,045	1,994	24,2
0,77	0,77	3,53E-4	0,00	0,520				-1,784	-2,670	17,671	-0,0426	-0,064	0,422		0,520				-0,198	13,548	-284,707	-0,0047	0,323	-6,797		3,100	157,52	99,77	57,75	-0,658	9,181	-20,892	-0,0157	0,219	-0,499	24,2
0,79	0,79	3,99E-4	0,00	0,540				-1,833	-2,317	16,690	-0,0438	-0,055	0,398		0,540				0,014	6,754	-371,101	3,3750E-4	0,161	-8,859		3,200	99,88	99,76	0,11	-0,105	-6,055	-65,895	-0,0025	-0,145	-1,573	24,2
0,82	0,82	3,95E-4	0,00	0,550	99,44	99,75	-0,30								0,550	99,92	99,76	0,15								3,300	129,78	99,77	30,01	-1,869	-3,998	77,165	-0,0446	-0,095	1,842	24,2
0,84	0,84	2,38E-4	0,00	0,560				-1,877	-2,003	17,671	-0,0448	-0,048	0,422		0,560				0,072	-1,296	-402,517	0,0017	-0,031	-9,609		3,400	170,09	99,76	70,33	-0,905	9,378	-0,550	-0,0216	0,224	-0,013	24,1
0,87	0,87	3,16E-4	0,00	0,580				-1,913	-1,610	18,653	-0,0457	-0,038	0,445		0,580				-0,038	-9,346	-362,265	-9,0000E-4	-0,223	-8,648		3,500	100,16	99,76	0,40	0,006	-4,108	-75,909	1,5000E-4	-0,098	-1,812	24,1
0,89	0,89	3,71E-4	0,00	0,600	99,46	99,75	-0,29	-1,942	-1,257	17,671	-0,0464	-0,030	0,422	24,5	0,600	99,10	99,76	-0,66	-0,302	-15,787	-248,382	-0,0072	-0,377	-5,930	24,6	3,600	129,60	99,76	29,84	-1,726	-5,804	65,070	-0,0412	-0,139	1,553	24,1
0,92	0,92	3,41E-4	0,00	0,620				-1,963	-0,903	18,653	-0,0469	-0,022	0,445		0,620				-0,669	-19,282	-96,211	-0,0160	-0,460	-2,297		3,700	170,14	99,77	70,37	-1,155	8,906	19,674	-0,0276	0,213	0,470	24,1
