FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3
Frequenzwerte für Winkel (Hz)	Frequenzwerte für Winkel (Hz)	Winkel-Werte (rad)	Winkel-Werte (rad)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
				103,740				-1,335	17,986	137,445	-0,0319	0,429	3,281		103,740				-0,745	-19,556	-67,741	-0,0178	-0,467	-1,617		622,400	98,12	99,77	-1,65	-0,382	-8,035	-42,569	-0,0091	-0,192	-1,016	-19,6
				103,750	100,85	99,75	1,10								103,750	98,49	99,76	-1,27								622,500	142,42	99,77	42,65	-1,953	-0,738	83,763	-0,0466	-0,018	2,000	-19,6
				103,760				-0,946	19,478	-0,982	-0,0226	0,465	-0,023		103,760				-1,150	-19,321	88,357	-0,0275	-0,461	2,109		622,600	146,92	99,77	47,15	-0,529	8,718	-31,102	-0,0126	0,208	-0,742	-19,6
				103,780				-0,556	17,946	-151,189	-0,0133	0,428	-3,609		103,780				-1,517	-16,022	221,875	-0,0362	-0,383	5,297		622,700	98,19	99,77	-1,59	-0,209	-6,959	-56,667	-0,0050	-0,166	-1,353	-19,6
				103,800	101,02	99,75	1,27	-0,228	13,430	-281,762	-0,0054	0,321	-6,727	24,6	103,800	98,54	99,76	-1,22	-1,791	-10,446	309,251	-0,0428	-0,249	7,383	24,6	622,800	143,50	99,78	43,72	-1,921	-2,615	80,975	-0,0459	-0,062	1,933	-19,6
				103,820				-0,019	6,676	-365,210	-4,5000E-4	0,159	-8,719		103,820				-1,935	-3,652	351,466	-0,0462	-0,087	8,391		622,900	164,52	99,78	64,74	-0,732	9,236	-14,608	-0,0175	0,221	-0,349	-19,6
				103,840				0,039	-1,178	-394,663	9,3750E-4	-0,028	-9,422		103,840				-1,937	3,613	354,411	-0,0462	0,086	8,461		623,000	98,01	99,77	-1,76	-0,074	-5,537	-67,898	-0,0018	-0,132	-1,621	-19,7
				103,850	99,53	99,76	-0,22								103,850	99,44	99,76	-0,32								623,100	123,25	99,77	23,48	-1,839	-4,343	73,985	-0,0439	-0,104	1,766	-19,7
				103,860				-0,066	-9,111	-355,393	-0,0016	-0,218	-8,484		103,860				-1,791	10,524	311,214	-0,0428	0,251	7,430		623,200	163,95	99,78	64,17	-0,942	9,260	2,553	-0,0225	0,221	0,061	-19,7
				103,880				-0,325	-15,394	-247,401	-0,0078	-0,368	-5,906		103,880				-1,516	16,061	217,948	-0,0362	0,383	5,203		623,300	105,59	99,77	5,82	0,013	-3,833	-75,595	3,0000E-4	-0,091	-1,805	-19,7
				103,900	98,65	99,75	-1,10	-0,682	-19,007	-104,065	-0,0163	-0,454	-2,484	24,6	103,900	100,72	99,77	0,96	-1,148	19,242	85,412	-0,0274	0,459	2,039	24,6	623,400	124,07	99,77	24,30	-1,709	-5,859	63,225	-0,0408	-0,140	1,509	-19,7
				103,920				-1,085	-19,556	50,069	-0,0259	-0,467	1,195		103,920				-0,746	19,478	-67,741	-0,0178	0,465	-1,617		623,500	163,03	99,78	63,25	-1,159	8,812	19,753	-0,0277	0,210	0,472	-19,7
				103,940				-1,464	-17,004	189,477	-0,0349	-0,406	4,523		103,940				-0,369	16,533	-219,912	-0,0088	0,395	-5,250		623,600	104,92	99,77	5,15	0,053	-1,909	-79,600	0,0013	-0,046	-1,900	-19,7
				103,950	98,39	99,76	-1,36								103,950	101,19	99,76	1,43								623,700	125,01	99,78	25,23	-1,541	-7,108	49,362	-0,0368	-0,170	1,178	-19,7
				103,960				-1,766	-11,977	288,634	-0,0421	-0,286	6,891		103,960				-0,085	10,681	-332,813	-0,0020	0,255	-7,945		623,800	170,82	99,78	71,04	-1,368	7,964	36,364	-0,0327	0,190	0,868	-19,7
				103,980				-1,943	-5,459	338,703	-0,0464	-0,130	8,086		103,980				0,058	3,220	-391,718	0,0014	0,077	-9,352		623,900	104,34	99,77	4,57	0,052	0,165	-80,189	0,0012	0,004	-1,914	-19,7
				104,000	99,20	99,75	-0,55	-1,984	1,571	349,502	-0,0474	0,037	8,344	24,6	104,000	99,62	99,76	-0,14	0,044	-4,987	-393,681	0,0010	-0,119	-9,398	24,6	624,000	108,78	99,77	9,00	-1,335	-8,074	32,908	-0,0319	-0,193	0,786	-19,7
				104,020				-1,880	8,522	320,050	-0,0449	0,203	7,641		104,020				-0,141	-12,527	-315,141	-0,0034	-0,299	-7,523		624,100	170,62	99,78	70,84	-1,563	6,747	51,758	-0,0373	0,161	1,236	-19,7
				104,040				-1,643	14,373	244,455	-0,0392	0,343	5,836		104,040				-0,457	-17,593	-180,642	-0,0109	-0,420	-4,313		624,200	119,61	99,77	19,84	0,014	2,278	-77,283	3,3750E-4	0,054	-1,845	-19,8
				104,050	100,35	99,75	0,60								104,050	98,53	99,76	-1,23								624,300	109,30	99,77	9,53	-1,107	-8,710	14,687	-0,0264	-0,208	0,351	-19,8
				104,060				-1,305	18,300	128,609	-0,0312	0,437	3,070		104,060				-0,845	-19,753	-27,489	-0,0202	-0,472	-0,656		624,400	165,65	99,77	65,88	-1,728	5,215	65,110	-0,0412	0,125	1,554	-19,8
				104,080				-0,911	19,517	-14,726	-0,0217	0,466	-0,352		104,080				-1,247	-18,692	124,682	-0,0298	-0,446	2,977		624,500	118,92	99,77	19,14	-0,064	4,312	-70,725	-0,0015	0,103	-1,688	-19,8
				104,100	101,26	99,75	1,51	-0,525	17,711	-164,934	-0,0125	0,423	-3,938	24,6	104,100	98,34	99,76	-1,42	-1,593	-14,765	246,419	-0,0380	-0,352	5,883	24,6	624,600	99,80	99,77	0,03	-0,866	-8,930	-4,320	-0,0207	-0,213	-0,103	-19,8
				104,120				-0,203	12,920	-292,561	-0,0048	0,308	-6,984		104,120				-1,838	-8,836	320,050	-0,0439	-0,211	7,641		624,700	166,27	99,77	66,50	-1,850	3,448	75,241	-0,0442	0,082	1,796	-19,8
				104,140				-0,008	6,008	-370,119	-1,8750E-4	0,143	-8,836		104,140				-1,946	-1,963	350,484	-0,0465	-0,047	8,367		624,800	140,20	99,77	40,43	-0,176	6,118	-61,065	-0,0042	0,146	-1,458	-19,8
				104,150	99,90	99,75	0,15								104,150	99,38	99,76	-0,38								624,900	100,15	99,77	0,38	-0,627	-8,765	-22,894	-0,0150	-0,209	-0,547	-19,8
				104,160				0,038	-1,885	-392,699	9,0000E-4	-0,045	-9,375		104,160				-1,916	5,184	345,575	-0,0458	0,124	8,250		625,000	150,40	99,78	50,63	-1,929	1,539	81,603	-0,0460	0,037	1,948	-19,8
				104,180				-0,083	-9,700	-347,539	-0,0020	-0,232	-8,297		104,180				-1,739	11,860	293,543	-0,0415	0,283	7,008		625,100	139,10	99,77	39,33	-0,319	7,556	-48,577	-0,0076	0,180	-1,160	-19,8
				104,200	99,11	99,76	-0,65	-0,350	-15,787	-235,620	-0,0084	-0,377	-5,625	24,6	104,200	100,20	99,77	0,44	-1,442	16,925	193,404	-0,0344	0,404	4,617	24,6	625,200	97,24	99,77	-2,53	-0,418	-8,176	-39,506	-0,0100	-0,195	-0,943	-19,9
				104,220				-0,715	-19,124	-89,339	-0,0171	-0,457	-2,133		104,220				-1,062	19,596	53,996	-0,0254	0,468	1,289		625,300	151,22	99,78	51,44	-1,954	-0,346	83,645	-0,0466	-0,008	1,997	-19,9
				104,240				-1,115	-19,360	61,850	-0,0266	-0,462	1,477		104,240				-0,658	19,085	-103,084	-0,0157	0,456	-2,461		625,400	137,65	99,77	37,88	-0,487	8,553	-34,400	-0,0116	0,204	-0,821	-19,9
				104,250	98,29	99,75	-1,46								104,250	101,24	99,77	1,47								625,500	97,14	99,77	-2,63	-0,243	-7,226	-53,721	-0,0058	-0,173	-1,283	-19,9
				104,260				-1,489	-16,650	196,350	-0,0355	-0,397	4,687		104,260				-0,298	15,472	-246,419	-0,0071	0,369	-5,883		625,600	152,13	99,77	52,35	-1,932	-2,191	81,878	-0,0461	-0,052	1,955	-19,9
				104,280				-1,781	-11,506	290,598	-0,0425	-0,275	6,937		104,280				-0,039	9,228	-352,448	-9,3750E-4	0,220	-8,414		625,700	157,75	99,78	57,97	-0,682	9,150	-18,575	-0,0163	0,218	-0,443	-19,9
				104,300	98,76	99,75	-0,99	-1,949	-5,027	336,740	-0,0465	-0,120	8,039	24,6	104,300	100,05	99,76	0,28	0,071	1,374	-400,553	0,0017	0,033	-9,563	24,6	625,800	97,11	99,77	-2,66	-0,102	-5,906	-65,581	-0,0024	-0,141	-1,566	-19,9
				104,320				-1,982	1,963	347,539	-0,0473	0,047	8,297		104,320				0,016	-6,794	-380,918	3,7500E-4	-0,162	-9,094		625,900	131,45	99,78	31,68	-1,863	-3,966	75,987	-0,0445	-0,095	1,814	-19,9
				104,340				-1,871	8,875	318,086	-0,0447	0,212	7,594		104,340				-0,201	-13,862	-291,579	-0,0048	-0,331	-6,961		626,000	156,94	99,78	57,16	-0,895	9,291	-1,453	-0,0214	0,222	-0,035	-19,9
				104,350	99,81	99,75	0,06								104,350	98,86	99,76	-0,90								626,100	101,07	99,77	1,30	-0,005	-4,257	-74,102	-1,1250E-4	-0,102	-1,769	-19,9
				104,360				-1,627	14,687	239,547	-0,0388	0,351	5,719		104,360				-0,539	-18,457	-150,208	-0,0129	-0,441	-3,586		626,200	132,58	99,77	32,80	-1,747	-5,529	66,170	-0,0417	-0,132	1,580	-19,9
				104,380				-1,283	18,457	121,737	-0,0306	0,441	2,906		104,380				-0,939	-19,871	8,836	-0,0224	-0,474	0,211		626,300	169,34	99,78	69,57	-1,111	8,977	15,826	-0,0265	0,214	0,378	-19,9
				104,400	100,96	99,75	1,21	-0,889	19,556	-23,562	-0,0212	0,467	-0,563	24,6	104,400	98,30	99,77	-1,47	-1,334	-18,103	158,061	-0,0318	-0,432	3,773	24,6	626,400	100,78	99,77	1,01	0,049	-2,364	-79,129	0,0012	-0,056	-1,889	-20,0
				104,420				-0,501	17,514	-175,733	-0,0120	0,418	-4,195		104,420				-1,663	-13,548	271,944	-0,0397	-0,323	6,492		626,500	114,36	99,77	14,59	-1,583	-6,849	52,818	-0,0378	-0,164	1,261	-20,0
				104,440				-0,188	12,527	-299,433	-0,0045	0,299	-7,148		104,440				-1,876	-7,226	330,849	-0,0448	-0,173	7,898		626,600	169,04	99,78	69,26	-1,321	8,200	32,476	-0,0315	0,196	0,775	-20,0
				104,450	100,53	99,75	0,78								104,450	99,01	99,77	-0,75								626,700	112,69	99,77	12,92	0,057	-0,353	-80,189	0,0014	-0,008	-1,914	-20,0
				104,460				1,943E-15	5,537	-375,028	3,2960E-17	0,132	-8,953		104,460				-1,953	-0,314	350,484	-0,0466	-0,007	8,367		626,800	115,25	99,77	15,48	-1,392	-7,838	37,267	-0,0332	-0,187	0,890	-20,0
				104,480				0,033	-2,474	-394,663	7,8750E-4	-0,059	-9,422		104,480				-1,888	6,794	338,703	-0,0451	0,162	8,086		626,900	169,49	99,78	69,72	-1,511	7,100	47,634	-0,0361	0,170	1,137	-20,0
				104,500	99,50	99,75	-0,25	-0,099	-10,249	-342,630	-0,0024	-0,245	-8,180	24,6	104,500	99,77	99,77	0,00	-1,681	13,234	272,926	-0,0401	0,316	6,516	24,6	627,000	111,71	99,77	11,95	0,028	1,689	-78,304	6,7500E-4	0,040	-1,869	-20,0
				104,520				-0,377	-16,179	-224,820	-0,0090	-0,386	-5,367		104,520				-1,359	17,711	160,025	-0,0324	0,423	3,820		627,100	102,92	99,77	3,16	-1,173	-8,561	19,988	-0,0280	-0,204	0,477	-20,0
				104,540				-0,746	-19,242	-76,576	-0,0178	-0,459	-1,828		104,540				-0,972	19,635	21,598	-0,0232	0,469	0,516		627,200	169,77	99,78	69,99	-1,684	5,686	61,457	-0,0402	0,136	1,467	-20,0
				104,550	98,45	99,75	-1,31								104,550	101,20	99,76	1,44								627,300	130,80	99,77	31,03	-0,036	3,731	-73,003	-8,6250E-4	0,089	-1,743	-20,0
				104,560				-1,147	-19,242	72,649	-0,0274	-0,459	1,734		104,560				-0,573	18,575	-133,518	-0,0137	0,443	-3,188		627,400	103,35	99,77	3,59	-0,938	-8,914	1,335	-0,0224	-0,213	0,032	-20,1
				104,580				-1,516	-16,336	205,185	-0,0362	-0,390	4,898		104,580				-0,229	14,294	-274,890	-0,0055	0,341	-6,562		627,500	158,03	99,77	58,25	-1,819	3,998	72,414	-0,0434	0,095	1,729	-20,1
				104,600	98,44	99,75	-1,31	-1,800	-11,035	297,470	-0,0430	-0,263	7,102	24,6	104,600	100,60	99,77	0,83	-0,002	7,579	-368,156	-3,7500E-5	0,181	-8,789	24,6	627,600	129,82	99,77	30,05	-0,138	5,568	-64,246	-0,0033	0,133	-1,534	-20,1
				104,620				-1,957	-4,438	338,703	-0,0467	-0,106	8,086		104,620				0,074	-0,432	-402,517	0,0018	-0,010	-9,609		627,700	103,89	99,77	4,12	-0,705	-8,851	-16,925	-0,0168	-0,211	-0,404	-20,1
				104,640				-1,978	2,513	343,612	-0,0472	0,060	8,203		104,640				-0,019	-8,522	-369,137	-4,5000E-4	-0,203	-8,812		627,800	158,87	99,77	59,10	-1,909	2,183	79,797	-0,0456	0,052	1,905	-20,1
				104,650	99,53	99,75	-0,22								104,650	99,25	99,77	-0,52								627,900	128,66	99,77	28,89	-0,269	7,108	-53,014	-0,0064	0,170	-1,266	-20,1
				104,660				-1,857	9,307	311,214	-0,0443	0,222	7,430		104,660				-0,267	-15,197	-266,054	-0,0064	-0,363	-6,352		628,000	97,72	99,77	-2,05	-0,487	-8,419	-34,165	-0,0116	-0,201	-0,816	-20,1
				104,680				-1,605	14,962	230,711	-0,0383	0,357	5,508		104,680				-0,627	-19,164	-116,828	-0,0150	-0,458	-2,789		628,100	159,75	99,77	59,98	-1,953	0,275	83,566	-0,0466	0,007	1,995	-20,1
				104,700	100,42	99,75	0,67	-1,258	18,535	111,919	-0,0300	0,442	2,672	24,6	104,700	98,42	99,76	-1,34	-1,034	-19,871	46,142	-0,0247	-0,474	1,102	24,6	628,200	150,23	99,77	50,46	-0,432	8,294	-39,191	-0,0103	0,198	-0,936	-20,1
				104,720				-0,864	19,439	-31,416	-0,0206	0,464	-0,750		104,720				-1,422	-17,318	192,423	-0,0339	-0,413	4,594		628,300	97,86	99,77	-1,91	-0,294	-7,563	-49,480	-0,0070	-0,181	-1,181	-20,1
				104,740				-0,481	17,279	-181,623	-0,0115	0,412	-4,336		104,740				-1,726	-12,174	291,579	-0,0412	-0,291	6,961		628,400	140,63	99,77	40,86	-1,945	-1,602	82,820	-0,0464	-0,038	1,977	-20,1
				104,750	101,10	99,75	1,35								104,750	98,66	99,76	-1,11								628,500	148,97	99,77	49,19	-0,614	9,001	-23,915	-0,0147	0,215	-0,571	-20,1
				104,760				-0,173	12,174	-304,342	-0,0041	0,291	-7,266		104,760				-1,909	-5,655	343,612	-0,0456	-0,135	8,203		628,600	98,58	99,77	-1,19	-0,145	-6,385	-61,811	-0,0034	-0,152	-1,476	-20,1
				104,780				0,006	5,105	-377,973	1,5000E-4	0,122	-9,023		104,780				-1,953	1,571	357,356	-0,0466	0,038	8,531		628,700	141,77	99,77	41,99	-1,891	-3,362	78,344	-0,0451	-0,080	1,870	-20,2
				104,800	99,83	99,76	0,07	0,031	-2,945	-394,663	7,5000E-4	-0,070	-9,422	24,6	104,800	99,56	99,76	-0,20	-1,846	8,639	323,977	-0,0441	0,206	7,734	24,6	628,800	165,31	99,77	65,54	-0,817	9,283	-7,579	-0,0195	0,222	-0,181	-20,2
				104,820				-0,112	-10,681	-338,703	-0,0027	-0,255	-8,086		104,820				-1,607	14,530	246,419	-0,0384	0,347	5,883		628,900	98,21	99,77	-1,56	-0,035	-4,877	-71,393	-8,2500E-4	-0,116	-1,704	-20,2
				104,840				-0,396	-16,493	-217,948	-0,0094	-0,394	-5,203		104,840				-1,264	18,496	128,609	-0,0302	0,442	3,070		629,000	121,65	99,77	21,88	-1,792	-4,995	70,058	-0,0428	-0,119	1,673	-20,2
				104,850	98,73	99,75	-1,03								104,850	100,85	99,76	1,09								629,100	164,68	99,78	64,90	-1,034	9,134	9,543	-0,0247	0,218	0,228	-20,2
				104,860				-0,771	-19,399	-67,741	-0,0184	-0,463	-1,617		104,860				-0,867	19,674	-19,635	-0,0207	0,470	-0,469		629,200	106,29	99,77	6,52	0,035	-3,087	-77,637	8,2500E-4	-0,074	-1,853	-20,2
				104,880				-1,172	-19,203	83,449	-0,0280	-0,458	1,992		104,880				-0,478	17,711	-172,788	-0,0114	0,423	-4,125		629,300	122,89	99,77	23,12	-1,651	-6,393	58,159	-0,0394	-0,153	1,388	-20,2
				104,900	98,28	99,75	-1,47	-1,539	-16,061	215,003	-0,0367	-0,383	5,133	24,6	104,900	101,07	99,76	1,30	-0,159	12,763	-301,397	-0,0038	0,305	-7,195	24,6	629,400	171,02	99,77	71,25	-1,244	8,545	26,389	-0,0297	0,204	0,630	-20,2
				104,920				-1,814	-10,603	300,415	-0,0433	-0,253	7,172		104,920				0,033	5,655	-381,900	7,8750E-4	0,135	-9,117		629,500	105,79	99,77	6,02	0,058	-1,115	-80,307	0,0014	-0,027	-1,917	-20,2
				104,940				-1,963	-4,045	339,685	-0,0469	-0,097	8,109		104,940				0,068	-2,513	-401,535	0,0016	-0,060	-9,586		629,600	107,60	99,77	7,83	-1,467	-7,516	43,315	-0,0350	-0,179	1,034	-20,2
				104,950	99,13	99,75	-0,63								104,950	99,54	99,76	-0,22								629,700	170,94	99,78	71,17	-1,445	7,548	42,372	-0,0345	0,180	1,012	-20,2
				104,960				-1,976	2,985	346,557	-0,0472	0,071	8,273		104,960				-0,068	-10,407	-347,539	-0,0016	-0,248	-8,297		629,800	105,02	99,77	5,25	0,042	0,958	-79,365	0,0010	0,023	-1,895	-20,2
				104,980				-1,844	9,817	308,269	-0,0440	0,234	7,359		104,980				-0,349	-16,415	-228,747	-0,0083	-0,392	-5,461		629,900	108,27	99,77	8,49	-1,253	-8,325	26,350	-0,0299	-0,199	0,629	-20,3
				105,000	99,87	99,75	0,12	-1,583	15,315	220,893	-0,0378	0,366	5,273	24,6	105,000	98,65	99,76	-1,11	-0,724	-19,556	-75,595	-0,0173	-0,467	-1,805	24,6	630,000	170,85	99,78	71,07	-1,623	6,228	56,549	-0,0387	0,149	1,350	-20,3
				105,020				-1,232	18,653	101,120	-0,0294	0,445	2,414		105,020				-1,131	-19,439	83,449	-0,0270	-0,464	1,992		630,100	120,52	99,77	20,75	-0,008	2,985	-75,202	-1,8750E-4	0,071	-1,795	-20,3
				105,040				-0,837	19,360	-40,252	-0,0200	0,462	-0,961		105,040				-1,502	-16,218	217,948	-0,0359	-0,387	5,203		630,200	108,97	99,78	9,19	-1,026	-8,812	8,404	-0,0245	-0,210	0,201	-20,3
				105,050	101,24	99,75	1,49								105,050	98,40	99,76	-1,37								630,300	165,57	99,78	65,80	-1,770	4,665	68,448	-0,0423	0,111	1,634	-20,3
				105,060				-0,457	17,043	-190,459	-0,0109	0,407	-4,547		105,060				-1,780	-10,721	305,324	-0,0425	-0,256	7,289		630,400	119,57	99,77	19,80	-0,093	4,877	-68,016	-0,0022	0,116	-1,624	-20,3
				105,080				-0,156	11,742	-313,178	-0,0037	0,280	-7,477		105,080				-1,931	-4,006	348,521	-0,0461	-0,096	8,320		630,500	99,71	99,77	-0,06	-0,795	-8,938	-9,857	-0,0190	-0,213	-0,235	-20,3
				105,100	100,46	99,75	0,70	0,013	4,516	-378,955	3,0000E-4	0,108	-9,047	24,6	105,100	99,24	99,77	-0,53	-1,940	3,220	354,411	-0,0463	0,077	8,461	24,6	630,600	166,18	99,78	66,40	-1,880	2,906	77,401	-0,0449	0,069	1,848	-20,3
				105,120				0,025	-3,416	-388,772	6,0000E-4	-0,082	-9,281		105,120				-1,802	10,171	312,196	-0,0430	0,243	7,453		630,700	140,58	99,77	40,81	-0,214	6,542	-57,688	-0,0051	0,156	-1,377	-20,3
				105,140				-0,124	-11,035	-333,794	-0,0030	-0,263	-7,969		105,140				-1,533	15,708	221,875	-0,0366	0,375	5,297		630,800	99,93	99,77	0,16	-0,572	-8,632	-27,450	-0,0136	-0,206	-0,655	-20,3
				105,150	99,18	99,76	-0,58								105,150	100,43	99,77	0,66								630,900	149,95	99,77	50,18	-1,940	1,052	82,467	-0,0463	0,025	1,969	-20,3
				105,160				-0,416	-16,768	-214,021	-0,0099	-0,400	-5,109		105,160				-1,173	19,046	94,248	-0,0280	0,455	2,250		631,000	139,36	99,77	39,59	-0,361	7,862	-45,043	-0,0086	0,188	-1,075	-20,4
				105,180				-0,795	-19,596	-59,887	-0,0190	-0,468	-1,430		105,180				-0,771	19,478	-56,941	-0,0184	0,465	-1,359		631,100	97,36	99,77	-2,41	-0,368	-7,956	-43,550	-0,0088	-0,190	-1,040	-20,4
				105,200	98,38	99,75	-1,37	-1,200	-19,164	97,193	-0,0286	-0,457	2,320	24,6	105,200	101,29	99,76	1,53	-0,394	16,768	-206,167	-0,0094	0,400	-4,922	24,6	631,200	151,04	99,78	51,27	-1,953	-0,848	83,566	-0,0466	-0,020	1,995	-20,4
				105,220				-1,561	-15,708	224,820	-0,0373	-0,375	5,367		105,220				-0,101	11,231	-324,959	-0,0024	0,268	-7,758		631,300	158,97	99,77	59,20	-0,537	8,757	-30,316	-0,0128	0,209	-0,724	-20,4
				105,240				-1,828	-10,171	304,342	-0,0436	-0,243	7,266		105,240				0,055	3,770	-389,754	0,0013	0,090	-9,305		631,400	97,34	99,77	-2,43	-0,201	-6,912	-57,059	-0,0048	-0,165	-1,362	-20,4
				105,250	98,71	99,76	-1,05								105,250	99,85	99,77	0,08								631,500	130,65	99,77	30,87	-1,920	-2,655	80,700	-0,0458	-0,063	1,927	-20,4
				105,260				-1,968	-3,534	343,612	-0,0470	-0,084	8,203		105,260				0,050	-4,359	-393,681	0,0012	-0,104	-9,398		631,600	158,16	99,77	58,39	-0,732	9,228	-14,373	-0,0175	0,220	-0,343	-20,4
				105,280				-1,970	3,574	347,539	-0,0470	0,085	8,297		105,280				-0,119	-11,977	-326,922	-0,0029	-0,286	-7,805		631,700	97,30	99,77	-2,47	-0,074	-5,529	-67,819	-0,0018	-0,132	-1,619	-20,4
				105,300	99,74	99,75	-0,01	-1,825	10,367	302,379	-0,0436	0,248	7,219	24,6	105,300	99,03	99,77	-0,73	-0,429	-17,436	-194,386	-0,0102	-0,416	-4,641	24,6	631,800	131,68	99,78	31,90	-1,838	-4,335	73,827	-0,0439	-0,103	1,762	-20,4
				105,320				-1,555	15,669	211,076	-0,0371	0,374	5,039		105,320				-0,817	-19,753	-36,325	-0,0195	-0,472	-0,867		631,900	157,05	99,78	57,28	-0,941	9,236	2,395	-0,0225	0,221	0,057	-20,4
				105,340				-1,199	18,810	90,321	-0,0286	0,449	2,156		105,340				-1,219	-18,889	113,883	-0,0291	-0,451	2,719		632,000	101,22	99,77	1,45	0,009	-3,856	-75,398	2,2500E-4	-0,092	-1,800	-20,4
				105,350	100,84	99,76	1,08								105,350	98,27	99,76	-1,49								632,100	132,67	99,77	32,89	-1,712	-5,843	63,421	-0,0409	-0,139	1,514	-20,4
				105,360				-0,803	19,282	-54,978	-0,0192	0,460	-1,313		105,360				-1,572	-15,197	239,547	-0,0375	-0,363	5,719		632,200	169,42	99,78	69,64	-1,159	8,828	19,556	-0,0277	0,211	0,467	-20,4
				105,380				-0,427	16,611	-202,240	-0,0102	0,397	-4,828		105,380				-1,827	-9,307	320,050	-0,0436	-0,222	7,641		632,300	100,78	99,77	1,01	0,053	-1,932	-79,679	0,0013	-0,046	-1,902	-20,5
				105,400	100,64	99,75	0,89	-0,138	11,192	-316,123	-0,0033	0,267	-7,547	24,6	105,400	98,85	99,76	-0,92	-1,945	-2,395	352,448	-0,0464	-0,057	8,414	24,6	632,400	114,52	99,77	14,75	-1,546	-7,108	49,598	-0,0369	-0,170	1,184	-20,5
				105,420				0,020	3,966	-379,937	4,8750E-4	0,095	-9,070		105,420				-1,923	4,791	348,521	-0,0459	0,114	8,320		632,500	169,15	99,77	69,37	-1,368	7,988	36,168	-0,0327	0,191	0,863	-20,5
				105,440				0,020	-4,006	-387,791	4,8750E-4	-0,096	-9,258		105,440				-1,753	11,545	298,452	-0,0419	0,276	7,125		632,600	112,72	99,77	12,95	0,052	0,126	-80,111	0,0012	0,003	-1,912	-20,5
				105,450	99,54	99,76	-0,22								105,450	99,94	99,76	0,18								632,700	115,31	99,77	15,54	-1,343	-8,035	33,340	-0,0321	-0,192	0,796	-20,5
				105,460				-0,140	-11,545	-326,922	-0,0033	-0,276	-7,805		105,460				-1,461	16,729	199,295	-0,0349	0,399	4,758		632,800	169,47	99,78	69,69	-1,555	6,794	51,129	-0,0371	0,162	1,221	-20,5
				105,480				-0,441	-17,082	-200,277	-0,0105	-0,408	-4,781		105,480				-1,084	19,517	62,832	-0,0259	0,466	1,500		632,900	111,80	99,77	12,03	0,016	2,191	-77,283	3,7500E-4	0,052	-1,845	-20,5
				105,500	98,44	99,75	-1,31	-0,823	-19,556	-46,142	-0,0196	-0,467	-1,102	24,6	105,500	101,19	99,76	1,42	-0,680	19,242	-94,248	-0,0162	0,459	-2,250	24,6	633,000	102,96	99,77	3,18	-1,117	-8,663	15,590	-0,0267	-0,207	0,372	-20,5
				105,520				-1,224	-18,928	102,102	-0,0292	-0,452	2,438		105,520				-0,314	15,747	-241,510	-0,0075	0,376	-5,766		633,100	169,77	99,77	69,99	-1,717	5,309	64,167	-0,0410	0,127	1,532	-20,5
				105,540				-1,580	-15,472	228,747	-0,0377	-0,369	5,461		105,540				-0,050	9,582	-347,539	-0,0012	0,229	-8,297		633,200	130,82	99,77	31,04	-0,055	4,170	-71,196	-0,0013	0,100	-1,700	-20,5
				105,550	98,39	99,75	-1,37								105,550	100,36	99,76	0,60								633,300	103,55	99,77	3,78	-0,883	-8,930	-2,788	-0,0211	-0,213	-0,067	-20,5
				105,560				-1,843	-9,778	310,233	-0,0440	-0,233	7,406		105,560				0,069	1,846	-398,590	0,0016	0,044	-9,516		633,400	158,33	99,77	58,56	-1,841	3,613	74,259	-0,0439	0,086	1,773	-20,6
				105,580				-1,971	-3,063	344,594	-0,0471	-0,073	8,227		105,580				0,024	-6,362	-384,845	5,6250E-4	-0,152	-9,188		633,500	129,59	99,77	29,81	-0,160	5,922	-62,125	-0,0038	0,141	-1,483	-20,6
